Time	[APAF-1]	[Caspase 9]	[Caspase 9-XIAP complex]	[XIAP]	[APAF-1-Caspase 9-XIAP complex]	[APAF-1-Caspase 9 complex]	[Caspase 3]	[Caspase 3 cleaved]	[Caspase 3 cleaved - XIAP complex]	[Caspase 9 cleaved-XIAP complex]	[Caspase 9 cleaved]	[APAF-1-Caspase 9 cleaved complex]	[Apaf-1-Caspase 9 cleaved -XIAP complex]
13	15.8776	10.0526	5.80664	31.865	1.51404	2.60356	197.938	1.25042	0.811267	0.00242085	0.0159409	0.0041488	0.000631166
14	15.7966	9.70016	6.07569	31.3651	1.62401	2.57382	197.748	1.32037	0.931479	0.00293539	0.0178423	0.0047598	0.000784566
15	15.7279	9.37258	6.33208	30.8796	1.72815	2.53763	197.561	1.38369	1.05576	0.00349921	0.0197353	0.00537493	0.000954951
16	15.6696	9.06707	6.57676	30.408	1.82662	2.4967	197.376	1.44076	1.18339	0.00411041	0.0216084	0.00598834	0.00114158
17	15.62	8.78125	6.81055	29.95	1.91966	2.45238	197.194	1.492	1.31368	0.00476684	0.023452	0.00659515	0.00134359
18	15.578	8.51309	7.03414	29.5053	2.00752	2.40577	197.016	1.53783	1.44606	0.0054662	0.0252583	0.00719144	0.00156005
19	15.5422	8.26085	7.24816	29.0734	2.09049	2.35771	196.841	1.57868	1.57998	0.00620606	0.0270211	0.00777407	0.00178999
20	15.5119	8.02302	7.45315	28.654	2.16886	2.30888	196.67	1.61495	1.71498	0.0069839	0.0287355	0.00834063	0.00203242
21	15.4861	7.79831	7.64961	28.2468	2.24291	2.25981	196.502	1.64704	1.85064	0.0077972	0.0303977	0.0088893	0.00228637
22	15.4642	7.58558	7.83798	27.8513	2.31291	2.21091	196.338	1.67533	1.9866	0.00864342	0.0320048	0.00941879	0.00255087
23	15.4456	7.38385	8.01867	27.4673	2.37915	2.16251	196.177	1.70015	2.12255	0.00952007	0.033555	0.00992824	0.00282499
24	15.4298	7.19224	8.19207	27.0943	2.44186	2.11484	196.02	1.72183	2.25822	0.0104247	0.0350471	0.0104172	0.00310786
25	15.4163	7.00998	8.35852	26.7321	2.50129	2.06809	195.866	1.74067	2.39336	0.0113549	0.0364804	0.0108853	0.00339861
26	15.4049	6.8364	8.51835	26.3802	2.55767	2.02239	195.715	1.75695	2.52777	0.0123084	0.0378548	0.0113327	0.00369646
27	15.3952	6.67088	8.67187	26.0384	2.61119	1.97784	195.568	1.77091	2.66129	0.013283	0.0391707	0.0117596	0.00400065
28	15.387	6.51288	8.81937	25.7062	2.66207	1.9345	195.423	1.7828	2.79375	0.0142766	0.0404286	0.0121662	0.00431048
29	15.3799	6.3619	8.96113	25.3835	2.71046	1.89242	195.282	1.79282	2.92505	0.0152872	0.0416296	0.0125531	0.00462529
30	15.374	6.2175	9.09739	25.0697	2.75654	1.85161	195.144	1.80116	3.05507	0.0163129	0.0427748	0.0129208	0.00494447
31	15.3689	6.07928	9.22842	24.7648	2.80047	1.81208	195.008	1.80801	3.18373	0.0173518	0.0438656	0.0132699	0.00526745
32	15.3646	5.94687	9.35443	24.4682	2.84237	1.77383	194.876	1.8135	3.31096	0.0184023	0.0449035	0.013601	0.00559371
33	15.3609	5.81994	9.47565	24.1799	2.88238	1.73684	194.745	1.8178	3.43671	0.0194629	0.0458901	0.0139147	0.00592274
34	15.3578	5.69817	9.5923	23.8994	2.92061	1.70109	194.618	1.82102	3.56093	0.0205319	0.0468271	0.0142119	0.00625411
35	15.3552	5.58129	9.70457	23.6265	2.95718	1.66655	194.493	1.82329	3.68358	0.0216081	0.0477162	0.0144931	0.00658738
36	15.3529	5.46903	9.81265	23.3609	2.99219	1.63319	194.371	1.82472	3.80466	0.0226901	0.0485591	0.0147591	0.00692218
37	15.351	5.36116	9.91673	23.1024	3.02572	1.60098	194.25	1.82539	3.92412	0.0237767	0.0493577	0.0150104	0.00725815
38	15.3494	5.25745	10.017	22.8507	3.05787	1.56989	194.133	1.82539	4.04198	0.0248668	0.0501138	0.0152479	0.00759496
39	15.348	5.15768	10.1135	22.6056	3.08871	1.53987	194.017	1.82481	4.15823	0.0259594	0.050829	0.015472	0.0079323
40	15.3468	5.06168	10.2066	22.3669	3.11831	1.5109	193.903	1.82372	4.27286	0.0270535	0.0515052	0.0156836	0.00826989
