Time	[NatP]	[MisP]	[Ub]	[E1]	[E2]	[E3]	[E3_MisP]	[DUB]	[Proteasome]	[ROS]	[E1_Ub]	[E2_Ub]	[E3_MisP_Ub]	[E3_MisP_Ub2]	[E3_MisP_Ub3]	[E3_MisP_Ub4]	[E3_MisP_Ub5]	[E3_MisP_Ub6]	[E3_MisP_Ub7]	[E3_MisP_Ub8]	[MisP_Ub4_Proteasome]	[MisP_Ub5_Proteasome]	[MisP_Ub6_Proteasome]	[MisP_Ub7_Proteasome]	[MisP_Ub8_Proteasome]	[E3_MisP_Ub_DUB]	[E3_MisP_Ub2_DUB]	[E3_MisP_Ub3_DUB]	[E3_MisP_Ub4_DUB]	[E3_MisP_Ub5_DUB]	[E3_MisP_Ub6_DUB]	[E3_MisP_Ub7_DUB]	[E3_MisP_Ub8_DUB]	[AggP1]	[AggP2]	[AggP3]	[AggP4]	[AggP5]	[SeqAggP]	[AggP_Proteasome]	[ATP]	[ADP]	[AMP]	[UCHL1]	[UCHL1_Proteasome]	[UCHL1_damaged_Proteasome]	[Lysosome]	[UCHL1_damaged]	[Lamp2a]	[Lamp2a_UCHL1_damaged]	[Ub_UCHL1]	[SUB]	[SUB_misfolded]	[E3SUB]	[E3SUB_SUB_misfolded]	[E3SUB_SUB_misfolded_Ub]	[E3SUB_SUB_misfolded_Ub2]	[E3SUB_SUB_misfolded_Ub3]	[E3SUB_SUB_misfolded_Ub4]	[E3SUB_SUB_misfolded_Ub5]	[E3SUB_SUB_misfolded_Ub6]	[E3SUB_SUB_misfolded_Ub7]	[E3SUB_SUB_misfolded_Ub8]	[E3SUB_SUB_misfolded_Ub_UCHL1]	[E3SUB_SUB_misfolded_Ub2_UCHL1]	[E3SUB_SUB_misfolded_Ub3_UCHL1]	[E3SUB_SUB_misfolded_Ub4_UCHL1]	[E3SUB_SUB_misfolded_Ub5_UCHL1]	[E3SUB_SUB_misfolded_Ub6_UCHL1]	[E3SUB_SUB_misfolded_Ub7_UCHL1]	[E3SUB_SUB_misfolded_Ub8_UCHL1]	[SUB_misfolded_Ub4_Proteasome]	[SUB_misfolded_Ub5_Proteasome]	[SUB_misfolded_Ub6_Proteasome]	[SUB_misfolded_Ub7_Proteasome]	[SUB_misfolded_Ub8_Proteasome]	[asyn]	[asyn_Proteasome]	[asyn_Lamp2a]	[asyn_dam]	[Parkin]	[Parkin_asyn_dam]	[Parkin_asyn_dam_Ub]	[Parkin_asyn_dam_Ub2]	[Parkin_asyn_dam_Ub3]	[Parkin_asyn_dam_Ub4]	[Parkin_asyn_dam_Ub5]	[Parkin_asyn_dam_Ub6]	[Parkin_asyn_dam_Ub7]	[Parkin_asyn_dam_Ub8]	[Parkin_asyn_dam_Ub_DUB]	[Parkin_asyn_dam_Ub2_DUB]	[Parkin_asyn_dam_Ub3_DUB]	[Parkin_asyn_dam_Ub4_DUB]	[Parkin_asyn_dam_Ub5_DUB]	[Parkin_asyn_dam_Ub6_DUB]	[Parkin_asyn_dam_Ub7_DUB]	[Parkin_asyn_dam_Ub8_DUB]	[asyn_dam_Ub4_Proteasome]	[asyn_dam_Ub5_Proteasome]	[asyn_dam_Ub6_Proteasome]	[asyn_dam_Ub7_Proteasome]	[asyn_dam_Ub8_Proteasome]	[AggA1]	[AggA2]	[AggA3]	[AggA4]	[AggA5]	[AggD1]	[AggD2]	[AggD3]	[AggD4]	[AggD5]	[AggU1]	[AggU2]	[AggU3]	[AggU4]	[AggU5]	[AggS1]	[AggS2]	[AggS3]	[AggS4]	[AggS5]	[Source]	[Sink]	[aggasyn]	[aggasyndam]	[aggParkin]	[aggUb]	[aggE3]	[aggDUB]	[aggMisP]	[aggUchl1]	[aggUchl1dam]	[aggSUB]	[upregUb]
57	6000.36	80.7533	1432.78	106.922	25.7307	294.034	2.4469	160.017	1510.67	10	793.078	974.269	0.24469	0.244689	0.244688	0.244498	0.244308	0.244118	0.243928	303.826	0.0931646	0.777056	1.51484	9.48086	344.384	100	100	100	100	100	100	100	99.9795	1.81303e-07	4.14011e-14	6.30921e-21	7.21376e-28	6.59953e-35	-1.17523e-20	2.74638e-07	10000	1000	1000	5786.45	5.8067	4.54651e-07	1200	0.0311723	198.673	0.00180011	498.332	813.137	2.1013	157.21	0.171784	0.0171803	0.0171822	0.0171842	0.0171728	0.0171615	0.0171502	0.017139	22.3227	20.0005	20.0288	25.0005	25.0288	30.0006	30.0572	40.0006	40.0584	0.0102973	0.0104249	0.0418267	3.55441	21.3153	2999.71	0.333818	1.32518	0.00312547	4799.93	0.00153952	0.000153951	0.000153951	0.000153951	0.000153831	0.000153711	0.000153592	0.000153472	0.0654284	2.65325e-07	2.64811e-07	2.64298e-07	2.63581e-07	2.62866e-07	2.62299e-07	3.69744e-07	5.93954e-05	5.21725e-05	5.20482e-05	5.19953e-05	8.58908e-05	0.0124151	0.00128162	5.47826e-08	1.56117e-12	3.33678e-17	5.70554e-22	-8.55048e-07	-3.66854e-10	-1.04942e-13	-2.25156e-17	-3.86472e-21	-4.41907e-06	-1.00313e-08	-1.51597e-11	-1.71718e-14	-1.5556e-17	1.46784e-10	1.39959e-18	8.09035e-27	3.36237e-35	1.09276e-43	1	1	-7.29524e-25	-3.87039e-24	-1.67397e-29	-1.93494e-24	-2.90394e-25	-2.09731e-25	-2.31971e-25	-6.03415e-26	-8.2254e-20	-6.6832e-26	4.01593e-07
58	6000.37	80.773	1432.77	106.903	25.7275	293.963	2.44689	160.018	1510.78	10	793.097	974.273	0.244689	0.244688	0.244687	0.244497	0.244307	0.244117	0.243927	303.897	0.094495	0.77385	1.50788	9.47311	344.328	100	100	100	100	100	100	100	99.9793	1.84522e-07	4.2878e-14	6.64948e-21	7.73692e-28	7.20302e-35	-1.44194e-20	2.84365e-07	10000	1000	1000	5786.49	5.7524	4.69026e-07	1200	0.0316888	198.65	0.00186246	498.288	813.105	2.09878	157.214	0.171567	0.0171585	0.0171602	0.017162	0.0171505	0.017139	0.0171276	0.0171162	22.3158	20.0005	20.0293	25.0005	25.0293	30.0006	30.0582	40.0006	40.0596	0.0103581	0.0104897	0.0422363	3.53375	21.3383	2999.7	0.338162	1.34768	0.00312547	4799.93	0.00153951	0.000153951	0.00015395	0.00015395	0.00015383	0.00015371	0.000153591	0.000153472	0.0664235	2.70252e-07	2.69738e-07	2.69225e-07	2.68504e-07	2.67785e-07	2.67225e-07	3.80662e-07	6.14993e-05	5.29839e-05	5.28596e-05	5.28116e-05	8.84744e-05	0.0128269	0.00130409	5.67212e-08	1.64477e-12	3.57713e-17	6.22382e-22	-8.70607e-07	-3.80329e-10	-1.10777e-13	-2.42004e-17	-4.22953e-21	-4.57054e-06	-1.0736e-08	-1.67886e-11	-1.96777e-14	-1.84455e-17	1.47938e-10	1.43052e-18	8.38745e-27	3.53535e-35	1.16517e-43	1	1	-9.18941e-25	-4.31288e-24	-2.12163e-29	-2.41656e-24	-3.62671e-25	-2.61916e-25	-2.89695e-25	-7.53564e-26	-1.00922e-19	-8.34588e-26	4.08902e-07
59	6000.37	80.7928	1432.75	106.886	25.7245	293.892	2.44689	160.018	1510.9	10	793.114	974.275	0.244688	0.244687	0.244687	0.244496	0.244306	0.244116	0.243926	303.968	0.0958159	0.770664	1.50097	9.46541	344.274	100	100	100	100	100	100	100	99.979	1.87743e-07	4.43813e-14	7.00186e-21	8.28817e-28	7.85005e-35	-1.76291e-20	2.94261e-07	10000	1000	1000	5786.52	5.69864	4.83569e-07	1200	0.0322042	198.628	0.00192582	498.247	813.072	2.09644	157.218	0.171367	0.0171383	0.0171399	0.0171415	0.0171298	0.0171182	0.0171066	0.017095	22.3087	20.0005	20.0298	25.0005	25.0298	30.0006	30.0592	40.0006	40.0607	0.0104183	0.0105541	0.0426397	3.51324	21.3611	2999.7	0.342463	1.37015	0.00312546	4799.93	0.0015395	0.00015395	0.000153949	0.000153949	0.000153829	0.00015371	0.00015359	0.000153471	0.0674111	2.75178e-07	2.74665e-07	2.74152e-07	2.73427e-07	2.72705e-07	2.72152e-07	3.91792e-07	6.36346e-05	5.37901e-05	5.36656e-05	5.3623e-05	9.11066e-05	0.0132434	0.00132657	5.86935e-08	1.73131e-12	3.83024e-17	6.7791e-22	-8.86165e-07	-3.94047e-10	-1.16825e-13	-2.59779e-17	-4.62138e-21	-4.72439e-06	-1.14765e-08	-1.85593e-11	-2.24957e-14	-2.18067e-17	1.49088e-10	1.46167e-18	8.69072e-27	3.71443e-35	1.24118e-43	1	1	-1.15177e-24	-4.79674e-24	-2.67785e-29	-3.00647e-24	-4.51199e-25	-3.25829e-25	-3.60395e-25	-9.37463e-26	-1.23386e-19	-1.03822e-25	4.16221e-07
60	6000.38	80.8125	1432.73	106.871	25.7219	293.822	2.44689	160.018	1511.02	10	793.129	974.278	0.244688	0.244688	0.244687	0.244496	0.244306	0.244116	0.243926	304.038	0.0971275	0.767499	1.49411	9.45774	344.22	100	100	100	100	100	100	100	99.9787	1.90966e-07	4.5911e-14	7.36658e-21	8.86853e-28	8.54295e-35	-2.1479e-20	3.04326e-07	10000	1000	1000	5786.56	5.64542	4.98279e-07	1200	0.0327187	198.605	0.0019902	498.208	813.04	2.09427	157.223	0.171181	0.0171195	0.017121	0.0171225	0.0171107	0.0170989	0.0170872	0.0170755	22.3015	20.0005	20.0303	25.0005	25.0303	30.0006	30.0602	40.0006	40.0619	0.010478	0.0106179	0.043037	3.49288	21.3837	2999.69	0.346722	1.3926	0.00312546	4799.93	0.0015395	0.000153949	0.000153949	0.000153948	0.000153829	0.000153709	0.000153589	0.00015347	0.0683912	2.80105e-07	2.79592e-07	2.79078e-07	2.7835e-07	2.77624e-07	2.7708e-07	4.03135e-07	6.58012e-05	5.45909e-05	5.44664e-05	5.44293e-05	9.37878e-05	0.0136646	0.00134904	6.06994e-08	1.82082e-12	4.09655e-17	7.37332e-22	-9.01722e-07	-4.08008e-10	-1.23089e-13	-2.78516e-17	-5.04174e-21	-4.88062e-06	-1.22539e-08	-2.04815e-11	-2.56583e-14	-2.57065e-17	1.50235e-10	1.49301e-18	9.0002e-27	3.89973e-35	1.32093e-43	1	1	-1.43682e-24	-5.32501e-24	-3.36626e-29	-3.72644e-24	-5.59244e-25	-4.03828e-25	-4.46677e-25	-1.16189e-25	-1.50332e-19	-1.28673e-25	4.23552e-07
61	6000.39	80.8323	1432.71	106.857	25.7195	293.753	2.4469	160.018	1511.13	10	793.143	974.28	0.244689	0.244688	0.244688	0.244497	0.244307	0.244116	0.243926	304.108	0.0984298	0.764355	1.48729	9.45013	344.168	100	100	100	100	100	100	100	99.9785	1.9419e-07	4.74671e-14	7.74386e-21	9.47901e-28	9.28412e-35	-2.60832e-20	3.14561e-07	10000	1000	1000	5786.59	5.59273	5.13154e-07	1200	0.0332322	198.583	0.00205558	498.17	813.007	2.09225	157.227	0.171009	0.0171022	0.0171035	0.0171049	0.0170929	0.0170811	0.0170692	0.0170573	22.2941	20.0005	20.0308	25.0005	25.0308	30.0006	30.0612	40.0006	40.063	0.0105372	0.0106813	0.0434282	3.47266	21.4061	2999.69	0.35094	1.41503	0.00312545	4799.93	0.00153949	0.000153948	0.000153948	0.000153948	0.000153828	0.000153708	0.000153589	0.000153469	0.0693638	2.85032e-07	2.84519e-07	2.84005e-07	2.83273e-07	2.82543e-07	2.82008e-07	4.14696e-07	6.79989e-05	5.53865e-05	5.5262e-05	5.52306e-05	9.65183e-05	0.0140902	0.00137152	6.27391e-08	1.91337e-12	4.37651e-17	8.00849e-22	-9.1728e-07	-4.22211e-10	-1.29573e-13	-2.98249e-17	-5.49215e-21	-5.0392e-06	-1.30695e-08	-2.25651e-11	-2.92005e-14	-3.02198e-17	1.51378e-10	1.52457e-18	9.31595e-27	4.09139e-35	1.40455e-43	1	1	-1.78456e-24	-5.90089e-24	-4.21544e-29	-4.60238e-24	-6.90696e-25	-4.98718e-25	-5.51648e-25	-1.43493e-25	-1.82557e-19	-1.58904e-25	4.30893e-07
62	6000.39	80.852	1432.69	106.844	25.7174	293.684	2.44692	160.018	1511.24	10	793.156	974.283	0.244691	0.24469	0.244689	0.244498	0.244308	0.244118	0.243927	304.176	0.0997229	0.761231	1.48051	9.44255	344.117	100	100	100	100	100	100	100	99.9782	1.97416e-07	4.90497e-14	8.13391e-21	1.01206e-27	1.00761e-34	-3.15719e-20	3.24966e-07	10000	1000	1000	5786.63	5.54056	5.2819e-07	1200	0.0337446	198.56	0.00212198	498.134	812.975	2.09037	157.232	0.17085	0.0170861	0.0170873	0.0170885	0.0170765	0.0170645	0.0170525	0.0170406	22.2866	20.0005	20.0313	25.0005	25.0313	30.0006	30.0622	40.0006	40.0642	0.0105959	0.0107441	0.0438134	3.45257	21.4283	2999.68	0.355116	1.43743	0.00312545	4799.93	0.00153948	0.000153948	0.000153947	0.000153947	0.000153827	0.000153708	0.000153588	0.000153469	0.070329	2.89959e-07	2.89446e-07	2.88932e-07	2.88196e-07	2.87462e-07	2.86937e-07	4.26476e-07	7.02273e-05	5.61769e-05	5.60523e-05	5.6027e-05	9.92986e-05	0.0145203	0.001394	6.48124e-08	2.009e-12	4.67058e-17	8.68669e-22	-9.32837e-07	-4.36657e-10	-1.3628e-13	-3.19012e-17	-5.97419e-21	-5.20014e-06	-1.39244e-08	-2.48205e-11	-3.31602e-14	-3.543e-17	1.52518e-10	1.55633e-18	9.63803e-27	4.28954e-35	1.49216e-43	1	1	-2.20709e-24	-6.52776e-24	-5.25865e-29	-5.66422e-24	-8.50042e-25	-6.13737e-25	-6.78888e-25	-1.76589e-25	-2.20973e-19	-1.95547e-25	4.38245e-07
63	6000.4	80.8717	1432.67	106.832	25.7155	293.616	2.44694	160.019	1511.35	10	793.168	974.285	0.244693	0.244692	0.244691	0.2445	0.24431	0.244119	0.243929	304.244	0.101007	0.758127	1.47378	9.43502	344.066	100	100	100	100	100	100	100	99.9779	2.00643e-07	5.06587e-14	8.53696e-21	1.07945e-27	1.09214e-34	-3.80975e-20	3.35539e-07	10000	1000	1000	5786.66	5.48891	5.43386e-07	1200	0.0342561	198.538	0.00218938	498.099	812.942	2.08863	157.236	0.170702	0.0170713	0.0170723	0.0170734	0.0170613	0.0170492	0.0170371	0.017025	22.2791	20.0005	20.0318	25.0005	25.0318	30.0006	30.0632	40.0006	40.0653	0.0106541	0.0108065	0.0441926	3.43263	21.4503	2999.68	0.359251	1.4598	0.00312545	4799.93	0.00153948	0.000153947	0.000153947	0.000153946	0.000153827	0.000153707	0.000153587	0.000153468	0.0712869	2.94886e-07	2.94373e-07	2.93859e-07	2.93119e-07	2.92381e-07	2.91867e-07	4.3848e-07	7.24863e-05	5.69622e-05	5.68375e-05	5.68185e-05	0.000102129	0.0149548	0.00141647	6.69194e-08	2.10777e-12	4.97922e-17	9.41008e-22	-9.48393e-07	-4.51346e-10	-1.43215e-13	-3.4084e-17	-6.48949e-21	-5.36342e-06	-1.48198e-08	-2.72588e-11	-3.75787e-14	-4.14308e-17	1.53655e-10	1.58831e-18	9.96649e-27	4.49431e-35	1.58391e-43	1	1	-2.71894e-24	-7.20917e-24	-6.5366e-29	-6.94787e-24	-1.04267e-24	-7.52775e-25	-8.32702e-25	-2.16597e-25	-2.66646e-19	-2.39841e-25	4.45608e-07
64	6000.41	80.8913	1432.64	106.822	25.7138	293.549	2.44696	160.019	1511.46	10	793.178	974.286	0.244695	0.244694	0.244693	0.244502	0.244312	0.244121	0.243931	304.312	0.102282	0.755044	1.4671	9.42753	344.017	100.001	100.001	100	100	100	100	100	99.9777	2.03872e-07	5.22942e-14	8.95323e-21	1.15016e-27	1.18228e-34	-4.58319e-20	3.46282e-07	10000	1000	1000	5786.68	5.43777	5.5874e-07	1200	0.0347666	198.516	0.00225778	498.066	812.91	2.087	157.241	0.170565	0.0170574	0.0170584	0.0170594	0.0170472	0.017035	0.0170228	0.0170106	22.2714	20.0005	20.0323	25.0005	25.0323	30.0006	30.0642	40.0006	40.0665	0.0107117	0.0108684	0.0445661	3.41283	21.4721	2999.67	0.363345	1.48215	0.00312544	4799.93	0.00153947	0.000153947	0.000153946	0.000153946	0.000153826	0.000153706	0.000153587	0.000153467	0.0722375	2.99813e-07	2.99299e-07	2.98786e-07	2.98042e-07	2.973e-07	2.96798e-07	4.5071e-07	7.47757e-05	5.77423e-05	5.76176e-05	5.76052e-05	0.00010501	0.0153935	0.00143894	6.90601e-08	2.20972e-12	5.30291e-17	1.01809e-21	-9.6395e-07	-4.66278e-10	-1.50382e-13	-3.63769e-17	-7.03974e-21	-5.52905e-06	-1.57568e-08	-2.98914e-11	-4.25001e-14	-4.83257e-17	1.54789e-10	1.6205e-18	1.03014e-26	4.70585e-35	1.67992e-43	1	1	-3.33663e-24	-7.94885e-24	-8.09578e-29	-8.49416e-24	-1.27472e-24	-9.20248e-25	-1.01798e-24	-2.64788e-25	-3.2078e-19	-2.93193e-25	4.52981e-07
65	6000.41	80.9109	1432.61	106.813	25.7123	293.483	2.44699	160.019	1511.57	10	793.187	974.288	0.244698	0.244697	0.244696	0.244505	0.244314	0.244124	0.243934	304.379	0.103548	0.751981	1.46046	9.42009	343.969	100.001	100.001	100.001	100.001	100.001	100.001	100	99.9774	2.07103e-07	5.39562e-14	9.38293e-21	1.22432e-27	1.27829e-34	-5.49762e-20	3.57194e-07	10000	1000	1000	5786.71	5.38715	5.74249e-07	1200	0.035276	198.493	0.00232718	498.034	812.877	2.08549	157.246	0.170438	0.0170447	0.0170455	0.0170464	0.0170341	0.0170218	0.0170095	0.0169972	22.2636	20.0005	20.0328	25.0005	25.0328	30.0006	30.0652	40.0006	40.0676	0.010769	0.0109298	0.0449337	3.39316	21.4938	2999.67	0.367399	1.50448	0.00312544	4799.92	0.00153947	0.000153946	0.000153946	0.000153945	0.000153825	0.000153706	0.000153586	0.000153467	0.0731809	3.0474e-07	3.04226e-07	3.03712e-07	3.02965e-07	3.0222e-07	3.01729e-07	4.63169e-07	7.70951e-05	5.85173e-05	5.83925e-05	5.83871e-05	0.000107941	0.0158364	0.00146142	7.12345e-08	2.3149e-12	5.64213e-17	1.10014e-21	-9.79505e-07	-4.81452e-10	-1.57783e-13	-3.87836e-17	-7.62669e-21	-5.69699e-06	-1.67367e-08	-3.27301e-11	-4.79721e-14	-5.62308e-17	1.55921e-10	1.6529e-18	1.06427e-26	4.92427e-35	1.78035e-43	1	1	-4.07996e-24	-8.75071e-24	-9.99298e-29	-1.0352e-23	-1.55351e-24	-1.12145e-24	-1.24057e-24	-3.22685e-25	-3.84781e-19	-3.57288e-25	4.60365e-07
66	6000.42	80.9305	1432.58	106.806	25.7109	293.417	2.44703	160.019	1511.68	10	793.194	974.289	0.244701	0.2447	0.244699	0.244508	0.244318	0.244127	0.243937	304.445	0.104805	0.748937	1.45386	9.41269	343.922	100.001	100.001	100.001	100.001	100.001	100.001	100	99.9772	2.10335e-07	5.56448e-14	9.82629e-21	1.30202e-27	1.38047e-34	-6.57568e-20	3.68275e-07	10000	1000	1000	5786.74	5.33703	5.89912e-07	1200	0.0357845	198.471	0.00239759	498.003	812.845	2.08408	157.251	0.17032	0.0170328	0.0170336	0.0170343	0.0170219	0.0170095	0.0169972	0.0169848	22.2557	20.0006	20.0333	25.0006	25.0333	30.0007	30.0662	40.0006	40.0688	0.0108257	0.0109908	0.0452956	3.37364	21.5152	2999.66	0.371413	1.52678	0.00312543	4799.92	0.00153946	0.000153946	0.000153945	0.000153945	0.000153825	0.000153705	0.000153586	0.000153466	0.0741171	3.09666e-07	3.09153e-07	3.08639e-07	3.07888e-07	3.07139e-07	3.06661e-07	4.7586e-07	7.94443e-05	5.92872e-05	5.91624e-05	5.91641e-05	0.000110924	0.0162834	0.00148389	7.34426e-08	2.42337e-12	5.99736e-17	1.18739e-21	-9.95061e-07	-4.96869e-10	-1.65423e-13	-4.13077e-17	-8.25215e-21	-5.86726e-06	-1.77608e-08	-3.57876e-11	-5.40462e-14	-6.5274e-17	1.57051e-10	1.68551e-18	1.09907e-26	5.14972e-35	1.88533e-43	1	1	-4.97147e-24	-9.61887e-24	-1.22933e-28	-1.25771e-23	-1.88741e-24	-1.36241e-24	-1.50716e-24	-3.92023e-25	-4.60235e-19	-4.34046e-25	4.6776e-07
67	6000.42	80.9501	1432.55	106.799	25.7098	293.351	2.44706	160.019	1511.78	10	793.201	974.29	0.244705	0.244704	0.244703	0.244512	0.244321	0.244131	0.24394	304.51	0.106053	0.745914	1.44731	9.40533	343.875	100.001	100.001	100.001	100.001	100.001	100.001	100	99.9769	2.13568e-07	5.73599e-14	1.02835e-20	1.38338e-27	1.48912e-34	-7.84348e-20	3.79526e-07	10000	1000	1000	5786.77	5.28741	6.05726e-07	1200	0.036292	198.448	0.00246899	497.973	812.812	2.08277	157.256	0.170211	0.0170218	0.0170225	0.0170232	0.0170107	0.0169982	0.0169857	0.0169733	22.2478	20.0006	20.0338	25.0006	25.0338	30.0007	30.0672	40.0007	40.0699	0.010882	0.0110514	0.0456519	3.35424	21.5365	2999.66	0.375388	1.54905	0.00312543	4799.92	0.00153946	0.000153945	0.000153945	0.000153944	0.000153825	0.000153705	0.000153585	0.000153466	0.0750461	3.14593e-07	3.1408e-07	3.13566e-07	3.12811e-07	3.12058e-07	3.11593e-07	4.88787e-07	8.18232e-05	6.00521e-05	5.99272e-05	5.99365e-05	0.000113958	0.0167345	0.00150637	7.56844e-08	2.53518e-12	6.36911e-17	1.2801e-21	-1.01062e-06	-5.12529e-10	-1.73306e-13	-4.39531e-17	-8.91799e-21	-6.03984e-06	-1.88301e-08	-3.90768e-11	-6.07776e-14	-7.55977e-17	1.58178e-10	1.71833e-18	1.13451e-26	5.38235e-35	1.99502e-43	1	1	-6.03765e-24	-1.05576e-23	-1.50743e-28	-1.52348e-23	-2.28624e-24	-1.6502e-24	-1.82557e-24	-4.7484e-25	-5.48969e-19	-5.25722e-25	4.75166e-07
68	6000.43	80.9696	1432.51	106.793	25.7088	293.287	2.44711	160.02	1511.89	10	793.207	974.291	0.244709	0.244708	0.244707	0.244516	0.244325	0.244135	0.243944	304.575	0.107292	0.74291	1.4408	9.39801	343.83	100.001	100.001	100.001	100.001	100.001	100.001	100	99.9767	2.16804e-07	5.91016e-14	1.07549e-20	1.46853e-27	1.60452e-34	-9.33074e-20	3.90946e-07	10000	1000	1000	5786.79	5.23828	6.21689e-07	1200	0.0367985	198.426	0.00254138	497.945	812.78	2.08154	157.261	0.170109	0.0170115	0.0170121	0.0170128	0.0170002	0.0169877	0.0169751	0.0169626	22.2398	20.0006	20.0343	25.0006	25.0343	30.0007	30.0682	40.0007	40.0711	0.0109378	0.0111115	0.0460026	3.33499	21.5575	2999.65	0.379324	1.5713	0.00312542	4799.92	0.00153945	0.000153945	0.000153944	0.000153944	0.000153824	0.000153704	0.000153585	0.000153465	0.0759681	3.1952e-07	3.19007e-07	3.18493e-07	3.17734e-07	3.16977e-07	3.16527e-07	5.01951e-07	8.42314e-05	6.0812e-05	6.06871e-05	6.07042e-05	0.000117044	0.0171895	0.00152884	7.79598e-08	2.65037e-12	6.75788e-17	1.37851e-21	-1.02617e-06	-5.28431e-10	-1.81435e-13	-4.67235e-17	-9.62611e-21	-6.21473e-06	-1.9946e-08	-4.26113e-11	-6.82256e-14	-8.73593e-17	1.59304e-10	1.75137e-18	1.17063e-26	5.62227e-35	2.10956e-43	1	1	-7.30912e-24	-1.15716e-23	-1.84267e-28	-1.84009e-23	-2.76133e-24	-1.99301e-24	-2.20485e-24	-5.73489e-25	-6.53063e-19	-6.34919e-25	4.82582e-07
69	6000.44	80.989	1432.48	106.788	25.708	293.222	2.44715	160.02	1511.99	10	793.212	974.292	0.244714	0.244713	0.244711	0.24452	0.24433	0.244139	0.243948	304.639	0.108522	0.739925	1.43434	9.39074	343.786	100.001	100.001	100.001	100.001	100.001	100.001	100	99.9764	2.2004e-07	6.08699e-14	1.12405e-20	1.55756e-27	1.72701e-34	-1.10711e-19	4.02535e-07	10000	1000	1000	5786.81	5.18964	6.378e-07	1200	0.037304	198.404	0.00261477	497.917	812.748	2.08039	157.266	0.170015	0.017002	0.0170026	0.0170031	0.0169905	0.0169779	0.0169653	0.0169527	22.2318	20.0006	20.0348	25.0006	25.0348	30.0007	30.0692	40.0007	40.0722	0.0109932	0.0111713	0.0463478	3.31587	21.5784	2999.65	0.383221	1.59353	0.00312542	4799.92	0.00153945	0.000153944	0.000153944	0.000153943	0.000153824	0.000153704	0.000153584	0.000153465	0.0768831	3.24447e-07	3.23933e-07	3.23419e-07	3.22657e-07	3.21896e-07	3.21461e-07	5.15357e-07	8.66688e-05	6.15669e-05	6.14419e-05	6.14672e-05	0.000120182	0.0176483	0.00155131	8.0269e-08	2.769e-12	7.16418e-17	1.48287e-21	-1.04172e-06	-5.44577e-10	-1.89814e-13	-4.96229e-17	-1.03785e-20	-6.3919e-06	-2.11098e-08	-4.64052e-11	-7.64539e-14	-1.00732e-16	1.60427e-10	1.78462e-18	1.20741e-26	5.86965e-35	2.2291e-43	1	1	-8.82104e-24	-1.26653e-23	-2.24557e-28	-2.2162e-23	-3.32573e-24	-2.40023e-24	-2.65541e-24	-6.90677e-25	-7.74874e-19	-7.64632e-25	4.90009e-07
70	6000.44	81.0084	1432.44	106.784	25.7073	293.159	2.4472	160.02	1512.09	10	793.216	974.293	0.244719	0.244718	0.244716	0.244525	0.244334	0.244144	0.243953	304.703	0.109744	0.736961	1.42792	9.38351	343.742	100.001	100.001	100.001	100.001	100.001	100.001	100	99.9762	2.23278e-07	6.26648e-14	1.17407e-20	1.65062e-27	1.8569e-34	-1.31032e-19	4.14293e-07	10000	1000	1000	5786.84	5.14148	6.54055e-07	1200	0.0378085	198.382	0.00268914	497.89	812.715	2.07933	157.271	0.169927	0.0169932	0.0169937	0.0169942	0.0169815	0.0169688	0.0169561	0.0169435	22.2237	20.0006	20.0353	25.0006	25.0353	30.0007	30.0702	40.0007	40.0734	0.0110482	0.0112306	0.0466876	3.29688	21.599	2999.64	0.38708	1.61573	0.00312541	4799.92	0.00153944	0.000153944	0.000153944	0.000153943	0.000153823	0.000153704	0.000153584	0.000153464	0.0777912	3.29374e-07	3.2886e-07	3.28346e-07	3.2758e-07	3.26815e-07	3.26396e-07	5.29006e-07	8.91351e-05	6.23168e-05	6.21918e-05	6.22256e-05	0.000123372	0.0181109	0.00157379	8.26118e-08	2.89112e-12	7.58853e-17	1.59347e-21	-1.05728e-06	-5.60964e-10	-1.98448e-13	-5.2655e-17	-1.11772e-20	-6.57137e-06	-2.23227e-08	-5.04731e-11	-8.55306e-14	-1.15909e-16	1.61549e-10	1.81809e-18	1.24487e-26	6.12461e-35	2.3538e-43	1	1	-1.06144e-23	-1.38439e-23	-2.72856e-28	-2.66195e-23	-3.99462e-24	-2.88282e-24	-3.18937e-24	-8.29554e-25	-9.17098e-19	-9.18347e-25	4.97447e-07
