Time	[Ions]	[Energy pool]	[Adenylate pool]
0	10	2.1	1.11
1	14.7725	2.04041	1.1171
2	17.7487	2.01078	1.13078
3	19.6392	2.00192	1.14635
4	20.8211	2.00669	1.16273
5	21.518	2.02096	1.17949
6	21.8744	2.04203	1.19645
7	21.989	2.06802	1.21349
8	21.9323	2.09757	1.23055
9	21.7561	2.12965	1.24756
10	21.4987	2.16348	1.26451
11	21.1888	2.19845	1.28135
12	20.8474	2.23409	1.29807
13	20.4901	2.27006	1.31465
14	20.1278	2.30609	1.33108
15	19.7682	2.34198	1.34734
16	19.4164	2.3776	1.36344
17	19.0754	2.41283	1.37936
18	18.7473	2.44764	1.3951
19	18.4327	2.48196	1.41065
20	18.1321	2.51577	1.42602
21	17.8451	2.54907	1.44119
22	17.5714	2.58185	1.45618
23	17.3104	2.6141	1.47097
24	17.0613	2.64584	1.48557
25	16.8235	2.67706	1.49997
26	16.5963	2.70777	1.51417
27	16.3791	2.73799	1.52818
28	16.1712	2.76771	1.542
29	15.9722	2.79694	1.55562
30	15.7814	2.82569	1.56904
31	15.5985	2.85396	1.58226
32	15.4229	2.88176	1.59529
33	15.2543	2.9091	1.60812
34	15.0923	2.93597	1.62076
35	14.9365	2.96239	1.6332
36	14.7866	2.98836	1.64544
37	14.6423	3.01388	1.65749
38	14.5034	3.03896	1.66935
39	14.3695	3.0636	1.68101
40	14.2405	3.08781	1.69248
41	14.1161	3.11159	1.70376
42	13.9961	3.13494	1.71485
43	13.8803	3.15787	1.72575
44	13.7685	3.18039	1.73646
45	13.6605	3.20249	1.74699
46	13.5562	3.22419	1.75733
47	13.4555	3.24549	1.76748
48	13.3581	3.26638	1.77746
49	13.264	3.28688	1.78725
50	13.173	3.30699	1.79686
51	13.0849	3.32672	1.80629
52	12.9998	3.34606	1.81555
53	12.9173	3.36503	1.82464
54	12.8376	3.38363	1.83355
55	12.7603	3.40186	1.84229
56	12.6856	3.41973	1.85086
57	12.6132	3.43725	1.85926
58	12.543	3.45441	1.8675
59	12.4751	3.47122	1.87557
60	12.4093	3.48769	1.88349
61	12.3455	3.50382	1.89124
62	12.2837	3.51962	1.89884
63	12.2237	3.53509	1.90628
64	12.1656	3.55023	1.91357
65	12.1093	3.56506	1.92071
66	12.0547	3.57958	1.92771
67	12.0017	3.59379	1.93455
68	11.9503	3.60769	1.94125
69	11.9004	3.62129	1.94781
70	11.8521	3.6346	1.95423
71	11.8051	3.64762	1.96051
72	11.7596	3.66036	1.96665
73	11.7154	3.67281	1.97267
74	11.6725	3.68499	1.97855
75	11.6309	3.6969	1.9843
76	11.5905	3.70855	1.98992
77	11.5513	3.71993	1.99542
78	11.5132	3.73106	2.0008
79	11.4762	3.74194	2.00606
80	11.4403	3.75257	2.0112
81	11.4054	3.76296	2.01622
82	11.3715	3.77311	2.02113
83	11.3386	3.78303	2.02593
84	11.3067	3.79272	2.03062
85	11.2756	3.80219	2.0352
86	11.2455	3.81144	2.03968
87	11.2162	3.82047	2.04405
88	11.1877	3.82929	2.04832
89	11.1601	3.8379	2.05249
90	11.1332	3.84631	2.05657
91	11.1071	3.85453	2.06054
92	11.0818	3.86254	2.06443
93	11.0571	3.87037	2.06822
94	11.0332	3.87801	2.07192
95	11.0099	3.88547	2.07554
96	10.9873	3.89275	2.07906
97	10.9653	3.89985	2.08251
98	10.9439	3.90678	2.08587
99	10.9231	3.91355	2.08915
100	10.9029	3.92015	2.09235
