Time	[TGF_RII]	[TGFbeta_TGF_RII]	[TGF_RI]	[Rec_active]	[Smad2_c]	[SARA]	[Smad2_SARA]	[pSmad2_c]	[Smad4_c]	[pSmad2_Smad4_c]	[Smad7_c]	[Smad7_Smurf2_c]	[Rec_Smad7]	[Smurf2_c]	[SnoN_c]	[Smad3_c]	[pSmad3_c]	[Smad3_SARA]	[pSmad3_Smad4_c]	[Ski_c]	[Smad3_Ski_c]	[Smurf1_c]	[Smad7_Smurf1_c]	[pSmad2_Smad4_Ski_n]	[Smad2_Ski_c]	[pSmad2_SnoN_n]	[pSmad3_SnoN_n]	[Arkadia_c]	[Smad4_n]	[pSmad2_Smad4_n]	[SnoN_n]	[pSmad2_Smad4_SnoN_n]	[Smurf2_n]	[pSmad2_n]	[Smad2_n]	[Smad7_n]	[Smad7_Smurf2_n]	[Smad4_SnoN_n]	[Smad3_n]	[pSmad3_Smad4_n]	[Smad4_Smad2_n]	[pSmad3_n]	[pSmad3_Smad4_SnoN_n]	[Ski_n]	[Smad4_Ski_n]	[Smurf1_n]	[Smad7_Smurf1_n]	[pSmad3_Smad4_Ski_n]	[Smad4_Smad3_n]	[freePromoters]	[inactivePromoters]	[geneProduct]	[Arkadia_n]
32	0.029634	0.000837854	0.264978	9.01171e-06	0.0708475	0.000750196	0.000417172	0.000367409	0.0791673	2.41969e-05	0.0009362	9.74575e-06	4.09026e-07	0.000768123	8.06935e-05	0.165547	0.0004462	0.00099579	3.56339e-05	7.92549e-05	1.197e-05	6.25969e-05	4.38858e-06	2.91481e-08	4.99905e-06	2.17365e-23	3.33116e-23	0.000157359	0.072243	4.90363e-05	3.45651e-05	2.91481e-08	0.00519968	0.000901535	0.045735	7.21982e-05	9.5605e-07	2.52509e-05	0.0595408	7.0831e-05	7.46459e-06	0.00109402	2.91481e-08	3.35191e-05	2.2813e-05	0.00240122	4.39344e-07	2.91481e-08	1.07568e-05	0.0999893	2.43253e-07	1.04684e-05	0.000131034
33	0.0301523	0.000891744	0.270043	1.01496e-05	0.0703931	0.000765905	0.000428398	0.00041294	0.0798472	3.18418e-05	0.000941335	1.04365e-05	4.82685e-07	0.000783951	8.082e-05	0.164329	0.000501845	0.00101997	4.69293e-05	7.94717e-05	1.20766e-05	6.35591e-05	4.7093e-06	3.05707e-08	5.0567e-06	3.18476e-23	4.87779e-23	0.000158959	0.0732537	6.56152e-05	3.47454e-05	3.05707e-08	0.00532346	0.00101372	0.0473892	7.29903e-05	9.94431e-07	2.64063e-05	0.0607232	9.47976e-05	1.03633e-05	0.00123087	3.05707e-08	3.37109e-05	2.38175e-05	0.00246829	4.58649e-07	3.05707e-08	1.49456e-05	0.0999853	2.54691e-07	1.43997e-05	0.000133617
34	0.0306542	0.000946556	0.27497	1.13653e-05	0.0698946	0.000781847	0.000439265	0.000461309	0.0804856	4.13345e-05	0.000946426	1.11215e-05	5.65639e-07	0.000799392	8.09435e-05	0.163007	0.00056107	0.00104338	6.09815e-05	7.96822e-05	1.21668e-05	6.45153e-05	5.02927e-06	3.19754e-08	5.10668e-06	4.57661e-23	7.00796e-23	0.000160499	0.0742032	8.66185e-05	3.49248e-05	3.19754e-08	0.00544396	0.00113287	0.049155	7.37121e-05	1.03178e-06	2.75482e-05	0.0619842	0.000125168	1.41928e-05	0.00137646	3.19754e-08	3.39007e-05	2.48074e-05	0.00253488	4.77701e-07	3.19754e-08	2.04802e-05	0.0999802	2.65976e-07	1.95308e-05	0.000136103
35	0.0311404	0.00100221	0.27976	1.26578e-05	0.069357	0.000798049	0.000449775	0.000512426	0.0810833	5.29729e-05	0.000951597	1.17954e-05	6.58536e-07	0.000814435	8.10654e-05	0.161585	0.00062378	0.00106602	7.8246e-05	7.98879e-05	1.22412e-05	6.54655e-05	5.34611e-06	3.33607e-08	5.14935e-06	6.45866e-23	9.89073e-23	0.000161981	0.0750925	0.000112887	3.51042e-05	3.33607e-08	0.00556108	0.00125874	0.0510331	7.43718e-05	1.06804e-06	2.86756e-05	0.0633222	0.000163163	1.91847e-05	0.00153051	3.33607e-08	3.40891e-05	2.57818e-05	0.002601	4.96489e-07	3.33607e-08	2.7696e-05	0.0999736	2.77095e-07	2.61371e-05	0.000138497
36	0.0316114	0.00105862	0.28442	1.40259e-05	0.0687848	0.00081454	0.000459938	0.000566191	0.0816406	6.7073e-05	0.000956988	1.24525e-05	7.62035e-07	0.000829072	8.11869e-05	0.160063	0.000689864	0.0010879	9.92086e-05	8.00897e-05	1.23005e-05	6.641e-05	5.65737e-06	3.4725e-08	5.18509e-06	8.96161e-23	1.37286e-22	0.000163407	0.0759221	0.000145345	3.52841e-05	3.4725e-08	0.00567472	0.00139106	0.053023	7.49777e-05	1.10319e-06	2.97873e-05	0.0647354	0.000210127	2.56099e-05	0.00169272	3.47251e-08	3.42768e-05	2.674e-05	0.00266665	5.15009e-07	3.47251e-08	3.69857e-05	0.0999652	2.88037e-07	3.45341e-05	0.000140801
37	0.0320678	0.0011157	0.288951	1.54683e-05	0.0681826	0.000831355	0.000469762	0.000622495	0.0821577	8.39654e-05	0.000962757	1.30872e-05	8.7681e-07	0.000843296	8.13093e-05	0.158445	0.000759196	0.001109	0.000124381	8.02888e-05	1.23452e-05	6.73492e-05	5.96064e-06	3.60671e-08	5.21425e-06	1.22394e-22	1.87606e-22	0.000164779	0.0766924	0.000184998	3.54652e-05	3.60671e-08	0.00578479	0.00152954	0.0551234	7.5539e-05	1.13721e-06	3.08827e-05	0.0662211	0.00026752	3.37816e-05	0.00186275	3.60672e-08	3.44643e-05	2.76813e-05	0.00273184	5.33267e-07	3.60672e-08	4.88032e-05	0.0999546	2.98792e-07	4.50779e-05	0.000143019
38	0.0325101	0.0011734	0.293357	1.69836e-05	0.0675544	0.000848531	0.000479262	0.000681225	0.0826347	0.000103992	0.000969083	1.36941e-05	1.00357e-06	0.000857101	8.14336e-05	0.156733	0.000831644	0.00112932	0.000154295	8.04863e-05	1.23759e-05	6.82835e-05	6.25355e-06	3.73856e-08	5.23722e-06	1.6471e-22	2.52654e-22	0.0001661	0.0774036	0.000232924	3.5648e-05	3.73856e-08	0.00589119	0.00167387	0.0573322	7.60652e-05	1.17011e-06	3.19607e-05	0.0677761	0.000336911	4.40572e-05	0.00204022	3.73857e-08	3.4652e-05	2.86049e-05	0.00279658	5.51279e-07	3.73857e-08	6.3667e-05	0.0999415	3.0935e-07	5.81656e-05	0.000145154
39	0.0329388	0.00123162	0.297643	1.85702e-05	0.0669037	0.000866115	0.000488452	0.000742267	0.0830715	0.000127501	0.000976165	1.42681e-05	1.14304e-06	0.000870484	8.15609e-05	0.15493	0.000907071	0.00114887	0.000189496	8.06832e-05	1.23932e-05	6.92131e-05	6.5338e-06	3.86793e-08	5.25437e-06	2.18622e-22	3.35641e-22	0.000167371	0.0780556	0.00029027	3.5833e-05	3.86793e-08	0.00599386	0.00182375	0.0596468	7.65669e-05	1.20192e-06	3.30208e-05	0.069397	0.000419965	5.68408e-05	0.00222478	3.86794e-08	3.48403e-05	2.95103e-05	0.00286088	5.69071e-07	3.86794e-08	8.21634e-05	0.0999254	3.19701e-07	7.42347e-05	0.00014721
40	0.0333544	0.0012903	0.301811	2.02268e-05	0.0662338	0.000884155	0.00049735	0.000805511	0.0834677	0.000154848	0.000984227	1.48042e-05	1.29604e-06	0.000883443	8.16923e-05	0.153038	0.000985338	0.00116764	0.00023054	8.08806e-05	1.23975e-05	7.01386e-05	6.79926e-06	3.9947e-08	5.26607e-06	2.86481e-22	4.40238e-22	0.000168594	0.0786482	0.000358245	3.60206e-05	3.9947e-08	0.00609274	0.00197889	0.0620639	7.70552e-05	1.2327e-06	3.40622e-05	0.0710803	0.000518432	7.25842e-05	0.00241604	3.99472e-08	3.50298e-05	3.03968e-05	0.00292473	5.86681e-07	3.99472e-08	0.000104948	0.0999059	3.29835e-07	9.37618e-05	0.000149188
41	0.0337574	0.00134936	0.305864	2.19519e-05	0.0655472	0.00090271	0.000505978	0.00087085	0.0838232	0.000186384	0.000993518	1.52981e-05	1.46342e-06	0.00089598	8.18289e-05	0.15106	0.00106631	0.00118565	0.000277985	8.10796e-05	1.23894e-05	7.10603e-05	7.04796e-06	4.11877e-08	5.27268e-06	3.70945e-22	5.70598e-22	0.000169771	0.0791809	0.000438108	3.62112e-05	4.11877e-08	0.00618778	0.00213899	0.06458	7.75423e-05	1.26253e-06	3.50841e-05	0.0728222	0.000634133	9.17879e-05	0.00261363	4.11879e-08	3.52207e-05	3.1264e-05	0.00298817	6.04163e-07	4.11879e-08	0.000132746	0.0998824	3.39744e-07	0.000117261	0.000151092
42	0.0341483	0.00140875	0.309805	2.37446e-05	0.0648463	0.000921845	0.000514356	0.000938184	0.0841374	0.000222461	0.00100431	1.5746e-05	1.64616e-06	0.000908098	8.19718e-05	0.148998	0.00114986	0.0012029	0.000332386	8.12813e-05	1.23694e-05	7.19787e-05	7.27817e-06	4.24001e-08	5.27456e-06	4.75007e-22	7.31402e-22	0.000170904	0.0796534	0.000531163	3.64052e-05	4.24001e-08	0.00627896	0.00230379	0.0671914	7.80415e-05	1.29155e-06	3.60859e-05	0.074619	0.000768947	0.000115002	0.0028172	4.24004e-08	3.54136e-05	3.21112e-05	0.00305118	6.21587e-07	4.24004e-08	0.000166355	0.0998544	3.49419e-07	0.00014528	0.000152925
43	0.0345274	0.0014684	0.313638	2.56039e-05	0.0641327	0.000941631	0.00052251	0.00100742	0.0844098	0.000263424	0.00101691	1.61446e-05	1.84535e-06	0.000919802	8.2122e-05	0.146855	0.00123585	0.0012194	0.00039429	8.14869e-05	1.23378e-05	7.28944e-05	7.48842e-06	4.35832e-08	5.27204e-06	6.02023e-22	9.27888e-22	0.000171995	0.080065	0.000638747	3.66031e-05	4.35832e-08	0.00636626	0.00247304	0.0698943	7.85673e-05	1.3199e-06	3.7067e-05	0.076467	0.000924792	0.000142825	0.00302642	4.35836e-08	3.56088e-05	3.2938e-05	0.00311379	6.39039e-07	4.35835e-08	0.000206642	0.0998212	3.5885e-07	0.000178399	0.000154689
44	0.0348953	0.00152824	0.317366	2.75289e-05	0.0634077	0.000962149	0.000530465	0.00107847	0.0846399	0.00030961	0.00103163	1.64914e-05	2.06222e-06	0.000931103	8.22807e-05	0.144632	0.00132417	0.00123518	0.000464231	8.16976e-05	1.22953e-05	7.38079e-05	7.67756e-06	4.47359e-08	5.26545e-06	7.55741e-22	1.1659e-21	0.000173045	0.0804151	0.000762225	3.68053e-05	4.47359e-08	0.0064497	0.0026465	0.0726846	7.91352e-05	1.34779e-06	3.80268e-05	0.0783627	0.00110361	0.000175904	0.00324095	4.47363e-08	3.58069e-05	3.37438e-05	0.00317601	6.56625e-07	4.47363e-08	0.000254543	0.0997824	3.68028e-07	0.000217225	0.000156387
45	0.0352524	0.00158822	0.320991	2.95193e-05	0.0626723	0.000983491	0.000538248	0.00115125	0.084827	0.000361343	0.00104884	1.67847e-05	2.2982e-06	0.000942012	8.24491e-05	0.142332	0.0014147	0.00125024	0.000542723	8.19147e-05	1.22421e-05	7.47198e-05	7.84476e-06	4.5857e-08	5.2551e-06	9.40332e-22	1.45193e-21	0.000174055	0.080703	0.000902976	3.70122e-05	4.5857e-08	0.00652931	0.00282397	0.0755587	7.97624e-05	1.37544e-06	3.89645e-05	0.0803027	0.00130736	0.000214934	0.00346051	4.58575e-08	3.60083e-05	3.45281e-05	0.00323785	6.74474e-07	4.58574e-08	0.000311059	0.0997372	3.76945e-07	0.000262385	0.000158021
46	0.035599	0.00164829	0.324516	3.15746e-05	0.0619269	0.00100575	0.00054589	0.00122569	0.0849704	0.000418936	0.0010689	1.70236e-05	2.55494e-06	0.000952544	8.26284e-05	0.139956	0.00150733	0.00126461	0.00063026	8.21395e-05	1.21788e-05	7.56306e-05	7.98955e-06	4.69454e-08	5.24128e-06	1.16044e-21	1.79316e-21	0.000175027	0.080928	0.00106238	3.72243e-05	4.69454e-08	0.00660513	0.00300525	0.0785127	8.04673e-05	1.40313e-06	3.98797e-05	0.0822839	0.00153799	0.000260654	0.0036848	4.6946e-08	3.62134e-05	3.52905e-05	0.00329932	6.92736e-07	4.69459e-08	0.000377256	0.0996851	3.8559e-07	0.000314529	0.000159594
47	0.0359355	0.00170838	0.327944	3.36946e-05	0.0611719	0.00102905	0.000553419	0.00130171	0.0850696	0.000482682	0.00109222	1.72081e-05	2.83436e-06	0.000962717	8.28199e-05	0.137507	0.00160195	0.00127832	0.000727302	8.23734e-05	1.21057e-05	7.6541e-05	8.11186e-06	4.79999e-08	5.22426e-06	1.42119e-21	2.19753e-21	0.000175963	0.0810894	0.00124183	3.74419e-05	4.8e-08	0.00667725	0.00319013	0.0815429	8.12697e-05	1.43119e-06	4.07716e-05	0.0843031	0.0017974	0.000313849	0.00391352	4.80007e-08	3.64228e-05	3.60305e-05	0.00336044	7.11587e-07	4.80006e-08	0.000454259	0.0996253	3.93955e-07	0.000374315	0.000161108
48	0.0362623	0.00176846	0.331278	3.58792e-05	0.0604076	0.00105349	0.000560868	0.00137923	0.0851239	0.000552856	0.00111923	1.7339e-05	3.13867e-06	0.000972552	8.30249e-05	0.134988	0.00169843	0.00129139	0.000834274	8.26178e-05	1.20232e-05	7.74515e-05	8.21202e-06	4.90195e-08	5.2043e-06	1.72829e-21	2.67377e-21	0.000176864	0.0811868	0.00144268	3.76657e-05	4.90196e-08	0.00674576	0.00337845	0.0846457	8.21909e-05	1.45998e-06	4.16398e-05	0.0863575	0.00208749	0.000375342	0.0041464	4.90205e-08	3.66371e-05	3.67477e-05	0.00342123	7.31227e-07	4.90203e-08	0.000543245	0.0995572	4.0203e-07	0.000442409	0.000162566
49	0.0365797	0.00182846	0.334519	3.8128e-05	0.0596342	0.0010792	0.000568268	0.00145818	0.0851327	0.000629706	0.00115037	1.7418e-05	3.47044e-06	0.000982071	8.32448e-05	0.132399	0.00179665	0.00130386	0.000951559	8.2874e-05	1.19317e-05	7.8363e-05	8.29075e-06	5.0003e-08	5.18163e-06	2.08798e-21	3.23143e-21	0.000177731	0.0812195	0.00166626	3.78961e-05	5.00031e-08	0.00681077	0.00357	0.0878175	8.32537e-05	1.48991e-06	4.24835e-05	0.088444	0.00241004	0.000445995	0.00438313	5.00041e-08	3.68567e-05	3.74415e-05	0.00348169	7.51886e-07	5.00039e-08	0.000645443	0.0994801	4.09806e-07	0.000519479	0.000163969
50	0.0368882	0.00188835	0.337672	4.04407e-05	0.0588519	0.00110633	0.000575654	0.00153847	0.0850956	0.000713452	0.00118609	1.74478e-05	3.83263e-06	0.000991301	8.34807e-05	0.129745	0.00189647	0.00131575	0.00107948	8.31437e-05	1.18315e-05	7.92759e-05	8.34921e-06	5.09493e-08	5.15647e-06	2.50716e-21	3.8809e-21	0.000178566	0.0811872	0.00191386	3.81337e-05	5.09494e-08	0.00687242	0.00376458	0.0910548	8.44826e-05	1.52144e-06	4.33023e-05	0.0905598	0.00276677	0.000526703	0.00462339	5.09505e-08	3.70823e-05	3.81117e-05	0.00354186	7.73819e-07	5.09503e-08	0.00076212	0.0993934	4.17273e-07	0.000606182	0.000165319
51	0.0371879	0.00194809	0.340737	4.28167e-05	0.0580612	0.00113501	0.00058306	0.00162001	0.0850121	0.000804281	0.00122689	1.74319e-05	4.22866e-06	0.00100027	8.37343e-05	0.127027	0.00199774	0.0013271	0.00121831	8.34283e-05	1.1723e-05	8.0191e-05	8.38893e-06	5.18571e-08	5.12903e-06	2.99334e-21	4.63342e-21	0.000179369	0.0810898	0.00218671	3.83788e-05	5.18573e-08	0.00693087	0.00396197	0.0943539	8.5903e-05	1.55507e-06	4.40956e-05	0.0927017	0.00315927	0.00061839	0.0048668	5.18586e-08	3.73143e-05	3.87578e-05	0.00360174	7.97313e-07	5.18584e-08	0.000894578	0.0992964	4.24424e-07	0.000703164	0.000166619
52	0.0374792	0.00200763	0.343718	4.52548e-05	0.0572628	0.00116539	0.000590523	0.00170267	0.0848819	0.000902337	0.00127326	1.73746e-05	4.66245e-06	0.00100901	8.40067e-05	0.12425	0.00210026	0.00133794	0.00136823	8.37291e-05	1.16065e-05	8.11089e-05	8.41185e-06	5.27256e-08	5.09952e-06	3.55468e-21	5.50101e-21	0.000180142	0.0809273	0.00248595	3.86322e-05	5.27258e-08	0.0069863	0.00416192	0.097711	8.75423e-05	1.59133e-06	4.48629e-05	0.0948665	0.00358897	0.000722003	0.00511295	5.27273e-08	3.75535e-05	3.93794e-05	0.00366136	8.22682e-07	5.2727e-08	0.00104414	0.0991885	4.31248e-07	0.000811047	0.00016787
53	0.0377625	0.00206694	0.346617	4.77533e-05	0.0564579	0.00119762	0.000598081	0.00178634	0.0847051	0.00100772	0.00132568	1.7281e-05	5.13845e-06	0.00101755	8.42993e-05	0.121419	0.00220382	0.00134832	0.00152933	8.40478e-05	1.14825e-05	8.20303e-05	8.42031e-06	5.35535e-08	5.06811e-06	4.20001e-21	6.4964e-21	0.000180887	0.0806998	0.00281265	3.88942e-05	5.35537e-08	0.00703891	0.00436413	0.101122	8.94287e-05	1.63083e-06	4.56035e-05	0.0970505	0.00405712	0.000838507	0.00536135	5.35555e-08	3.78004e-05	3.99762e-05	0.00372074	8.50273e-07	5.35551e-08	0.00121215	0.0990691	4.37738e-07	0.00093042	0.000169074
54	0.0380379	0.00212598	0.349435	5.03099e-05	0.0556481	0.00123188	0.000605773	0.00187088	0.0844817	0.00112046	0.00138467	1.71568e-05	5.66172e-06	0.00102593	8.46135e-05	0.118539	0.00230817	0.00135827	0.00170161	8.43856e-05	1.13511e-05	8.29558e-05	8.41696e-06	5.434e-08	5.03499e-06	4.93876e-21	7.6329e-21	0.000181603	0.0804082	0.00316771	3.91655e-05	5.43402e-08	0.0070889	0.00456828	0.104583	9.15917e-05	1.67417e-06	4.63172e-05	0.0992497	0.00456473	0.000968876	0.00561145	5.43422e-08	3.80555e-05	4.05478e-05	0.00377989	8.80459e-07	5.43418e-08	0.00139995	0.0989377	4.43886e-07	0.00106183	0.000170233
55	0.0383058	0.00218472	0.352176	5.29212e-05	0.0548356	0.00126832	0.000613641	0.0019561	0.084212	0.00124055	0.00145072	1.70084e-05	6.23796e-06	0.00103419	8.49505e-05	0.115617	0.00241302	0.00136783	0.00188493	8.47438e-05	1.1213e-05	8.3886e-05	8.4048e-06	5.5084e-08	5.00035e-06	5.78095e-21	8.92415e-21	0.000182292	0.0800534	0.00355194	3.94464e-05	5.50843e-08	0.00713651	0.00477399	0.108088	9.4062e-05	1.72203e-06	4.70033e-05	0.10146	0.00511255	0.00111409	0.00586259	5.50865e-08	3.83194e-05	4.10941e-05	0.00383884	9.13646e-07	5.50861e-08	0.00160885	0.0987938	4.49685e-07	0.00120577	0.000171348
56	0.0385665	0.00224313	0.354841	5.55829e-05	0.0540231	0.00130711	0.000621729	0.00204183	0.0838968	0.00136789	0.00152433	1.68427e-05	6.87353e-06	0.00104235	8.53116e-05	0.112662	0.00251803	0.00137704	0.00207899	8.51238e-05	1.10683e-05	8.48214e-05	8.38708e-06	5.57848e-08	4.96438e-06	6.73709e-21	1.03838e-20	0.000182956	0.0796367	0.00396593	3.97376e-05	5.57851e-08	0.00718199	0.00498085	0.111633	9.68708e-05	1.7751e-06	4.76616e-05	0.103675	0.00570099	0.00127511	0.00611404	5.57876e-08	3.85926e-05	4.16148e-05	0.0038976	9.50266e-07	5.57871e-08	0.00184015	0.0986369	4.55128e-07	0.00136266	0.000172422
57	0.0388201	0.00230118	0.357433	5.82894e-05	0.0532139	0.00134841	0.000630083	0.00212786	0.0835372	0.0015023	0.001606	1.66668e-05	7.57552e-06	0.00105046	8.56979e-05	0.109681	0.00262282	0.00138595	0.00228336	8.55267e-05	1.09175e-05	8.57626e-05	8.36731e-06	5.64415e-08	4.92727e-06	7.81806e-21	1.20253e-20	0.000183595	0.0791602	0.00441012	4.00394e-05	5.64419e-08	0.00722559	0.00518838	0.115213	0.00010005	1.8341e-06	4.82917e-05	0.105889	0.00633011	0.0014529	0.00636495	5.64447e-08	3.88756e-05	4.21097e-05	0.0039562	9.90777e-07	5.64442e-08	0.0020951	0.0984667	4.60209e-07	0.00153286	0.000173456
58	0.039067	0.00235884	0.359953	6.10337e-05	0.0524121	0.00139237	0.000638752	0.00221394	0.0831344	0.00164353	0.00169617	1.64884e-05	8.35172e-06	0.00105856	8.61104e-05	0.106687	0.00272698	0.00139459	0.00249741	8.59534e-05	1.07611e-05	8.67101e-05	8.34918e-06	5.70536e-08	4.88924e-06	9.03497e-21	1.38611e-20	0.00018421	0.0786264	0.00488469	4.03522e-05	5.7054e-08	0.00726759	0.00539605	0.118819	0.000103633	1.89979e-06	4.88933e-05	0.108097	0.00699955	0.00164837	0.00661438	5.70572e-08	3.91689e-05	4.25788e-05	0.00401466	1.03566e-06	5.70566e-08	0.00237488	0.0982829	4.64924e-07	0.00171662	0.00017445
59	0.0393074	0.00241608	0.362404	6.38073e-05	0.0516223	0.00143914	0.000647789	0.00229983	0.0826903	0.00179121	0.00179529	1.63151e-05	9.21068e-06	0.00106668	8.655e-05	0.103693	0.00283003	0.00140302	0.00272033	8.64047e-05	1.05995e-05	8.76643e-05	8.33654e-06	5.76206e-08	4.8505e-06	1.0399e-20	1.59024e-20	0.000184801	0.0780382	0.00538961	4.06763e-05	5.76211e-08	0.00730827	0.0056033	0.122447	0.000107651	1.97295e-06	4.94662e-05	0.11029	0.00770848	0.00186242	0.00686129	5.76246e-08	3.94728e-05	4.30221e-05	0.004073	1.08543e-06	5.76239e-08	0.00268056	0.0980854	4.69271e-07	0.00191409	0.000175408
60	0.0395414	0.00247289	0.364786	6.66004e-05	0.0508496	0.00148885	0.00065725	0.00238526	0.0822073	0.00194491	0.00190375	1.61547e-05	1.01616e-05	0.00107486	8.70175e-05	0.100711	0.00293148	0.00141128	0.00295108	8.68814e-05	1.04333e-05	8.86254e-05	8.33329e-06	5.81422e-08	4.8113e-06	1.1921e-20	1.81584e-20	0.000185371	0.0773994	0.00592458	4.10121e-05	5.81427e-08	0.00734791	0.00580952	0.126088	0.000112136	2.05437e-06	5.00103e-05	0.112461	0.00845558	0.00209588	0.00710456	5.81467e-08	3.97875e-05	4.34395e-05	0.00413125	1.14061e-06	5.81459e-08	0.00301313	0.0978742	4.73247e-07	0.00212532	0.00017633
61	0.0397694	0.00252924	0.367103	6.94012e-05	0.0500996	0.00154162	0.000667195	0.00246993	0.081688	0.00210407	0.00202193	1.60148e-05	1.12145e-05	0.00108314	8.75133e-05	0.0977575	0.0030308	0.00141943	0.00318845	8.73838e-05	1.0263e-05	8.95938e-05	8.34341e-06	5.86183e-08	4.77191e-06	1.36115e-20	2.06357e-20	0.000185919	0.0767143	0.00648902	4.13596e-05	5.86189e-08	0.00738682	0.00601404	0.129734	0.000117121	2.14484e-06	5.05257e-05	0.114601	0.00923903	0.0023495	0.007343	5.86232e-08	4.01133e-05	4.38314e-05	0.00418941	1.20174e-06	5.86224e-08	0.00337342	0.0976493	4.76853e-07	0.00235021	0.000177217
62	0.0399914	0.00258512	0.369356	7.21966e-05	0.0493784	0.00159754	0.000677689	0.00255355	0.0811358	0.00226806	0.00215014	1.5903e-05	1.23798e-05	0.00109155	8.80378e-05	0.094849	0.00312744	0.00142752	0.003431	8.7912e-05	1.00894e-05	9.05695e-05	8.37085e-06	5.9049e-08	4.7326e-06	1.54802e-20	2.33373e-20	0.000186447	0.075988	0.00708207	4.17189e-05	5.90496e-08	0.00742527	0.00621619	0.133378	0.000122636	2.24519e-06	5.10126e-05	0.116701	0.0100564	0.00262399	0.00757538	5.90545e-08	4.04502e-05	4.41979e-05	0.00424751	1.26937e-06	5.90535e-08	0.0037621	0.097411	4.80092e-07	0.00258852	0.000178071
63	0.0402078	0.00264049	0.371546	7.49717e-05	0.0486924	0.00165668	0.000688802	0.00263582	0.0805544	0.00243615	0.00228861	1.58266e-05	1.36686e-05	0.00110013	8.85911e-05	0.0920025	0.00322086	0.00143563	0.00367713	8.84661e-05	9.91305e-06	9.15527e-05	8.4195e-06	5.94347e-08	4.69369e-06	1.75357e-20	2.62626e-20	0.000186955	0.075226	0.0077026	4.209e-05	5.94354e-08	0.00746356	0.00641527	0.137009	0.000128709	2.35621e-06	5.14711e-05	0.118752	0.0109049	0.00291994	0.00780045	5.94407e-08	4.07982e-05	4.45396e-05	0.00430557	1.34406e-06	5.94396e-08	0.00417966	0.0971596	4.82966e-07	0.00283988	0.000178892
64	0.0404186	0.00269534	0.373676	7.77103e-05	0.0480478	0.00171907	0.000700606	0.00271642	0.0799478	0.00260752	0.00243754	1.57923e-05	1.50923e-05	0.00110889	8.91731e-05	0.0892358	0.00331052	0.00144384	0.00392504	8.90455e-05	9.73484e-06	9.25432e-05	8.49317e-06	5.9776e-08	4.6555e-06	1.97851e-20	2.94063e-20	0.000187444	0.0744345	0.00834915	4.24727e-05	5.97768e-08	0.00750198	0.00661056	0.140618	0.000135369	2.47872e-06	5.19017e-05	0.120744	0.011781	0.00323785	0.00801696	5.97827e-08	4.1157e-05	4.48569e-05	0.0043636	1.42637e-06	5.97814e-08	0.0046264	0.0968958	4.85484e-07	0.00310376	0.000179683
65	0.0406241	0.00274967	0.375747	8.03947e-05	0.0474514	0.00178471	0.000713182	0.00279504	0.0793207	0.0027813	0.00259704	1.58068e-05	1.66628e-05	0.00111788	8.97832e-05	0.0865668	0.00339591	0.00145222	0.00417285	8.96497e-05	9.55558e-06	9.35408e-05	8.59555e-06	6.00739e-08	4.6184e-06	2.22334e-20	3.27581e-20	0.000187914	0.0736202	0.00902002	4.28666e-05	6.00749e-08	0.0075408	0.00680134	0.144196	0.00014264	2.61349e-06	5.2305e-05	0.122668	0.0126808	0.00357809	0.00822373	6.00812e-08	4.15263e-05	4.51506e-05	0.00442161	1.51685e-06	6.00798e-08	0.00510238	0.09662	4.87654e-07	0.00337948	0.000180445
66	0.0408245	0.00280344	0.377761	8.30064e-05	0.0469093	0.00185358	0.000726615	0.00287139	0.0786781	0.00295654	0.00276713	1.58761e-05	1.83917e-05	0.00112711	9.04208e-05	0.0840128	0.00347655	0.00146088	0.00441855	9.02776e-05	9.37617e-06	9.45453e-05	8.73018e-06	6.03296e-08	4.58275e-06	2.48834e-20	3.63027e-20	0.000188367	0.0727903	0.00971323	4.32713e-05	6.03307e-08	0.00758028	0.00698689	0.147733	0.000150544	2.76131e-06	5.26819e-05	0.124515	0.0136	0.00394093	0.00841964	6.03375e-08	4.19057e-05	4.54215e-05	0.00447963	1.61606e-06	6.03361e-08	0.00560741	0.0963333	4.89488e-07	0.0036662	0.000181178
67	0.0410199	0.00285664	0.379718	8.55258e-05	0.046428	0.00192557	0.000740992	0.00294514	0.078025	0.00313225	0.00294777	1.6006e-05	2.02908e-05	0.00113659	9.10848e-05	0.0815903	0.00355203	0.00146993	0.00466011	9.09279e-05	9.19757e-06	9.55562e-05	8.90046e-06	6.05447e-08	4.54895e-06	2.77351e-20	4.00195e-20	0.000188803	0.0719522	0.0104266	4.36862e-05	6.05459e-08	0.00762067	0.00716648	0.151219	0.0001591	2.92288e-06	5.30332e-05	0.126277	0.0145339	0.0043265	0.00860368	6.05533e-08	4.22944e-05	4.56706e-05	0.00453766	1.7245e-06	6.05517e-08	0.00614108	0.0960365	4.91e-07	0.00396297	0.000181883
