Time	[TGF_RII]	[TGFbeta_TGF_RII]	[TGF_RI]	[Rec_active]	[Smad2_c]	[SARA]	[Smad2_SARA]	[pSmad2_c]	[Smad4_c]	[pSmad2_Smad4_c]	[Smad7_c]	[Smad7_Smurf2_c]	[Rec_Smad7]	[Smurf2_c]	[SnoN_c]	[Smad3_c]	[pSmad3_c]	[Smad3_SARA]	[pSmad3_Smad4_c]	[Ski_c]	[Smad3_Ski_c]	[Smurf1_c]	[Smad7_Smurf1_c]	[pSmad2_Smad4_Ski_n]	[Smad2_Ski_c]	[pSmad2_SnoN_n]	[pSmad3_SnoN_n]	[Arkadia_c]	[Smad4_n]	[pSmad2_Smad4_n]	[SnoN_n]	[pSmad2_Smad4_SnoN_n]	[Smurf2_n]	[pSmad2_n]	[Smad2_n]	[Smad7_n]	[Smad7_Smurf2_n]	[Smad4_SnoN_n]	[Smad3_n]	[pSmad3_Smad4_n]	[Smad4_Smad2_n]	[pSmad3_n]	[pSmad3_Smad4_SnoN_n]	[Ski_n]	[Smad4_Ski_n]	[Smurf1_n]	[Smad7_Smurf1_n]	[pSmad3_Smad4_Ski_n]	[Smad4_Smad3_n]	[freePromoters]	[inactivePromoters]	[geneProduct]	[Arkadia_n]
10	0.0126548	4.98648e-05	0.109141	3.25477e-08	0.0580367	0.000441407	9.74986e-05	1.21469e-06	0.04948	5.11944e-11	0.000614083	2.37905e-07	2.41776e-10	0.000337828	6.78547e-05	0.154276	1.5598e-06	0.000268437	8.56189e-11	6.54775e-05	4.04439e-06	3.96029e-05	1.05333e-07	1.42809e-09	1.4683e-06	8.54861e-32	1.70569e-31	9.71927e-05	0.0290966	7.79659e-09	2.26482e-05	1.42809e-09	0.0018075	2.80412e-06	0.022102	2.54327e-05	9.28566e-08	1.83307e-06	0.0413332	7.82746e-09	6.86512e-10	3.60573e-06	1.42809e-09	2.20253e-05	1.75881e-06	0.000795061	4.08719e-08	1.42809e-09	6.87747e-10	0.1	1.42293e-08	9.04328e-10	4.26709e-05
11	0.0137193	6.43928e-05	0.118478	5.43659e-08	0.0602259	0.000455143	0.000113475	2.06227e-06	0.0517816	1.69895e-10	0.00064738	3.40501e-07	4.73094e-10	0.000360492	6.97042e-05	0.158054	2.62462e-06	0.000309582	2.78891e-10	6.71727e-05	4.64636e-06	4.07295e-05	1.50472e-07	2.0189e-09	1.70228e-06	5.67533e-31	1.09481e-30	0.000101823	0.0322122	1.24373e-08	2.42398e-05	2.0189e-09	0.00198655	4.80029e-06	0.0236543	2.88437e-05	1.1862e-07	2.44036e-06	0.0430948	1.25434e-08	1.22456e-09	6.11647e-06	2.0189e-09	2.35213e-05	2.3316e-06	0.000873782	5.21869e-08	2.0189e-09	1.22927e-09	0.1	1.95987e-08	1.58298e-09	4.80864e-05
12	0.0147503	8.11041e-05	0.127561	8.63884e-08	0.0621588	0.000468293	0.00012959	3.32179e-06	0.0539308	5.00776e-10	0.000677527	4.69123e-07	8.66966e-10	0.000382869	7.1283e-05	0.161134	4.1953e-06	0.000350303	8.0894e-10	6.86356e-05	5.23648e-06	4.1848e-05	2.07052e-07	2.72551e-09	1.93613e-06	3.06416e-30	5.73878e-30	0.000106101	0.0351985	1.88955e-08	2.56224e-05	2.72551e-09	0.0021633	7.7857e-06	0.0250482	3.21918e-05	1.47237e-07	3.13481e-06	0.0445505	1.92173e-08	2.05179e-09	9.84312e-06	2.72551e-09	2.48161e-05	2.9829e-06	0.000951936	6.47809e-08	2.72551e-09	2.06753e-09	0.1	2.58936e-08	2.60635e-09	5.34096e-05
13	0.0157487	0.000100034	0.136394	1.31633e-07	0.0638637	0.000481199	0.000145748	5.11968e-06	0.0559475	1.33654e-09	0.000704847	6.26202e-07	1.50378e-09	0.000404958	7.26339e-05	0.163637	6.42337e-06	0.00039038	2.12911e-09	6.99061e-05	5.80944e-06	4.29585e-05	2.76172e-07	3.54379e-09	2.16764e-06	1.39258e-29	2.54102e-29	0.000110081	0.0380537	2.77544e-08	2.68175e-05	3.54379e-09	0.00233775	1.20702e-05	0.0263035	3.54515e-05	1.78465e-07	3.91032e-06	0.0457585	2.86352e-08	3.27357e-09	1.51573e-05	3.54379e-09	2.59331e-05	3.70632e-06	0.00102953	7.85588e-08	3.54379e-09	3.32063e-09	0.1	3.30647e-08	4.09617e-09	5.86185e-05
14	0.0167152	0.000121199	0.144985	1.93526e-07	0.0653639	0.00049407	0.000161883	7.60003e-06	0.0578464	3.27845e-09	0.000729623	8.13876e-07	2.48927e-09	0.000426756	7.37915e-05	0.165664	9.48096e-06	0.000429678	5.15947e-09	7.10151e-05	6.36133e-06	4.40609e-05	3.58814e-07	4.46693e-09	2.39495e-06	5.47625e-29	9.76432e-29	0.000113805	0.0407788	3.99995e-08	2.78474e-05	4.46693e-09	0.00250989	1.80085e-05	0.0274394	3.86031e-05	2.12043e-07	4.75977e-06	0.046768	4.22077e-08	5.03373e-09	2.24828e-05	4.46693e-09	2.68952e-05	4.49462e-06	0.00110655	9.3418e-08	4.46693e-09	5.16183e-09	0.0999999	4.10463e-08	6.22878e-09	6.36979e-05
15	0.0176509	0.000144602	0.153341	2.7587e-07	0.0666791	0.000507025	0.000177946	1.09231e-05	0.059639	7.47815e-09	0.00075211	1.03397e-06	3.95816e-09	0.000448263	7.4784e-05	0.167295	1.35592e-05	0.000468126	1.16444e-08	7.19875e-05	6.88934e-06	4.51554e-05	4.5583e-07	5.48637e-09	2.61657e-06	1.90338e-28	3.32492e-28	0.000117308	0.0433764	5.73982e-08	2.87332e-05	5.48637e-09	0.00267971	2.59962e-05	0.0284748	4.16316e-05	2.47707e-07	5.67548e-06	0.047621	6.25353e-08	7.54561e-09	3.22913e-05	5.48637e-09	2.7724e-05	5.34025e-06	0.00118303	1.09252e-07	5.48637e-09	7.86743e-09	0.0999999	4.97619e-08	9.28686e-09	6.86373e-05
16	0.0185564	0.000170229	0.161468	3.828e-07	0.0678258	0.000520126	0.000193898	1.52632e-05	0.0613345	1.6012e-08	0.000772535	1.28797e-06	6.07759e-09	0.000469481	7.56355e-05	0.168594	1.88657e-05	0.000505691	2.47024e-08	7.28437e-05	7.3916e-06	4.62419e-05	5.67939e-07	6.59251e-09	2.83129e-06	5.94953e-28	1.02054e-27	0.000120617	0.0458504	8.31272e-08	2.9495e-05	6.59251e-09	0.00284723	3.6465e-05	0.0294279	4.45261e-05	2.85189e-07	6.6496e-06	0.048353	9.43256e-08	1.11501e-08	4.50972e-05	6.59251e-09	2.84392e-05	6.23562e-06	0.00125894	1.25952e-07	6.59251e-09	1.19041e-08	0.0999999	5.91299e-08	1.37533e-08	7.34305e-05
17	0.0194328	0.000198054	0.169372	5.18727e-07	0.0688182	0.000533399	0.000209712	2.08061e-05	0.0629402	3.24305e-08	0.000791098	1.57704e-06	9.04993e-09	0.000490409	7.63663e-05	0.169611	2.56217e-05	0.000542366	4.96275e-08	7.36004e-05	7.86694e-06	4.73206e-05	6.95718e-07	7.77523e-09	3.03816e-06	1.69598e-27	2.86239e-27	0.000123754	0.048205	1.2274e-07	3.0151e-05	7.77523e-09	0.00301245	4.98759e-05	0.0303161	4.72791e-05	3.24228e-07	7.67439e-06	0.0489945	1.45804e-07	1.64158e-08	6.14497e-05	7.77523e-09	2.90585e-05	7.17339e-06	0.00133431	1.43414e-07	7.77523e-09	1.8078e-08	0.0999999	6.90675e-08	2.04697e-08	7.80739e-05
18	0.0202808	0.000228041	0.177059	6.88273e-07	0.0696683	0.000546849	0.000225362	2.77457e-05	0.0644624	6.25258e-08	0.00080798	1.90199e-06	1.31152e-08	0.000511047	7.69941e-05	0.170388	3.40588e-05	0.00057816	9.50065e-08	7.42721e-05	8.31479e-06	4.83914e-05	8.396e-07	9.02442e-09	3.23645e-06	4.45949e-27	7.41895e-27	0.000126736	0.0504451	1.85593e-07	3.07173e-05	9.02442e-09	0.00317536	6.67115e-05	0.0311563	4.98862e-05	3.64571e-07	8.7424e-06	0.0495715	2.30772e-07	2.43025e-08	8.19242e-05	9.02442e-09	2.95974e-05	8.1466e-06	0.00140913	1.61533e-07	9.02442e-09	2.7775e-08	0.0999999	7.94934e-08	3.0888e-08	8.25664e-05
19	0.0211013	0.000260143	0.184536	8.96196e-07	0.0703864	0.00056047	0.000240827	3.62804e-05	0.0659064	1.15359e-07	0.000823343	2.26326e-06	1.85526e-08	0.000531395	7.75339e-05	0.170955	4.44144e-05	0.000613088	1.7421e-07	7.48708e-05	8.73501e-06	4.94545e-05	9.99864e-07	1.03302e-08	3.4256e-06	1.092e-26	1.79362e-26	0.000129577	0.0525754	2.8684e-07	3.12084e-05	1.03302e-08	0.00333597	8.74671e-05	0.0319648	5.23451e-05	4.05978e-07	9.84661e-06	0.0501067	3.71479e-07	3.64137e-08	0.000107113	1.03302e-08	3.00691e-05	9.14878e-06	0.0014834	1.80212e-07	1.03302e-08	4.33295e-08	0.0999999	9.03299e-08	4.7451e-08	8.69082e-05
