Time	[PTH]	[active osteoclasts]	[active osteoblasts]
0	2	1	0.15
1	1.85344	0.975009	0.15153
2	1.72184	0.950947	0.152933
3	1.60378	0.92777	0.154223
4	1.49798	0.905433	0.15541
5	1.40328	0.883891	0.156505
6	1.31863	0.863099	0.157519
7	1.24308	0.84301	0.158459
8	1.17578	0.823582	0.159334
9	1.11595	0.804772	0.16015
10	1.06289	0.786541	0.160915
11	1.01597	0.768851	0.161634
12	0.974614	0.751669	0.162313
13	0.938303	0.734964	0.162955
14	0.906572	0.718709	0.163567
15	0.878999	0.702878	0.164151
16	0.855203	0.687451	0.164711
17	0.834841	0.672407	0.165251
18	0.817602	0.657731	0.165773
19	0.803205	0.643406	0.16628
20	0.791397	0.629421	0.166775
21	0.781949	0.615762	0.16726
22	0.774653	0.60242	0.167736
23	0.769324	0.589385	0.168206
24	0.765792	0.576648	0.168672
25	0.763905	0.5642	0.169135
26	0.763524	0.552034	0.169596
27	0.764527	0.540142	0.170056
28	0.766799	0.528517	0.170518
29	0.770239	0.517153	0.170981
30	0.774756	0.506042	0.171448
31	0.780267	0.495178	0.171918
32	0.786696	0.484554	0.172393
33	0.793977	0.474166	0.172874
34	0.802048	0.464006	0.173361
35	0.810853	0.454068	0.173854
36	0.820344	0.444348	0.174356
37	0.830476	0.434839	0.174865
38	0.841208	0.425537	0.175383
39	0.852505	0.416435	0.17591
40	0.864332	0.407529	0.176447
41	0.876662	0.398814	0.176994
42	0.889467	0.390284	0.177552
43	0.902724	0.381936	0.17812
44	0.916412	0.373765	0.1787
45	0.930511	0.365766	0.179292
46	0.945005	0.357935	0.179896
47	0.959877	0.350269	0.180511
48	0.975115	0.342762	0.18114
49	0.990705	0.335412	0.181782
50	1.00664	0.328215	0.182437
51	1.0229	0.321166	0.183105
52	1.03949	0.314264	0.183788
53	1.05639	0.307503	0.184484
54	1.07361	0.300882	0.185195
55	1.09112	0.294397	0.18592
56	1.10893	0.288045	0.186661
57	1.12703	0.281823	0.187416
58	1.14542	0.275728	0.188187
59	1.1641	0.269758	0.188974
60	1.18305	0.26391	0.189776
61	1.20228	0.258181	0.190594
62	1.22178	0.252569	0.191429
63	1.24156	0.247071	0.19228
64	1.2616	0.241686	0.193148
65	1.2819	0.236411	0.194033
66	1.30247	0.231243	0.194935
67	1.3233	0.226181	0.195855
68	1.34439	0.221222	0.196792
69	1.36573	0.216365	0.197746
70	1.38733	0.211608	0.198719
71	1.40918	0.206948	0.19971
72	1.43128	0.202383	0.20072
73	1.45363	0.197912	0.201748
74	1.47622	0.193534	0.202795
75	1.49906	0.189246	0.203861
76	1.52214	0.185046	0.204946
77	1.54545	0.180933	0.20605
78	1.569	0.176905	0.207174
79	1.59279	0.172962	0.208318
80	1.6168	0.1691	0.209482
81	1.64103	0.165318	0.210666
82	1.66549	0.161616	0.21187
83	1.69017	0.157991	0.213094
84	1.71507	0.154443	0.214339
85	1.74017	0.150969	0.215605
86	1.76549	0.147568	0.216892
87	1.791	0.144239	0.218201
88	1.81672	0.140981	0.21953
89	1.84263	0.137792	0.220881
90	1.86873	0.134671	0.222253
91	1.89501	0.131616	0.223647
92	1.92147	0.128627	0.225063
93	1.94811	0.125702	0.226501
94	1.97491	0.12284	0.22796
95	2.00188	0.120039	0.229443
96	2.029	0.117299	0.230947
97	2.05627	0.114619	0.232474
98	2.08369	0.111996	0.234023
99	2.11124	0.109431	0.235595
100	2.13892	0.106922	0.23719
