Time	[Auxin]	[X]	[PLSp]	[Ra]	[Ra*]	[Ra_total]	[CK]	[ET]	[PLSm]	[Re]	[Re_total]	[Re*]	[CTR1]	[CTR1_total]	[CTR1*]	[IAA]	[ACC]	[Cytokinin_ext]
33	0.277677	1.69752	0.0436238	0.78108	0.21892	1	0.262439	0.107306	0.0431671	0.287888	0.3	0.0121119	0.199013	0.3	0.100987	0	0	0
34	0.274649	1.72601	0.0431829	0.783043	0.216957	1	0.26471	0.107288	0.0427576	0.288016	0.3	0.0119838	0.200324	0.3	0.099676	0	0	0
35	0.271838	1.75299	0.0427722	0.784874	0.215126	1	0.266853	0.107271	0.0423758	0.288135	0.3	0.0118646	0.201556	0.3	0.0984443	0	0	0
36	0.269224	1.77854	0.0423893	0.786582	0.213418	1	0.268875	0.107255	0.0420197	0.288247	0.3	0.0117535	0.202713	0.3	0.097287	0	0	0
37	0.266793	1.80273	0.0420322	0.788178	0.211822	1	0.270782	0.107239	0.0416873	0.28835	0.3	0.0116498	0.203801	0.3	0.0961994	0	0	0
38	0.264529	1.82562	0.0416989	0.789669	0.210331	1	0.27258	0.107225	0.0413769	0.288447	0.3	0.0115531	0.204823	0.3	0.0951771	0	0	0
39	0.26242	1.84728	0.0413877	0.791062	0.208938	1	0.274276	0.107211	0.0410869	0.288537	0.3	0.0114628	0.205784	0.3	0.094216	0	0	0
40	0.260454	1.86776	0.0410969	0.792365	0.207635	1	0.275876	0.107198	0.0408159	0.288621	0.3	0.0113785	0.206688	0.3	0.0933123	0	0	0
41	0.258619	1.88712	0.0408252	0.793585	0.206415	1	0.277383	0.107186	0.0405625	0.2887	0.3	0.0112998	0.207537	0.3	0.0924625	0	0	0
42	0.256907	1.90543	0.0405711	0.794726	0.205274	1	0.278805	0.107174	0.0403254	0.288774	0.3	0.0112261	0.208337	0.3	0.0916633	0	0	0
43	0.255308	1.92273	0.0403334	0.795794	0.204206	1	0.280145	0.107163	0.0401035	0.288843	0.3	0.0111573	0.209088	0.3	0.0909116	0	0	0
44	0.253814	1.93908	0.0401109	0.796794	0.203206	1	0.281408	0.107153	0.0398957	0.288907	0.3	0.0110929	0.209796	0.3	0.0902045	0	0	0
45	0.252417	1.95452	0.0399026	0.797732	0.202268	1	0.282599	0.107143	0.0397012	0.288967	0.3	0.0110326	0.210461	0.3	0.0895393	0	0	0
46	0.251111	1.96911	0.0397076	0.79861	0.20139	1	0.283721	0.107134	0.0395189	0.289024	0.3	0.0109761	0.211087	0.3	0.0889135	0	0	0
47	0.249888	1.98289	0.0395249	0.799434	0.200566	1	0.284779	0.107125	0.0393481	0.289077	0.3	0.0109232	0.211675	0.3	0.0883246	0	0	0
48	0.248744	1.9959	0.0393537	0.800206	0.199794	1	0.285776	0.107117	0.0391879	0.289126	0.3	0.0108737	0.212229	0.3	0.0877706	0	0	0
49	0.247672	2.00818	0.0391931	0.80093	0.19907	1	0.286715	0.107109	0.0390377	0.289173	0.3	0.0108273	0.212751	0.3	0.0872492	0	0	0
50	0.246668	2.01978	0.0390426	0.80161	0.19839	1	0.287601	0.107101	0.0388969	0.289216	0.3	0.0107838	0.213241	0.3	0.0867586	0	0	0
51	0.245728	2.03072	0.0389014	0.802248	0.197752	1	0.288435	0.107094	0.0387647	0.289257	0.3	0.0107429	0.213703	0.3	0.0862969	0	0	0
52	0.244846	2.04105	0.038769	0.802846	0.197154	1	0.289221	0.107088	0.0386407	0.289295	0.3	0.0107047	0.214138	0.3	0.0858624	0	0	0
53	0.244019	2.0508	0.0386447	0.803408	0.196592	1	0.289962	0.107082	0.0385243	0.289331	0.3	0.0106688	0.214547	0.3	0.0854534	0	0	0
54	0.243244	2.06	0.0385281	0.803936	0.196064	1	0.29066	0.107076	0.0384151	0.289365	0.3	0.0106351	0.214932	0.3	0.0850684	0	0	0
55	0.242517	2.06867	0.0384186	0.804432	0.195568	1	0.291318	0.10707	0.0383125	0.289397	0.3	0.0106034	0.215294	0.3	0.0847061	0	0	0
56	0.241834	2.07686	0.0383157	0.804897	0.195103	1	0.291938	0.107065	0.0382161	0.289426	0.3	0.0105737	0.215635	0.3	0.084365	0	0	0
57	0.241193	2.08458	0.0382192	0.805335	0.194665	1	0.292522	0.10706	0.0381256	0.289454	0.3	0.0105458	0.215956	0.3	0.084044	0	0	0
58	0.240592	2.09186	0.0381284	0.805746	0.194254	1	0.293072	0.107056	0.0380405	0.28948	0.3	0.0105197	0.216258	0.3	0.0837418	0	0	0
59	0.240027	2.09873	0.0380432	0.806132	0.193868	1	0.293591	0.107051	0.0379606	0.289505	0.3	0.0104951	0.216543	0.3	0.0834573	0	0	0
60	0.239497	2.10521	0.0379632	0.806495	0.193505	1	0.294079	0.107047	0.0378856	0.289528	0.3	0.0104719	0.216811	0.3	0.0831894	0	0	0
61	0.238999	2.11132	0.0378879	0.806836	0.193164	1	0.29454	0.107043	0.037815	0.28955	0.3	0.0104502	0.217063	0.3	0.0829373	0	0	0
62	0.238531	2.11708	0.0378172	0.807157	0.192843	1	0.294973	0.10704	0.0377486	0.28957	0.3	0.0104298	0.2173	0.3	0.0826999	0	0	0
63	0.238091	2.12251	0.0377507	0.807459	0.192541	1	0.295382	0.107036	0.0376863	0.289589	0.3	0.0104106	0.217524	0.3	0.0824764	0	0	0
64	0.237678	2.12763	0.0376882	0.807742	0.192258	1	0.295767	0.107033	0.0376276	0.289607	0.3	0.0103926	0.217734	0.3	0.082266	0	0	0
65	0.23729	2.13246	0.0376294	0.808009	0.191991	1	0.296129	0.10703	0.0375725	0.289624	0.3	0.0103757	0.217932	0.3	0.0820678	0	0	0
66	0.236925	2.13701	0.0375742	0.80826	0.19174	1	0.296471	0.107027	0.0375206	0.28964	0.3	0.0103597	0.218119	0.3	0.0818813	0	0	0
67	0.236582	2.1413	0.0375222	0.808496	0.191504	1	0.296793	0.107024	0.0374718	0.289655	0.3	0.0103447	0.218294	0.3	0.0817057	0	0	0
68	0.236259	2.14534	0.0374734	0.808718	0.191282	1	0.297096	0.107022	0.037426	0.289669	0.3	0.0103306	0.21846	0.3	0.0815403	0	0	0
69	0.235956	2.14916	0.0374274	0.808927	0.191073	1	0.297381	0.107019	0.0373828	0.289683	0.3	0.0103174	0.218615	0.3	0.0813846	0	0	0
70	0.23567	2.15275	0.0373841	0.809123	0.190877	1	0.29765	0.107017	0.0373422	0.289695	0.3	0.0103049	0.218762	0.3	0.0812379	0	0	0
