Time	[Receptor]	[JAK]	[Receptor JAK complex]	[Interferon-Receptor-JAK complex]	[IFNRJ dimer]	[Activated IFNRJ complex]	[STAT1c]	[IFNRJ2_star_STAT1c]	[STAT1c_star]	[IFNRJ2_star_STAT1c_star]	[STAT1c_star_STAT1c_star]	[SHP2]	[IFNRJ2_star_SHP2]	[PPX]	[STAT1c_star_PPX]	[STAT1c_STAT1c_star]	[STAT1n_star_STAT1n_star]	[STAT1n_star]	[PPN]	[STAT1n_star_PPN]	[STAT1n]	[STAT1n_STAT1n_star]	[mRNAn]	[mRNAc]	[SOCS1]	[IFNRJ2_star_SOCS1]	[IFNRJ2_star_SHP2_SOCS1_STAT1c]	[STAT1c_star_STAT1c_star_PPX]	[STAT1n_star_STAT1n_star_PPN]	[IFNRJ2_star_SOCS1_STAT1c]	[IFN]	[IFNRJ2_star_SHP2_STAT1c]	[IFNRJ2_star_SHP2_SOCS1]	[IFNR]
0	10	10	0	0	0	0	1000	0	0	0	0	100	0	50	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0
1	4.18639	5.10228	4.01827	0.864586	0.00742378	3.34765e-06	1000	4.00618e-06	2.43701e-07	3.24763e-16	8.29097e-17	100	5.82481e-08	50	1.55775e-09	6.23311e-12	2.68523e-20	3.26644e-22	60	1.109e-24	5.93988e-28	2.75171e-26	0	0	0	0	0	2.67815e-19	9.71855e-23	0	10	5.97264e-08	0	0.915893
2	2.42358	3.57984	4.33897	1.91401	0.083401	5.72688e-05	1000	0.000128006	1.74671e-05	8.6047e-13	9.38437e-13	100	2.17047e-06	50	2.39757e-07	9.59716e-10	6.62849e-16	1.75581e-17	60	1.27663e-19	1.4635e-22	3.14031e-21	0	0	0	0	0	6.59015e-15	5.17399e-18	0	10	4.18073e-06	0	1.15626
3	1.62451	2.88081	3.97603	2.61714	0.261995	0.00023778	999.999	0.000726996	0.000162665	5.22491e-11	1.31189e-10	99.9999	1.42458e-05	50	3.50949e-06	1.40537e-08	1.48127e-13	6.27705e-15	60	7.18494e-17	1.29842e-19	1.75074e-18	0	0	0	0	0	1.46744e-12	1.83024e-15	0	10	3.79195e-05	0	1.2563
4	1.18748	2.49438	3.47268	3.01463	0.506239	0.000578547	999.997	0.00213856	0.000688094	7.37792e-10	3.31902e-09	99.9998	4.78688e-05	50	2.04727e-05	8.20163e-08	5.26059e-12	3.1364e-13	60	4.97e-15	1.24627e-17	1.19882e-16	0	0	0	0	0	5.19097e-11	9.04135e-14	0	10	0.000155859	0	1.3069
5	0.919	2.25218	2.97718	3.22298	0.767722	0.00107303	999.993	0.00449511	0.00192976	4.87269e-09	3.42646e-08	99.9995	0.000113488	49.9999	7.35291e-05	2.94694e-07	7.08675e-11	5.5336e-12	60	1.13008e-13	3.66406e-16	2.69673e-15	0	0	0	0	0	6.96295e-10	1.57596e-12	0	10	0.000423869	0	1.33318
6	0.739966	2.08523	2.53378	3.32897	1.01544	0.00169734	999.987	0.00775627	0.00422746	2.03711e-08	2.05503e-07	99.9989	0.000218081	49.9998	0.00019651	7.87925e-07	5.28724e-10	5.16122e-11	60	1.29674e-12	5.19366e-15	3.05972e-14	0	0	0	0	0	5.17091e-09	1.45126e-11	0	10	0.000898968	0	1.34527
7	0.613037	1.96164	2.15261	3.38244	1.23545	0.00242438	999.978	0.0117973	0.0078764	6.30714e-08	8.60713e-07	99.998	0.000364963	49.9996	0.000431477	1.73081e-06	2.66254e-09	3.14407e-10	60	9.40476e-12	4.50613e-14	2.19314e-13	0	0	0	0	0	2.59118e-08	8.72371e-11	0	10	0.00161948	0	1.3486
8	0.518775	1.86536	1.83157	3.4093	1.42403	0.00322971	999.967	0.0164719	0.0131107	1.58374e-07	2.80193e-06	99.9968	0.000554486	49.9992	0.00082471	3.30972e-06	1.01577e-08	1.41564e-09	60	4.9192e-11	2.75285e-13	1.13324e-12	0	0	0	0	0	9.83434e-08	3.8741e-10	0	10	0.00260407	0	1.34658
9	0.446293	1.78769	1.56431	3.42255	1.58235	0.00409321	999.953	0.0216432	0.0201049	3.41372e-07	7.58199e-06	99.9954	0.000784925	49.9986	0.00142316	5.71413e-06	3.15749e-08	5.09482e-09	60	2.01766e-10	1.29442e-12	4.5901e-12	0	0	0	0	0	3.04046e-07	1.3746e-09	0	10	0.00385499	0	1.34139
10	0.38911	1.72359	1.34339	3.4286	1.7136	0.00499903	999.936	0.027195	0.0289821	6.55787e-07	1.78311e-05	99.9936	0.00105325	49.9977	0.0022718	9.12615e-06	8.39467e-08	1.54432e-08	60	6.86384e-10	4.97305e-12	1.54153e-11	0	0	0	0	0	8.03814e-07	4.10645e-09	0	10	0.00536264	0	1.33448
11	0.343155	1.6699	1.16159	3.43069	1.82148	0.00593507	999.917	0.0330333	0.039824	1.15224e-06	3.75866e-05	99.9915	0.00135574	49.9966	0.0034119	1.37138e-05	1.97442e-07	4.0894e-08	60	2.01446e-09	1.6283e-11	4.46507e-11	0	0	0	0	0	1.8796e-06	1.07138e-08	0	10	0.00710971	0	1.32674
12	0.305738	1.62452	1.0124	3.43047	1.90956	0.00689217	999.894	0.0390844	0.0526795	1.88629e-06	7.26013e-05	99.9892	0.00168839	49.9951	0.00488004	1.9627e-05	4.20927e-07	9.71338e-08	60	5.24814e-09	4.68467e-11	1.14777e-10	0	0	0	0	0	3.98322e-06	2.50668e-08	0	10	0.00907453	0	1.31878
13	0.274997	1.58595	0.890208	3.42882	1.98107	0.00786352	999.869	0.045291	0.0675723	2.91662e-06	0.000130614	99.9867	0.00204724	49.9933	0.00670765	2.69968e-05	8.28187e-07	2.11058e-07	60	1.23978e-08	1.21163e-10	2.6747e-10	0	0	0	0	0	7.78924e-06	5.36391e-08	0	10	0.0112335	0	1.31095
14	0.249589	1.55305	0.790224	3.42623	2.0388	0.00884408	999.841	0.0516095	0.0845057	4.3034e-06	0.000221571	99.984	0.0024285	49.9911	0.00892094	3.59345e-05	1.52454e-06	4.25837e-07	60	2.69911e-08	2.86668e-10	5.74318e-10	0	0	0	0	0	1.42492e-05	1.06561e-07	0	10	0.0135629	0	1.30346
15	0.228506	1.52494	0.708459	3.42297	2.0851	0.00983014	999.81	0.0580063	0.103467	6.10702e-06	0.000357796	99.9811	0.0028287	49.9884	0.011541	4.65336e-05	2.65359e-06	8.07132e-07	60	5.48442e-08	6.2899e-10	1.15077e-09	0	0	0	0	0	2.46445e-05	1.98843e-07	0	10	0.0160398	0	1.29643
16	0.21097	1.50089	0.641605	3.41924	2.12196	0.010819	999.777	0.0644561	0.124432	8.38701e-06	0.000554101	99.9781	0.00324472	49.9854	0.0145843	5.88711e-05	4.40386e-06	1.45041e-06	60	1.05058e-07	1.2938e-09	2.17346e-09	0	0	0	0	0	4.06364e-05	3.51733e-07	0	10	0.018643	0	1.28992
17	0.196364	1.4803	0.586933	3.41514	2.15103	0.0118086	999.74	0.0709396	0.147365	1.12013e-05	0.000827845	99.975	0.0036738	49.9819	0.0180627	7.30095e-05	7.01511e-06	2.48935e-06	60	1.91257e-07	2.51675e-09	3.90074e-09	0	0	0	0	0	6.43096e-05	5.94179e-07	0	10	0.021353	0	1.28394
18	0.18419	1.46268	0.542206	3.41075	2.17366	0.0127976	999.701	0.0774422	0.17222	1.46056e-05	0.00119893	99.9717	0.00411354	49.9779	0.021984	8.89986e-05	1.07841e-05	4.10511e-06	60	3.3308e-07	4.66294e-09	6.6963e-09	0	0	0	0	0	9.82098e-05	9.64344e-07	0	10	0.0241526	0	1.27849
19	0.174043	1.44758	0.505592	3.40615	2.191	0.0137849	999.66	0.0839526	0.198945	1.86529e-05	0.00168977	99.9684	0.00456186	49.9735	0.0263524	0.000106878	1.60697e-05	6.53659e-06	60	5.57926e-07	8.27722e-09	1.10555e-08	0	0	0	0	0	0.000145373	1.51114e-06	0	10	0.0270264	0	1.27354
20	0.165584	1.43464	0.475595	3.40136	2.20397	0.0147698	999.616	0.0904625	0.227482	2.33932e-05	0.00232516	99.965	0.00501699	49.9686	0.0311686	0.00012668	2.32972e-05	1.00912e-05	60	9.02948e-07	1.41465e-08	1.76335e-08	0	0	0	0	0	0.000209345	2.29571e-06	0	10	0.029961	0	1.26906
21	0.158535	1.42354	0.450994	3.39643	2.21335	0.0157518	999.569	0.0969653	0.257766	2.88733e-05	0.00313216	99.9616	0.00547743	49.9633	0.0364306	0.000148428	3.29614e-05	1.51563e-05	60	1.41728e-06	2.3375e-08	2.72756e-08	0	0	0	0	0	0.000294192	3.39291e-06	0	10	0.0329448	0	1.265
22	0.152662	1.41401	0.430793	3.39139	2.21978	0.0167304	999.519	0.103456	0.289727	3.51364e-05	0.00413986	99.9581	0.00594191	49.9575	0.0421334	0.000172142	4.56294e-05	2.22109e-05	60	2.16447e-06	3.74732e-08	4.10475e-08	0	0	0	0	0	0.000404504	4.89255e-06	0	10	0.0359679	0	1.26134
23	0.147771	1.4058	0.414182	3.38625	2.22377	0.0177055	999.467	0.109932	0.323291	4.2222e-05	0.00537922	99.9546	0.00640937	49.9512	0.0482697	0.000197838	6.19413e-05	3.18376e-05	60	3.22515e-06	5.84609e-08	6.02661e-08	0	0	0	0	0	0.000545381	6.90061e-06	0	10	0.0390218	0	1.25803
