Time	[Aspartate]	[AK1]	[Lysine]	[S-adenosyl-methionine]	[Aspartyl_P]	[AK2]	[AKI-HSDHI]	[AKII-HSDHII]	[Threonine]	[ASADH]	[Aspartate semialdehyde]	[DHDPS1]	[DHDPS2]	[Homoserine]	[Phosphohomoserine]	[HSK]	[TS1]	[Phosphate]	[Cysteine]	[CGS]	[Cystathione]	[TD]	[Isoleucine]	[Valine]	[Lys-tRNA]	[Thr-tRNA]	[Ile-tRNA]	[LKR]	[Saccharopine]	[THA]	[Glycine]
0	1500	0.25	0	20	0	0.25	0.63	0.63	0	11.6	0	1.6	1.6	0	0	4	7.4	10000	15	0.7	0	0.36	0	100	0	0	0	0	0	0	0
1	1500	0.25	1.42669	20	0.44188	0.25	0.63	0.63	0.000416526	11.6	0.665564	1.6	1.6	0.317699	0.101695	4	7.4	10000	15	0.7	0	0.36	3.90768e-07	100	0	0	0	0	0	0	0
2	1500	0.25	3.53041	20	0.450121	0.25	0.63	0.63	0.00432855	11.6	0.707896	1.6	1.6	0.59823	0.462689	4	7.4	10000	15	0.7	0	0.36	8.92293e-06	100	0	0	0	0	0	0	0
3	1500	0.25	5.55017	20	0.452294	0.25	0.63	0.63	0.0147397	11.6	0.735241	1.6	1.6	0.750598	0.970978	4	7.4	10000	15	0.7	0	0.36	4.81801e-05	100	0	0	0	0	0	0	0
4	1500	0.25	7.46319	20	0.456553	0.25	0.63	0.63	0.0331724	11.6	0.769215	1.6	1.6	0.845514	1.5567	4	7.4	10000	15	0.7	0	0.36	0.000149968	100	0	0	0	0	0	0	0
5	1500	0.25	9.2785	20	0.461779	0.25	0.63	0.63	0.0604409	11.6	0.805185	1.6	1.6	0.915718	2.19015	4	7.4	10000	15	0.7	0	0.36	0.00035035	100	0	0	0	0	0	0	0
6	1500	0.25	11.0059	20	0.467168	0.25	0.63	0.63	0.0970525	11.6	0.840273	1.6	1.6	0.974233	2.85799	4	7.4	10000	15	0.7	0	0.36	0.000687449	100	0	0	0	0	0	0	0
7	1500	0.25	12.6539	20	0.472357	0.25	0.63	0.63	0.143367	11.6	0.873319	1.6	1.6	1.02609	3.55326	4	7.4	10000	15	0.7	0	0.36	0.00120046	100	0	0	0	0	0	0	0
8	1500	0.25	14.2298	20	0.477219	0.25	0.63	0.63	0.199659	11.6	0.904045	1.6	1.6	1.07329	4.27145	4	7.4	10000	15	0.7	0	0.36	0.00192912	100	0	0	0	0	0	0	0
9	1500	0.25	15.7396	20	0.481733	0.25	0.63	0.63	0.266141	11.6	0.932539	1.6	1.6	1.11676	5.00916	4	7.4	10000	15	0.7	0	0.36	0.0029134	100	0	0	0	0	0	0	0
10	1500	0.25	17.1884	20	0.485918	0.25	0.63	0.63	0.342981	11.6	0.959013	1.6	1.6	1.15704	5.76359	4	7.4	10000	15	0.7	0	0.36	0.00419326	100	0	0	0	0	0	0	0
11	1500	0.25	18.5806	20	0.489808	0.25	0.63	0.63	0.430303	11.6	0.983693	1.6	1.6	1.19453	6.53229	4	7.4	10000	15	0.7	0	0.36	0.00580845	100	0	0	0	0	0	0	0
12	1500	0.25	19.92	20	0.493432	0.25	0.63	0.63	0.5282	11.6	1.00678	1.6	1.6	1.22955	7.31316	4	7.4	10000	15	0.7	0	0.36	0.00779837	100	0	0	0	0	0	0	0
13	1500	0.25	21.21	20	0.496818	0.25	0.63	0.63	0.636732	11.6	1.02845	1.6	1.6	1.26236	8.10434	4	7.4	10000	15	0.7	0	0.36	0.0102019	100	0	0	0	0	0	0	0
14	1500	0.25	22.4537	20	0.499986	0.25	0.63	0.63	0.755934	11.6	1.04882	1.6	1.6	1.2932	8.9042	4	7.4	10000	15	0.7	0	0.36	0.0130573	100	0	0	0	0	0	0	0
