Time	[glucose{external}]	[glucose{cell}]	[G6P]	[G1P]	[UDPG]	[glycogen]	[T6P]	[trehalose]
0	1	0.03	1	0.1	0.7	1	0.02	0.05
1	1	0.0299315	0.998513	0.0998518	0.699526	0.998204	0.0199012	0.049856
2	1	0.0299287	0.998503	0.0998501	0.699414	0.997433	0.0198978	0.0498359
3	1	0.0299281	0.998501	0.0998496	0.699391	0.997165	0.0198971	0.0498331
4	1	0.029928	0.9985	0.0998494	0.699385	0.997076	0.0198969	0.0498325
5	1	0.0299279	0.9985	0.0998494	0.699384	0.997048	0.0198969	0.0498324
6	1	0.0299279	0.9985	0.0998494	0.699383	0.997039	0.0198969	0.0498323
7	1	0.0299279	0.9985	0.0998494	0.699383	0.997036	0.0198969	0.0498323
8	1	0.0299279	0.9985	0.0998493	0.699383	0.997036	0.0198969	0.0498323
9	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
10	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
11	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
12	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
13	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
14	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
15	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
16	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
17	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
18	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
19	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
20	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
21	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
22	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
23	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
24	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
25	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
26	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
27	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
28	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
29	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
30	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
31	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
32	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
33	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
34	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
35	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
36	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
37	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
38	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
39	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
