Time	[E3]	[PI3K_LY]	[E3H]	[E2]	[E23H]	[E23HP]	[Shc]	[E23HP_Shc]	[E23HP_ShcP]	[GS]	[E23HP_ShGS]	[E2_Per]	[PTEN_bpV]	[RasGDP]	[PI3Ka_PIP3]	[Raf]	[E23H_C]	[MEK]	[MEKP]	[PP2A]	[MEKP_PP2A]	[MEK_PP2A]	[Akt_PIP3_PP2A]	[MEKPP_PP2A]	[ERK]	[ERKP]	[E3H_C]	[PI3K]	[E23HP_PI3K]	[Akt_PIP3]	[PI3Ka]	[PI2]	[Akt_PI_P_PP2A]	[PTEN]	[PIP3]	[PTEN_PIP3]	[PTEN_PI]	[PTENP]	[PTENP_PTEN]	[Akt_PI_P]	[Akt]	[E23HP_PI3Ka]	[PTEN_PTEN]	[PI3Ka_PI]	[MEKPP]	[Akt_PI_PP]	[Akt_PI_PP_PP2A]	[Per]	[ShGS]	[E2Per]	[ERKPP]	[Rafa]	[RasGTP]	[ShcP]	[HRG]
10	0.497066	0	2.41886	25.335	6.12832	26.6663	0.0024094	0.000338939	5.93006e-05	99.9992	0.000646847	-5.02767e-27	0	120	2.07222	99.9631	2.72383	0.360598	0.140363	0.432315	0.318894	0.299425	3.68045	0.345443	0.196835	1.01497	2.41904	144.235	38.0813	0.00074162	12.6938	179.573	2.45358	17.0073	0.00289324	4.14365	17.2631	8.00705	0.894731	0.000746594	5.12682	0.845	0.894731	2.07223	8.53528	86.2678	2.46989	-4.0077e-24	0.000116239	-5.39952e-27	8.7882	0.0369411	2.33996e-05	99.9964	2920.5
11	0.495702	0	2.41249	25.3209	6.10882	26.6684	0.00224168	0.000311505	5.28745e-05	99.9993	0.000576435	-5.02175e-27	0	120	2.07224	99.9879	2.72645	0.529164	0.163389	0.432277	0.317808	0.308044	3.68009	0.338568	0.175251	0.969375	2.41268	144.232	38.0836	0.00074148	12.6945	179.562	2.45343	16.9975	0.00289543	4.14443	17.2678	8.01144	0.894708	0.000746453	5.12174	0.84505	0.894708	2.07224	8.34303	86.2735	2.46978	-4.00478e-24	0.000103318	-8.33183e-27	8.85537	0.0120795	2.0674e-05	99.9967	2920.5
12	0.494935	0	2.4089	25.3129	6.09784	26.6642	0.00220763	0.000305875	5.15534e-05	99.9993	0.000561959	-5.01712e-27	0	120	2.07204	99.996	2.72721	0.70956	0.181389	0.432657	0.314533	0.311698	3.68276	0.331441	0.167185	0.955971	2.40909	144.239	38.0793	0.00074198	12.6931	179.564	2.45526	16.9956	0.00289577	4.14446	17.2687	8.01238	0.894713	0.000746958	5.12445	0.844956	0.894713	2.07204	8.15138	86.2644	2.47166	-4.00189e-24	0.00010067	-1.12261e-26	8.87684	0.00395588	2.01155e-05	99.9968	2920.49
13	0.494476	0	2.40674	25.3081	6.09123	26.6569	0.0022011	0.000304708	5.12751e-05	99.9993	0.000558908	-5.01315e-27	0	120	2.07174	99.9987	2.72705	0.894576	0.196626	0.433299	0.310023	0.311891	3.68733	0.324334	0.166216	0.959279	2.40693	144.249	38.0717	0.000742886	12.6906	179.574	2.45834	16.9978	0.00289515	4.14411	17.2676	8.01153	0.894734	0.000747869	5.13173	0.844787	0.894734	2.07173	7.96255	86.2463	2.47478	-3.99903e-24	0.000100124	-1.40832e-26	8.8745	0.00130279	2.00004e-05	99.9968	2920.49
14	0.494176	0	2.40531	25.305	6.08687	26.6479	0.00220033	0.00030446	5.12099e-05	99.9993	0.000558193	-5.00955e-27	0	120	2.07139	99.9996	2.72642	1.08035	0.210315	0.434096	0.304879	0.309788	3.69305	0.31736	0.169104	0.971437	2.4055	144.263	38.0624	0.000744033	12.6875	179.587	2.46217	17.0022	0.00289401	4.14355	17.2655	8.00972	0.894763	0.000749025	5.14164	0.84458	0.894763	2.07138	7.7773	86.223	2.47865	-3.99622e-24	0.000100009	-1.69041e-26	8.85946	0.000436354	1.99762e-05	99.9968	2920.49
15	0.493958	0	2.40427	25.3027	6.08368	26.6381	0.0022008	0.000304402	5.11886e-05	99.9993	0.000557958	-5.00616e-27	0	120	2.07102	99.9998	2.72557	1.26491	0.222998	0.43498	0.299456	0.306234	3.69941	0.310553	0.174192	0.988454	2.40446	144.277	38.0522	0.000745318	12.6841	179.602	2.46642	17.0078	0.00289259	4.14287	17.2628	8.00739	0.894796	0.000750318	5.15302	0.844354	0.894796	2.071	7.59585	86.1967	2.48294	-3.99343e-24	9.99842e-05	-1.96892e-26	8.83735	0.000153348	1.9971e-05	99.9968	2920.49
16	0.493781	0	2.40342	25.3008	6.08108	26.6278	0.00220156	0.000304386	5.11764e-05	99.9993	0.000557823	-5.00289e-27	0	120	2.07063	99.9999	2.7246	1.44724	0.234897	0.435909	0.293947	0.30181	3.7061	0.303912	0.180624	1.00829	2.40361	144.293	38.0415	0.000746672	12.6805	179.619	2.47088	17.014	0.00289102	4.14213	17.2598	8.00479	0.894832	0.000751681	5.16517	0.844117	0.894832	2.07062	7.41819	86.1689	2.48744	-3.99069e-24	9.99782e-05	-2.24391e-26	8.81109	6.08879e-05	1.99697e-05	99.9968	2920.49
17	0.493626	0	2.40267	25.2992	6.07878	26.6173	0.0022024	0.00030438	5.11661e-05	99.9993	0.000557709	-4.99971e-27	0	120	2.07023	100	2.72357	1.62682	0.246108	0.436856	0.28845	0.296897	3.71292	0.297424	0.187954	1.02988	2.40286	144.308	38.0306	0.000748055	12.6769	179.636	2.47543	17.0205	0.00288937	4.14136	17.2566	8.00204	0.894869	0.000753073	5.17769	0.843875	0.894869	2.07022	7.24431	86.1404	2.49202	-3.98797e-24	9.99766e-05	-2.51543e-26	8.78217	3.06731e-05	1.99694e-05	99.9968	2920.49
18	0.493482	0	2.40197	25.2976	6.07665	26.6067	0.00220327	0.000304376	5.11562e-05	99.9993	0.000557599	-4.99658e-27	0	120	2.06984	100	2.7225	1.80338	0.256676	0.437807	0.283012	0.291735	3.71977	0.291075	0.195953	1.05267	2.40216	144.324	38.0196	0.000749444	12.6732	179.654	2.48	17.0273	0.00288767	4.14057	17.2533	7.99921	0.894907	0.000754472	5.19035	0.843631	0.894906	2.06982	7.07412	86.1118	2.49661	-3.9853e-24	9.9976e-05	-2.78352e-26	8.75138	2.07982e-05	1.99692e-05	99.9968	2920.49
19	0.493344	0	2.4013	25.2961	6.07459	26.596	0.00220415	0.000304373	5.11465e-05	99.9993	0.000557492	-4.9935e-27	0	120	2.06944	100	2.72143	1.97682	0.266631	0.438753	0.277652	0.286467	3.72657	0.284854	0.204503	1.07638	2.40149	144.34	38.0085	0.000750825	12.6695	179.672	2.48453	17.0341	0.00288595	4.13977	17.25	7.99633	0.894945	0.000755863	5.20302	0.843385	0.894944	2.06942	6.90758	86.0832	2.50117	-3.98265e-24	9.99757e-05	-3.04823e-26	8.71912	1.7572e-05	1.99692e-05	99.9968	2920.49
