Time	[E3]	[PI3K_LY]	[E3H]	[E2]	[E23H]	[E23HP]	[Shc]	[E23HP_Shc]	[E23HP_ShcP]	[GS]	[E23HP_ShGS]	[E2_Per]	[PTEN_bpV]	[RasGDP]	[PI3Ka_PIP3]	[Raf]	[E23H_C]	[MEK]	[MEKP]	[PP2A]	[MEKP_PP2A]	[MEK_PP2A]	[Akt_PIP3_PP2A]	[MEKPP_PP2A]	[ERK]	[ERKP]	[E3H_C]	[PI3K]	[E23HP_PI3K]	[Akt_PIP3]	[PI3Ka]	[PI2]	[Akt_PI_P_PP2A]	[PTEN]	[PIP3]	[PTEN_PIP3]	[PTEN_PI]	[PTENP]	[PTENP_PTEN]	[Akt_PI_P]	[Akt]	[E23HP_PI3Ka]	[PTEN_PTEN]	[PI3Ka_PI]	[MEKPP]	[Akt_PI_PP]	[Akt_PI_PP_PP2A]	[Per]	[ShGS]	[E2Per]	[ERKPP]	[Rafa]	[RasGTP]	[ShcP]	[HRG]
33	0.491491	0	2.39228	25.2762	6.04702	26.4464	0.00221661	0.000304338	5.10118e-05	99.9993	0.000555994	-4.95408e-27	0	120	2.06369	100	2.7062	4.08609	0.352412	0.450687	0.210816	0.218117	3.81181	0.208911	0.37731	1.47427	2.39247	144.562	37.853	0.000768145	12.6177	179.909	2.54133	17.1332	0.00286122	4.12818	17.2017	7.95492	0.89549	0.000773299	5.36909	0.839933	0.895489	2.06368	4.92366	85.7179	2.55833	-3.94896e-24	9.99754e-05	-6.42188e-26	8.14842	1.60642e-05	1.99691e-05	99.9968	2920.49
34	0.491359	0	2.39164	25.2748	6.04506	26.4358	0.0022175	0.000304336	5.10022e-05	99.9993	0.000555888	-4.95151e-27	0	120	2.06327	100	2.70511	4.21562	0.355374	0.451443	0.206589	0.213772	3.81717	0.204218	0.39411	1.50716	2.39183	144.578	37.8419	0.000769233	12.614	179.925	2.5449	17.1404	0.00285943	4.12733	17.1982	7.95193	0.895529	0.000774394	5.38006	0.839687	0.895529	2.06326	4.80443	85.6944	2.56192	-3.94677e-24	9.99754e-05	-6.64067e-26	8.09873	1.60684e-05	1.99691e-05	99.9968	2920.49
35	0.491227	0	2.391	25.2734	6.0431	26.4251	0.00221839	0.000304333	5.09926e-05	99.9993	0.000555781	-4.94896e-27	0	120	2.06285	100	2.70403	4.34257	0.357993	0.452186	0.202431	0.209497	3.82243	0.199615	0.411629	1.54064	2.39119	144.594	37.8308	0.000770302	12.6103	179.941	2.5484	17.1477	0.00285764	4.12648	17.1947	7.94893	0.895568	0.00077547	5.39092	0.839441	0.895568	2.06284	4.68789	85.6713	2.56544	-3.94461e-24	9.99754e-05	-6.85669e-26	8.04773	1.60724e-05	1.99691e-05	99.9968	2920.49
36	0.491096	0	2.39036	25.272	6.04114	26.4145	0.00221929	0.000304331	5.0983e-05	99.9993	0.000555675	-4.94644e-27	0	120	2.06243	100	2.70294	4.46698	0.360282	0.452917	0.198343	0.205292	3.82759	0.195102	0.429895	1.5747	2.39055	144.61	37.8197	0.000771352	12.6066	179.957	2.55184	17.1549	0.00285585	4.12563	17.1911	7.94593	0.895608	0.000776528	5.40166	0.839195	0.895607	2.06242	4.574	85.6484	2.56891	-3.94248e-24	9.99754e-05	-7.06999e-26	7.9954	1.60764e-05	1.99691e-05	99.9968	2920.49
37	0.490964	0	2.38972	25.2706	6.03919	26.4039	0.00222018	0.000304328	5.09734e-05	99.9993	0.000555568	-4.94395e-27	0	120	2.06201	100	2.70186	4.58888	0.362254	0.453636	0.194322	0.201157	3.83267	0.190677	0.448937	1.60935	2.38991	144.625	37.8087	0.000772384	12.6029	179.973	2.55523	17.1621	0.00285406	4.12478	17.1876	7.94293	0.895647	0.000777566	5.41229	0.83895	0.895647	2.062	4.46271	85.626	2.57231	-3.94038e-24	9.99754e-05	-7.2806e-26	7.94171	1.60804e-05	1.99691e-05	99.9968	2920.49
38	0.490833	0	2.38908	25.2692	6.03723	26.3932	0.00222107	0.000304326	5.09639e-05	99.9993	0.000555462	-4.94149e-27	0	120	2.06159	100	2.70078	4.70832	0.363922	0.454343	0.19037	0.19709	3.83766	0.186341	0.468782	1.64458	2.38927	144.641	37.7976	0.000773397	12.5992	179.989	2.55855	17.1694	0.00285226	4.12393	17.184	7.93992	0.895687	0.000778587	5.4228	0.838704	0.895686	2.06157	4.35395	85.6038	2.57565	-3.9383e-24	9.99753e-05	-7.48854e-26	7.88664	1.60843e-05	1.99691e-05	99.9968	2920.49
39	0.490701	0	2.38844	25.2678	6.03528	26.3826	0.00222197	0.000304324	5.09543e-05	99.9993	0.000555356	-4.93905e-27	0	120	2.06116	100	2.6997	4.82535	0.365299	0.455038	0.186484	0.193092	3.84255	0.18209	0.489461	1.68037	2.38863	144.657	37.7865	0.000774392	12.5955	180.005	2.56181	17.1767	0.00285046	4.12307	17.1805	7.93691	0.895726	0.000779588	5.43321	0.838458	0.895726	2.06115	4.24769	85.5819	2.57894	-3.93625e-24	9.99753e-05	-7.69386e-26	7.83017	1.60881e-05	1.99691e-05	99.9968	2920.49
40	0.49057	0	2.3878	25.2664	6.03333	26.372	0.00222286	0.000304321	5.09447e-05	99.9993	0.000555249	-4.93664e-27	0	120	2.06074	100	2.69861	4.93999	0.366395	0.455721	0.182665	0.189161	3.84736	0.177924	0.511003	1.71671	2.38799	144.673	37.7754	0.000775369	12.5918	180.02	2.56501	17.1839	0.00284866	4.12221	17.1769	7.9339	0.895766	0.000780572	5.44351	0.838213	0.895766	2.06072	4.14386	85.5604	2.58216	-3.93423e-24	9.99753e-05	-7.89659e-26	7.77228	1.60919e-05	1.99691e-05	99.9968	2920.49
41	0.490439	0	2.38716	25.2649	6.03137	26.3614	0.00222376	0.000304319	5.09352e-05	99.9993	0.000555143	-4.93426e-27	0	120	2.06031	100	2.69753	5.0523	0.367223	0.456392	0.178912	0.185297	3.85208	0.173843	0.533438	1.75361	2.38735	144.689	37.7644	0.000776328	12.5881	180.036	2.56816	17.1912	0.00284686	4.12135	17.1733	7.93088	0.895806	0.000781538	5.4537	0.837967	0.895805	2.0603	4.04243	85.5392	2.58532	-3.93223e-24	9.99753e-05	-8.09675e-26	7.71296	1.60956e-05	1.99691e-05	99.9968	2920.49
42	0.490307	0	2.38652	25.2635	6.02942	26.3508	0.00222465	0.000304316	5.09256e-05	99.9993	0.000555037	-4.93191e-27	0	120	2.05988	100	2.69645	5.1623	0.367795	0.457052	0.175224	0.181499	3.85671	0.169844	0.5568	1.79103	2.38671	144.705	37.7533	0.00077727	12.5844	180.051	2.57124	17.1985	0.00284505	4.12049	17.1697	7.92786	0.895845	0.000782486	5.46378	0.837722	0.895845	2.05987	3.94333	85.5183	2.58843	-3.93025e-24	9.99753e-05	-8.29439e-26	7.65217	1.60993e-05	1.99691e-05	99.9968	2920.49
43	0.490176	0	2.38588	25.2621	6.02747	26.3402	0.00222555	0.000304314	5.09161e-05	99.9993	0.000554931	-4.92959e-27	0	120	2.05945	100	2.69537	5.27005	0.36812	0.4577	0.1716	0.177767	3.86126	0.165926	0.581118	1.82896	2.38607	144.721	37.7423	0.000778195	12.5808	180.066	2.57427	17.2059	0.00284324	4.11963	17.1661	7.92484	0.895885	0.000783417	5.47376	0.837476	0.895885	2.05944	3.84653	85.4977	2.59148	-3.9283e-24	9.99753e-05	-8.48953e-26	7.58992	1.6103e-05	1.99691e-05	99.9968	2920.49
44	0.490045	0	2.38524	25.2607	6.02552	26.3296	0.00222644	0.000304312	5.09066e-05	99.9993	0.000554825	-4.92729e-27	0	120	2.05903	100	2.69429	5.37558	0.36821	0.458337	0.168041	0.174099	3.86572	0.162088	0.606427	1.8674	2.38543	144.736	37.7312	0.000779102	12.5771	180.081	2.57725	17.2132	0.00284144	4.11876	17.1625	7.92181	0.895925	0.00078433	5.48363	0.837231	0.895925	2.05901	3.75198	85.4774	2.59447	-3.92638e-24	9.99753e-05	-8.6822e-26	7.52617	1.61065e-05	1.99691e-05	99.9968	2920.49
45	0.489913	0	2.3846	25.2593	6.02357	26.319	0.00222734	0.000304309	5.0897e-05	99.9993	0.000554719	-4.92501e-27	0	120	2.0586	100	2.69321	5.47893	0.368076	0.458963	0.164544	0.170496	3.8701	0.15833	0.632758	1.90631	2.38479	144.752	37.7202	0.000779992	12.5734	180.097	2.58016	17.2206	0.00283963	4.1179	17.1589	7.91879	0.895965	0.000785226	5.4934	0.836986	0.895964	2.05858	3.65963	85.4574	2.5974	-3.92448e-24	9.99753e-05	-8.87244e-26	7.46093	1.61101e-05	1.99691e-05	99.9968	2920.49
46	0.489782	0	2.38396	25.2579	6.02162	26.3084	0.00222823	0.000304307	5.08875e-05	99.9993	0.000554613	-4.92277e-27	0	120	2.05816	100	2.69213	5.58013	0.367726	0.459578	0.16111	0.166957	3.8744	0.154649	0.660146	1.94568	2.38415	144.768	37.7091	0.000780865	12.5697	180.112	2.58303	17.2279	0.00283781	4.11703	17.1553	7.91576	0.896004	0.000786105	5.50306	0.836741	0.896004	2.05815	3.56943	85.4377	2.60028	-3.9226e-24	9.99753e-05	-9.06027e-26	7.39417	1.61135e-05	1.99691e-05	99.9968	2920.49
47	0.489651	0	2.38332	25.2565	6.01967	26.2978	0.00222913	0.000304304	5.0878e-05	99.9993	0.000554508	-4.92054e-27	0	120	2.05773	100	2.69106	5.67923	0.367171	0.460182	0.157737	0.16348	3.87861	0.151044	0.688626	1.98548	2.38351	144.784	37.6981	0.000781722	12.566	180.127	2.58583	17.2353	0.002836	4.11616	17.1517	7.91272	0.896044	0.000786968	5.51263	0.836496	0.896044	2.05772	3.48134	85.4182	2.60311	-3.92075e-24	9.99753e-05	-9.24573e-26	7.3259	1.6117e-05	1.99691e-05	99.9968	2920.49
48	0.48952	0	2.38269	25.2551	6.01772	26.2872	0.00223003	0.000304302	5.08684e-05	99.9993	0.000554402	-4.91835e-27	0	120	2.0573	100	2.68998	5.77626	0.366421	0.460775	0.154426	0.160065	3.88275	0.147515	0.71823	2.02568	2.38287	144.8	37.687	0.000782563	12.5623	180.141	2.58859	17.2427	0.00283418	4.11528	17.148	7.90969	0.896084	0.000787815	5.52209	0.836251	0.896084	2.05728	3.39531	85.3991	2.60588	-3.91892e-24	9.99752e-05	-9.42885e-26	7.25609	1.61204e-05	1.99691e-05	99.9968	2920.49
49	0.489389	0	2.38205	25.2537	6.01578	26.2767	0.00223092	0.0003043	5.08589e-05	99.9993	0.000554296	-4.91617e-27	0	120	2.05687	100	2.6889	5.87126	0.365485	0.461357	0.151174	0.156712	3.8868	0.14406	0.748996	2.06626	2.38224	144.816	37.676	0.000783388	12.5587	180.156	2.59129	17.2501	0.00283237	4.11441	17.1444	7.90665	0.896124	0.000788645	5.53146	0.836006	0.896124	2.05685	3.31131	85.3803	2.6086	-3.91712e-24	9.99752e-05	-9.60965e-26	7.18474	1.61237e-05	1.99691e-05	99.9968	2920.49
50	0.489258	0	2.38141	25.2523	6.01383	26.2661	0.00223182	0.000304297	5.08494e-05	99.9993	0.00055419	-4.91402e-27	0	120	2.05643	100	2.68782	5.96427	0.36437	0.461929	0.147982	0.15342	3.89078	0.140678	0.780957	2.10719	2.3816	144.831	37.665	0.000784197	12.555	180.171	2.59394	17.2575	0.00283055	4.11353	17.1407	7.90361	0.896164	0.000789459	5.54073	0.835761	0.896164	2.05642	3.22928	85.3617	2.61127	-3.91533e-24	9.99752e-05	-9.78817e-26	7.11186	1.6127e-05	1.99691e-05	99.9968	2920.49
51	0.489127	0	2.38077	25.2509	6.01189	26.2555	0.00223272	0.000304295	5.08399e-05	99.9993	0.000554085	-4.9119e-27	0	120	2.05599	100	2.68675	6.05532	0.363088	0.46249	0.144849	0.150187	3.89468	0.137368	0.814149	2.14842	2.38096	144.847	37.6539	0.00078499	12.5513	180.185	2.59654	17.2649	0.00282873	4.11266	17.1371	7.90057	0.896204	0.000790257	5.5499	0.835516	0.896204	2.05598	3.14919	85.3434	2.61388	-3.91357e-24	9.99752e-05	-9.96443e-26	7.03744	1.61302e-05	1.99691e-05	99.9968	2920.49
52	0.488996	0	2.38014	25.2495	6.00994	26.245	0.00223362	0.000304292	5.08304e-05	99.9993	0.000553979	-4.9098e-27	0	120	2.05556	100	2.68567	6.14445	0.361644	0.463042	0.141774	0.147014	3.89851	0.134128	0.848608	2.18992	2.38032	144.863	37.6429	0.000785767	12.5476	180.2	2.59909	17.2723	0.00282691	4.11178	17.1334	7.89752	0.896244	0.00079104	5.55898	0.835272	0.896244	2.05554	3.07099	85.3254	2.61645	-3.91183e-24	9.99752e-05	-1.01385e-25	6.96147	1.61334e-05	1.99691e-05	99.9968	2920.49
53	0.488865	0	2.3795	25.248	6.008	26.2344	0.00223451	0.00030429	5.08209e-05	99.9993	0.000553874	-4.90772e-27	0	120	2.05512	100	2.6846	6.23169	0.360049	0.463583	0.138756	0.143899	3.90226	0.130958	0.88437	2.23165	2.37969	144.879	37.6319	0.00078653	12.544	180.214	2.60159	17.2797	0.00282509	4.1109	17.1298	7.89448	0.896284	0.000791808	5.56797	0.835027	0.896284	2.05511	2.99465	85.3076	2.61896	-3.91012e-24	9.99752e-05	-1.03103e-25	6.88398	1.61365e-05	1.99691e-05	99.9968	2920.49
54	0.488734	0	2.37886	25.2466	6.00605	26.2239	0.00223541	0.000304288	5.08114e-05	99.9993	0.000553768	-4.90567e-27	0	120	2.05468	100	2.68352	6.31708	0.358309	0.464114	0.135795	0.140842	3.90593	0.127856	0.92147	2.27357	2.37905	144.895	37.6209	0.000787277	12.5403	180.229	2.60404	17.2872	0.00282326	4.11001	17.1261	7.89143	0.896324	0.00079256	5.57686	0.834783	0.896324	2.05467	2.92012	85.2902	2.62143	-3.90842e-24	9.99752e-05	-1.04799e-25	6.80496	1.61396e-05	1.99691e-05	99.9968	2920.49
55	0.488603	0	2.37822	25.2452	6.00411	26.2134	0.00223631	0.000304285	5.08019e-05	99.9993	0.000553663	-4.90363e-27	0	120	2.05424	100	2.68245	6.40065	0.356432	0.464635	0.132889	0.137842	3.90954	0.12482	0.959944	2.31563	2.37841	144.911	37.6099	0.00078801	12.5366	180.243	2.60644	17.2946	0.00282144	4.10913	17.1224	7.88838	0.896364	0.000793298	5.58566	0.834538	0.896364	2.05423	2.84736	85.2729	2.62384	-3.90675e-24	9.99752e-05	-1.06475e-25	6.72443	1.61427e-05	1.99691e-05	99.9968	2920.49
56	0.488472	0	2.37759	25.2438	6.00217	26.2028	0.00223721	0.000304283	5.07924e-05	99.9993	0.000553557	-4.90163e-27	0	120	2.0538	100	2.68138	6.48244	0.354425	0.465147	0.130038	0.134898	3.91307	0.121851	0.999828	2.35777	2.37777	144.926	37.5988	0.000788728	12.533	180.257	2.60879	17.3021	0.00281962	4.10824	17.1187	7.88533	0.896404	0.000794021	5.59437	0.834294	0.896404	2.05379	2.77634	85.256	2.62621	-3.9051e-24	9.99752e-05	-1.08129e-25	6.6424	1.61457e-05	1.99691e-05	99.9968	2920.49
57	0.488342	0	2.37695	25.2424	6.00023	26.1923	0.00223811	0.00030428	5.0783e-05	99.9993	0.000553452	-4.89964e-27	0	120	2.05336	100	2.6803	6.56248	0.352296	0.465649	0.127242	0.13201	3.91653	0.118946	1.04116	2.39996	2.37714	144.942	37.5878	0.000789432	12.5293	180.271	2.6111	17.3096	0.00281779	4.10736	17.115	7.88228	0.896445	0.00079473	5.603	0.83405	0.896444	2.05335	2.70702	85.2393	2.62853	-3.90347e-24	9.99752e-05	-1.09762e-25	6.55888	1.61487e-05	1.99691e-05	99.9968	2920.49
58	0.488211	0	2.37631	25.241	5.99829	26.1818	0.00223901	0.000304278	5.07735e-05	99.9993	0.000553347	-4.89767e-27	0	120	2.05292	100	2.67923	6.64081	0.350052	0.466141	0.124499	0.129176	3.91992	0.116104	1.08397	2.44213	2.3765	144.958	37.5768	0.000790122	12.5256	180.285	2.61336	17.3171	0.00281596	4.10647	17.1113	7.87922	0.896485	0.000795424	5.61153	0.833805	0.896484	2.05291	2.63936	85.2228	2.6308	-3.90186e-24	9.99751e-05	-1.11374e-25	6.4739	1.61516e-05	1.99691e-05	99.9968	2920.49
59	0.48808	0	2.37568	25.2396	5.99635	26.1713	0.00223991	0.000304276	5.0764e-05	99.9993	0.000553242	-4.89573e-27	0	120	2.05248	100	2.67816	6.71745	0.347699	0.466625	0.121809	0.126397	3.92324	0.113325	1.12829	2.48422	2.37586	144.974	37.5658	0.000790797	12.5219	180.299	2.61557	17.3246	0.00281413	4.10558	17.1076	7.87617	0.896525	0.000796104	5.61998	0.833561	0.896525	2.05246	2.57332	85.2066	2.63303	-3.90027e-24	9.99751e-05	-1.12966e-25	6.38749	1.61544e-05	1.99691e-05	99.9968	2920.49
60	0.48795	0	2.37504	25.2382	5.99441	26.1607	0.00224081	0.000304273	5.07546e-05	99.9993	0.000553136	-4.89381e-27	0	120	2.05204	100	2.67709	6.79244	0.345243	0.467099	0.119171	0.123671	3.9265	0.110608	1.17416	2.52618	2.37523	144.99	37.5548	0.000791459	12.5183	180.313	2.61774	17.3321	0.00281231	4.10469	17.1039	7.87311	0.896565	0.000796771	5.62835	0.833317	0.896565	2.05202	2.50887	85.1906	2.63521	-3.8987e-24	9.99751e-05	-1.14538e-25	6.29966	1.61573e-05	1.99691e-05	99.9968	2920.49
61	0.487819	0	2.37441	25.2368	5.99247	26.1502	0.00224171	0.000304271	5.07451e-05	99.9993	0.000553031	-4.89191e-27	0	120	2.05159	100	2.67602	6.8658	0.342692	0.467564	0.116584	0.120997	3.92969	0.10795	1.22161	2.56793	2.37459	145.005	37.5438	0.000792108	12.5146	180.327	2.61986	17.3396	0.00281048	4.10379	17.1002	7.87006	0.896605	0.000797424	5.63663	0.833073	0.896605	2.05158	2.44597	85.1749	2.63735	-3.89715e-24	9.99751e-05	-1.1609e-25	6.21046	1.61601e-05	1.99691e-05	99.9968	2920.49
62	0.487688	0	2.37377	25.2354	5.99053	26.1397	0.00224261	0.000304268	5.07357e-05	99.9993	0.000552926	-4.89003e-27	0	120	2.05115	100	2.67495	6.93758	0.34005	0.46802	0.114047	0.118375	3.93281	0.105351	1.27068	2.60941	2.37396	145.021	37.5328	0.000792744	12.511	180.34	2.62195	17.3471	0.00280865	4.1029	17.0964	7.867	0.896645	0.000798064	5.64483	0.832829	0.896645	2.05113	2.38459	85.1594	2.63945	-3.89562e-24	9.99751e-05	-1.17622e-25	6.11991	1.61628e-05	1.99691e-05	99.9967	2920.49
63	0.487558	0	2.37313	25.234	5.9886	26.1292	0.00224351	0.000304266	5.07262e-05	99.9993	0.000552821	-4.88817e-27	0	120	2.0507	100	2.67388	7.0078	0.337323	0.468468	0.111561	0.115804	3.93588	0.10281	1.32139	2.65055	2.37332	145.037	37.5219	0.000793366	12.5073	180.354	2.62398	17.3546	0.00280681	4.102	17.0927	7.86394	0.896686	0.00079869	5.65295	0.832586	0.896685	2.05069	2.3247	85.1441	2.6415	-3.89411e-24	9.99751e-05	-1.19135e-25	6.02807	1.61655e-05	1.99691e-05	99.9967	2920.49
64	0.487427	0	2.3725	25.2326	5.98666	26.1188	0.00224441	0.000304264	5.07168e-05	99.9993	0.000552716	-4.88633e-27	0	120	2.05026	100	2.67281	7.0765	0.334518	0.468907	0.109123	0.113283	3.93887	0.100327	1.37377	2.69127	2.37269	145.053	37.5109	0.000793976	12.5036	180.368	2.62598	17.3621	0.00280498	4.1011	17.089	7.86088	0.896726	0.000799304	5.66099	0.832342	0.896725	2.05024	2.26625	85.1291	2.64351	-3.89261e-24	9.99751e-05	-1.20629e-25	5.93496	1.61682e-05	1.99691e-05	99.9967	2920.49
65	0.487297	0	2.37186	25.2312	5.98473	26.1083	0.00224531	0.000304261	5.07073e-05	99.9993	0.000552612	-4.88452e-27	0	120	2.04981	100	2.67174	7.14369	0.331639	0.469338	0.106733	0.110811	3.94181	0.0978984	1.42786	2.7315	2.37205	145.068	37.4999	0.000794573	12.5	180.381	2.62794	17.3697	0.00280315	4.10021	17.0852	7.85782	0.896766	0.000799905	5.66895	0.832098	0.896766	2.04979	2.20922	85.1142	2.64547	-3.89114e-24	9.99751e-05	-1.22103e-25	5.84064	1.61709e-05	1.99691e-05	99.9967	2920.49
66	0.487166	0	2.37123	25.2298	5.98279	26.0978	0.00224621	0.000304259	5.06979e-05	99.9993	0.000552507	-4.88272e-27	0	120	2.04936	100	2.67067	7.20942	0.328692	0.46976	0.104391	0.108389	3.94468	0.0955249	1.48367	2.77116	2.37142	145.084	37.4889	0.000795157	12.4963	180.395	2.62985	17.3772	0.00280132	4.09931	17.0815	7.85476	0.896806	0.000800493	5.67683	0.831855	0.896806	2.04935	2.15358	85.0996	2.6474	-3.88969e-24	9.99751e-05	-1.2356e-25	5.74517	1.61734e-05	1.99691e-05	99.9967	2920.49
67	0.487036	0	2.37059	25.2284	5.98086	26.0873	0.00224711	0.000304256	5.06885e-05	99.9993	0.000552402	-4.88094e-27	0	120	2.04891	100	2.66961	7.27371	0.325682	0.470174	0.102095	0.106014	3.9475	0.0932051	1.54124	2.81017	2.37078	145.1	37.4779	0.00079573	12.4927	180.408	2.63173	17.3848	0.00279949	4.0984	17.0777	7.8517	0.896846	0.00080107	5.68464	0.831611	0.896846	2.0489	2.09929	85.0853	2.64929	-3.88825e-24	9.99751e-05	-1.24997e-25	5.64859	1.6176e-05	1.9969e-05	99.9967	2920.49
68	0.486905	0	2.36996	25.227	5.97893	26.0768	0.00224801	0.000304254	5.0679e-05	99.9993	0.000552297	-4.87918e-27	0	120	2.04846	100	2.66854	7.33659	0.322613	0.47058	0.099846	0.103686	3.95025	0.0909378	1.60059	2.84844	2.37015	145.116	37.467	0.00079629	12.489	180.421	2.63356	17.3923	0.00279765	4.0975	17.074	7.84864	0.896887	0.000801634	5.69237	0.831368	0.896886	2.04845	2.04633	85.0711	2.65113	-3.88683e-24	9.9975e-05	-1.26417e-25	5.55097	1.61785e-05	1.9969e-05	99.9967	2920.49
69	0.486775	0	2.36932	25.2256	5.97699	26.0664	0.00224892	0.000304252	5.06696e-05	99.9993	0.000552193	-4.87744e-27	0	120	2.04802	100	2.66747	7.39808	0.31949	0.470978	0.0976417	0.101405	3.95295	0.0887221	1.66173	2.8859	2.36951	145.132	37.456	0.000796839	12.4853	180.434	2.63536	17.3999	0.00279582	4.0966	17.0702	7.84558	0.896927	0.000802186	5.70003	0.831124	0.896927	2.048	1.99466	85.0571	2.65294	-3.88543e-24	9.9975e-05	-1.27818e-25	5.45237	1.6181e-05	1.9969e-05	99.9967	2920.49
70	0.486645	0	2.36869	25.2242	5.97506	26.0559	0.00224982	0.000304249	5.06602e-05	99.9993	0.000552088	-4.87572e-27	0	120	2.04757	100	2.66641	7.45822	0.316318	0.471368	0.095482	0.0991699	3.95559	0.086557	1.72469	2.92245	2.36888	145.147	37.445	0.000797376	12.4817	180.448	2.63712	17.4075	0.00279399	4.09569	17.0664	7.84252	0.896967	0.000802727	5.70762	0.830881	0.896967	2.04755	1.94425	85.0434	2.65471	-3.88405e-24	9.9975e-05	-1.29202e-25	5.35286	1.61835e-05	1.9969e-05	99.9967	2920.49
71	0.486515	0	2.36806	25.2228	5.97313	26.0455	0.00225072	0.000304247	5.06508e-05	99.9993	0.000551983	-4.87402e-27	0	120	2.04711	100	2.66534	7.51704	0.313101	0.471751	0.093366	0.0969795	3.95818	0.0844414	1.78949	2.958	2.36824	145.163	37.4341	0.000797901	12.478	180.461	2.63884	17.4151	0.00279215	4.09479	17.0627	7.83945	0.897007	0.000803256	5.71514	0.830638	0.897007	2.0471	1.89508	85.0298	2.65645	-3.88269e-24	9.9975e-05	-1.30568e-25	5.25251	1.61859e-05	1.9969e-05	99.9967	2920.49
72	0.486384	0	2.36742	25.2214	5.9712	26.035	0.00225162	0.000304245	5.06414e-05	99.9993	0.000551879	-4.87233e-27	0	120	2.04666	100	2.66428	7.57455	0.309843	0.472126	0.091293	0.0948334	3.96071	0.0823744	1.85614	2.99247	2.36761	145.179	37.4231	0.000798416	12.4744	180.474	2.64053	17.4226	0.00279032	4.09388	17.0589	7.83639	0.897048	0.000803774	5.72258	0.830395	0.897047	2.04665	1.84711	85.0164	2.65814	-3.88134e-24	9.9975e-05	-1.31917e-25	5.15139	1.61883e-05	1.9969e-05	99.9967	2920.49
73	0.486254	0	2.36679	25.22	5.96927	26.0246	0.00225253	0.000304242	5.0632e-05	99.9993	0.000551774	-4.87067e-27	0	120	2.04621	100	2.66321	7.63079	0.306547	0.472494	0.0892624	0.0927308	3.96318	0.080355	1.92464	3.02577	2.36697	145.195	37.4122	0.000798919	12.4707	180.487	2.64218	17.4302	0.00278848	4.09297	17.0551	7.83333	0.897088	0.000804281	5.72996	0.830152	0.897088	2.0462	1.80032	85.0033	2.6598	-3.88001e-24	9.9975e-05	-1.33249e-25	5.04959	1.61906e-05	1.9969e-05	99.9967	2920.49
74	0.486124	0	2.36615	25.2186	5.96734	26.0141	0.00225343	0.00030424	5.06226e-05	99.9993	0.00055167	-4.86902e-27	0	120	2.04576	100	2.66215	7.68577	0.303219	0.472855	0.0872734	0.0906711	3.9656	0.0783823	1.99501	3.0578	2.36634	145.21	37.4012	0.000799412	12.4671	180.5	2.64379	17.4378	0.00278665	4.09206	17.0513	7.83027	0.897128	0.000804777	5.73727	0.829909	0.897128	2.04574	1.75468	84.9903	2.66142	-3.8787e-24	9.9975e-05	-1.34564e-25	4.94719	1.61929e-05	1.9969e-05	99.9967	2920.49
75	0.485994	0	2.36552	25.2172	5.96541	26.0037	0.00225433	0.000304237	5.06132e-05	99.9993	0.000551566	-4.86739e-27	0	120	2.04531	100	2.66109	7.73954	0.29986	0.473208	0.0853254	0.0886534	3.96798	0.0764552	2.06726	3.08848	2.36571	145.226	37.3903	0.000799895	12.4634	180.512	2.64537	17.4454	0.00278482	4.09115	17.0475	7.82721	0.897168	0.000805263	5.74451	0.829666	0.897168	2.04529	1.71017	84.9775	2.66301	-3.8774e-24	9.9975e-05	-1.35863e-25	4.84426	1.61952e-05	1.9969e-05	99.9967	2920.49
76	0.485864	0	2.36489	25.2158	5.96349	25.9933	0.00225524	0.000304235	5.06038e-05	99.9993	0.000551461	-4.86577e-27	0	120	2.04485	100	2.66003	7.79211	0.296476	0.473554	0.0834175	0.0866772	3.97029	0.0745728	2.14137	3.11772	2.36507	145.242	37.3793	0.000800366	12.4598	180.525	2.64691	17.453	0.00278298	4.09024	17.0437	7.82415	0.897208	0.000805738	5.75169	0.829423	0.897208	2.04484	1.66675	84.9649	2.66457	-3.87612e-24	9.9975e-05	-1.37145e-25	4.74091	1.61974e-05	1.9969e-05	99.9967	2920.49
77	0.485734	0	2.36425	25.2144	5.96156	25.9829	0.00225614	0.000304233	5.05944e-05	99.9993	0.000551357	-4.86418e-27	0	120	2.0444	100	2.65896	7.8435	0.293068	0.473894	0.0815491	0.0847416	3.97256	0.0727343	2.21736	3.14543	2.36444	145.257	37.3684	0.000800828	12.4561	180.538	2.64843	17.4607	0.00278115	4.08933	17.0399	7.82108	0.897249	0.000806203	5.7588	0.829181	0.897248	2.04438	1.62441	84.9525	2.66609	-3.87485e-24	9.9975e-05	-1.3841e-25	4.63721	1.61997e-05	1.9969e-05	99.9967	2920.49
78	0.485604	0	2.36362	25.213	5.95964	25.9724	0.00225705	0.00030423	5.0585e-05	99.9993	0.000551253	-4.8626e-27	0	120	2.04394	100	2.6579	7.89374	0.289642	0.474227	0.0797196	0.082846	3.97479	0.0709388	2.29521	3.17152	2.36381	145.273	37.3575	0.00080128	12.4525	180.551	2.64991	17.4683	0.00277931	4.08842	17.0361	7.81802	0.897289	0.000806657	5.76586	0.828938	0.897289	2.04393	1.58311	84.9403	2.66758	-3.87361e-24	9.99749e-05	-1.3966e-25	4.53327	1.62018e-05	1.9969e-05	99.9967	2920.49
