Time	[Glu]	[Fru]	[Formic_acid]	[Triose]	[Acetic_acid]	[Cn]	[Amadori]	[AMP]	[C5]	[lys_R]	[Melanoidin]
48	93.7082	40.8225	4.09006	16.002	5.89092	1.27215	0.503779	1.05491	4.09006	6.87659	6.56473
49	92.8258	41.1675	4.17899	16.5144	6.0177	1.34352	0.491514	1.03742	4.17899	6.77542	6.69564
50	91.957	41.4996	4.26788	17.0293	6.14538	1.41715	0.479588	1.0201	4.26788	6.67593	6.82438
51	91.1016	41.819	4.35672	17.5467	6.27403	1.49304	0.467991	1.00296	4.35672	6.57809	6.95096
52	90.2592	42.126	4.44551	18.0662	6.40367	1.57121	0.456714	0.986005	4.44551	6.48187	7.07541
53	89.4297	42.4209	4.53424	18.5878	6.53436	1.65167	0.445746	0.969256	4.53424	6.38725	7.19775
54	88.6127	42.7041	4.6229	19.1111	6.66615	1.73441	0.435078	0.952717	4.6229	6.2942	7.318
55	87.808	42.9759	4.71148	19.6361	6.79906	1.81946	0.424702	0.936394	4.71148	6.2027	7.4362
56	87.0153	43.2364	4.79998	20.1626	6.93314	1.90682	0.414609	0.920294	4.79998	6.11272	7.55237
57	86.2345	43.486	4.8884	20.6904	7.06842	1.99649	0.404791	0.90442	4.8884	6.02425	7.66654
58	85.4652	43.725	4.97671	21.2194	7.20495	2.08849	0.395239	0.888776	4.97671	5.93724	7.77874
59	84.7072	43.9536	5.06493	21.7493	7.34275	2.1828	0.385946	0.873364	5.06493	5.85169	7.889
60	83.9603	44.172	5.15303	22.2802	7.48186	2.27945	0.376903	0.858187	5.15303	5.76757	7.99734
61	83.2243	44.3806	5.24103	22.8117	7.62231	2.37842	0.368104	0.843246	5.24103	5.68486	8.10379
62	82.499	44.5795	5.3289	23.3438	7.76413	2.47973	0.359542	0.828541	5.3289	5.60352	8.20839
63	81.7841	44.769	5.41665	23.8763	7.90734	2.58338	0.351209	0.814073	5.41665	5.52355	8.31117
64	81.0795	44.9493	5.50427	24.4091	8.05198	2.68937	0.343098	0.79984	5.50427	5.44491	8.41215
65	80.3849	45.1207	5.59175	24.9421	8.19806	2.79769	0.335204	0.785843	5.59175	5.36759	8.51136
66	79.7002	45.2833	5.67909	25.4751	8.34562	2.90836	0.327519	0.77208	5.67909	5.29156	8.60884
67	79.0251	45.4374	5.76629	26.0081	8.49467	3.02137	0.320039	0.758549	5.76629	5.2168	8.70461
68	78.3595	45.5832	5.85334	26.5408	8.64524	3.13671	0.312756	0.745249	5.85334	5.1433	8.7987
69	77.7031	45.7209	5.94023	27.0732	8.79735	3.25439	0.305664	0.732179	5.94023	5.07102	8.89114
70	77.0559	45.8507	6.02696	27.6052	8.95102	3.37441	0.29876	0.719335	6.02696	4.99995	8.98196
71	76.4176	45.9728	6.11353	28.1366	9.10626	3.49677	0.292036	0.706716	6.11353	4.93006	9.07118
