Time	[ATP]	[ADP]	[Patched]	[Hedgehog target gene]	[Sap18]	[Hedgehog]	[Complex_br_(Patched/Hedgehog)]	[Complex_br_(Costal2/Fused/_br_Smoothened){"Receiving cell"}]	[Complex_br_(Costal2/Smoothened/_br_Fused)]	[Complex_br_(Costal2/Fused/_br_Smoothened){"lipid raft"}]	[CBP]	[Microtubule]	[Cubitus_space_interruptus]	[Complex_br_(Cubitus_space_interruptus_space_repressor/Su(fu))]	[Complex_br_(Sap18/Su(fu)/_br_Cubitus_space_interruptus_space_repressor)]	[smoothened]	[complex]	[MIcrotubule]	[sag]	[Complex_br_(CBP/Cubitus)]	[Complex_br_(Costal2/Fused/../microtubule)]	[Complex_br_(Su(fu)/Fused/../_br_Smoothened)]	[Complex_br_(Su(fu)/Cubitus)]
36	1.30748	0.692518	1.78632	0.929393	0.98354	1.78632	3.21368	0.213383	0.692518	1.56122	0.000346071	2.59991	0.320173	0.98354	2.58665	0.0545455	0.0545455	0	0.5	7.06673e-05	0.345543	0.132792	0.147292
37	1.30738	0.692622	1.78632	0.929405	0.983555	1.78632	3.21368	0.213462	0.692622	1.56178	0.000265501	2.60083	0.320658	0.983555	2.58672	0.0530974	0.0530974	0	0.5	5.43102e-05	0.346076	0.132958	0.147475
38	1.30728	0.692717	1.78632	0.929414	0.983567	1.78632	3.21368	0.213536	0.692717	1.56231	0.000203617	2.60168	0.321114	0.983567	2.58677	0.0517242	0.0517242	0	0.5	4.17199e-05	0.346594	0.13312	0.147651
39	1.30719	0.692806	1.78632	0.929421	0.983575	1.78632	3.21368	0.213604	0.692806	1.5628	0.000156104	2.60248	0.321544	0.983575	2.58682	0.0504202	0.0504202	0	0.5	3.20343e-05	0.347095	0.133278	0.14782
40	1.30711	0.692889	1.78632	0.929426	0.983582	1.78632	3.21368	0.213668	0.692889	1.56325	0.000119641	2.60324	0.321949	0.983582	2.58685	0.0491804	0.0491804	0	0.5	2.45873e-05	0.347579	0.13343	0.147981
41	1.30703	0.692967	1.78632	0.92943	0.983587	1.78632	3.21368	0.213727	0.692967	1.56368	9.16671e-05	2.60395	0.322333	0.983587	2.58687	0.048	0.048	0	0.5	1.88644e-05	0.348046	0.133578	0.148136
42	1.30696	0.693039	1.78632	0.929434	0.983591	1.78632	3.21368	0.213784	0.693039	1.56409	7.02143e-05	2.60463	0.322696	0.983591	2.58689	0.046875	0.046875	0	0.5	1.44684e-05	0.348496	0.13372	0.148283
43	1.30689	0.693108	1.78632	0.929436	0.983594	1.78632	3.21368	0.213837	0.693108	1.56447	5.37677e-05	2.60527	0.323041	0.983594	2.5869	0.0458016	0.0458016	0	0.5	1.1093e-05	0.348929	0.133858	0.148425
44	1.30683	0.693173	1.78632	0.929438	0.983597	1.78632	3.21368	0.213887	0.693173	1.56483	4.1163e-05	2.60588	0.323368	0.983597	2.58692	0.0447762	0.0447762	0	0.5	8.50242e-06	0.349346	0.13399	0.14856
45	1.30677	0.693235	1.78632	0.929439	0.983599	1.78632	3.21368	0.213934	0.693235	1.56517	3.15056e-05	2.60646	0.32368	0.983599	2.58692	0.0437957	0.0437957	0	0.5	6.51486e-06	0.349748	0.134118	0.14869
