Time	[Osteoclasts]	[Osteoblasts]	[BoneMass]	[Tumour]
0	15	316	100	1
1	15.1945	368.911	99.2597	1.02323
2	15.1682	421.053	98.5471	1.04689
3	14.9623	471.663	97.8763	1.07097
4	14.6137	520.144	97.2581	1.09548
5	14.1549	566.049	96.7006	1.12042
6	13.614	609.056	96.209	1.1458
7	13.0147	648.955	95.7867	1.17163
8	12.3768	685.62	95.4353	1.1979
9	11.7168	719.001	95.155	1.22463
10	11.048	749.107	94.9447	1.25182
11	10.3809	775.993	94.8026	1.27947
12	9.72393	799.748	94.7263	1.30759
13	9.08359	820.489	94.7128	1.33618
14	8.46471	838.354	94.7587	1.36525
15	7.87078	853.491	94.8605	1.3948
16	7.30423	866.06	95.0146	1.42484
17	6.76655	876.222	95.2173	1.45538
18	6.25855	884.141	95.4649	1.48641
19	5.78044	889.978	95.7537	1.51794
20	5.33198	893.893	96.0803	1.54998
21	4.91257	896.039	96.4407	1.58253
22	4.52138	896.564	96.8119	1.61559
23	4.15735	895.608	97.183	1.64918
24	3.8193	893.304	97.5531	1.68329
25	3.50597	889.78	97.9213	1.71793
26	3.21602	885.152	98.2868	1.75311
27	2.94813	879.532	98.6491	1.78883
28	2.70095	873.024	99.0075	1.82509
29	2.47315	865.722	99.3615	1.8619
30	2.26344	857.717	99.7106	1.89926
31	2.07059	849.089	100.054	1.93718
32	1.89339	839.915	100.392	1.97566
33	1.73072	830.264	100.724	2.01471
34	1.58149	820.2	101.05	2.05433
35	1.44468	809.782	101.369	2.09453
36	1.31934	799.064	101.682	2.1353
37	1.20457	788.093	101.987	2.17666
38	1.09954	776.915	102.286	2.21861
39	1.00345	765.57	102.577	2.26116
40	0.915596	754.094	102.861	2.3043
41	0.835292	742.521	103.137	2.34804
42	0.761918	730.881	103.406	2.39239
43	0.694896	719.2	103.668	2.43735
44	0.633694	707.504	103.922	2.48292
45	0.577822	695.814	104.169	2.52911
46	0.526828	684.15	104.408	2.57592
47	0.480295	672.529	104.64	2.62336
48	0.437842	660.967	104.864	2.67143
49	0.399118	649.478	105.081	2.72014
50	0.3638	638.074	105.291	2.76948
51	0.331594	626.766	105.493	2.81947
52	0.302229	615.564	105.689	2.8701
53	0.275458	604.477	105.877	2.92138
54	0.251053	593.51	106.058	2.97332
55	0.228807	582.672	106.232	3.02591
56	0.208532	571.966	106.399	3.07916
57	0.190053	561.399	106.559	3.13308
58	0.173213	550.973	106.713	3.18767
59	0.157866	540.692	106.86	3.24292
60	0.143881	530.559	107	3.29886
61	0.131138	520.575	107.135	3.35547
62	0.119526	510.742	107.262	3.41276
63	0.108946	501.062	107.384	3.47074
64	0.0993048	491.534	107.499	3.52941
65	0.0905202	482.161	107.608	3.58877
66	0.0825158	472.941	107.712	3.64882
67	0.0752223	463.874	107.809	3.70957
68	0.0685765	454.961	107.901	3.77102
69	0.0625208	446.199	107.987	3.83318
70	0.0570026	437.59	108.068	3.89604
71	0.0519743	429.13	108.143	3.95962
72	0.047392	420.82	108.213	4.0239
73	0.0432162	412.658	108.277	4.0889
74	0.0394107	404.643	108.336	4.15462
75	0.0359425	396.772	108.391	4.22106
76	0.0327815	389.045	108.44	4.28822
77	0.0299005	381.459	108.484	4.35611
78	0.0272746	374.013	108.524	4.42472
79	0.0248809	366.705	108.559	4.49407
80	0.0226989	359.533	108.589	4.56415
81	0.0207098	352.495	108.614	4.63496
82	0.0188964	345.589	108.636	4.70652
83	0.0172431	338.814	108.652	4.77881
84	0.0157356	332.166	108.665	4.85184
85	0.0143611	325.645	108.673	4.92561
86	0.0131076	319.248	108.677	5.00014
87	0.0119646	312.974	108.678	5.0754
88	0.0109221	306.819	108.678	5.15142
89	0.00997135	300.783	108.678	5.22819
90	0.00910411	294.862	108.678	5.30571
91	0.00831303	289.056	108.678	5.38399
92	0.00759135	283.362	108.678	5.46302
93	0.00693296	277.778	108.678	5.54281
94	0.00633224	272.302	108.678	5.62335
95	0.00578411	266.933	108.678	5.70466
96	0.00528392	261.668	108.678	5.78673
97	0.00482745	256.505	108.678	5.86956
98	0.00441083	251.443	108.678	5.95316
99	0.00403057	246.48	108.678	6.03751
100	0.00368345	241.613	108.678	6.12264
