Time	Values[v]	Values[u]
0	-60	6
1	-60	6
2	-60	6
3	-60	6
4	-60	6
5	-60	6
6	-60	6
7	-60	6
8	-60	6
9	-60	6
10	-52.9085	5.99249
11	-46.7564	5.9726
12	-49.3322	5.94937
13	-52.2977	5.93218
14	-55.0205	5.92107
15	-48.8558	5.90659
16	-41.2289	5.8794
17	-39.5194	5.84317
18	-34.9233	5.80198
19	-14.5973	5.74215
20	-59.4141	11.6238
21	-63.5544	11.516
22	-65.0908	11.4156
23	-65.5465	11.319
24	-65.6356	11.2248
25	-65.6086	11.1325
26	-65.5457	11.0419
27	-65.4723	10.953
28	-65.3962	10.8657
29	-65.3199	10.7799
30	-65.2442	10.6957
31	-65.1694	10.6131
32	-65.0954	10.5319
33	-65.0224	10.4521
34	-64.9503	10.3739
35	-64.8791	10.297
36	-64.8089	10.2215
37	-64.7396	10.1473
38	-64.6711	10.0745
39	-64.6035	10.003
40	-64.5368	9.93282
41	-64.471	9.86386
42	-64.406	9.79613
43	-64.3418	9.72962
44	-64.2785	9.6643
45	-64.216	9.60015
46	-64.1543	9.53714
47	-64.0934	9.47527
48	-64.0334	9.41449
49	-63.9741	9.35481
50	-63.9156	9.29618
51	-63.8579	9.23861
52	-63.801	9.18206
53	-63.7448	9.12652
54	-63.6893	9.07196
55	-63.6346	9.01839
56	-63.5807	8.96576
57	-63.5275	8.91408
58	-63.475	8.86331
59	-63.4231	8.81344
60	-63.372	8.76446
61	-63.3216	8.71634
62	-63.2718	8.66908
63	-63.2228	8.62266
64	-63.1744	8.57706
65	-63.1266	8.53227
66	-63.0795	8.48827
67	-63.0331	8.44505
68	-62.9873	8.40259
69	-62.9421	8.36089
70	-62.8976	8.31992
71	-56.4966	8.27269
72	-52.3639	8.21648
73	-57.0335	8.16234
74	-60.0044	8.11689
75	-61.4789	8.07664
76	-62.1104	8.03917
77	-62.3523	8.00325
78	-62.4286	7.96833
79	-62.437	7.93418
80	-62.4181	7.90069
81	-55.9192	7.86074
82	-51.5235	7.81132
83	-56.0316	7.76331
84	-59.1318	7.72388
85	-60.7879	7.68987
86	-61.5468	7.65883
87	-61.8613	7.6294
88	-61.9768	7.60096
89	-62.007	7.57321
90	-62.0014	7.54603
91	-61.981	7.51936
92	-61.9546	7.49317
93	-61.926	7.46745
94	-61.8967	7.44218
95	-61.8673	7.41735
96	-61.8382	7.39295
97	-61.8094	7.36898
98	-61.781	7.34542
99	-61.7531	7.32228
100	-61.7255	7.29954
