Time	[cG]	[cG_m]	[cL]	[cL_m]	[cLm]	[cNI]	[cNI_m]	[cP]	[cP7]	[cP7_m]	[cP9]	[cP9_m]	[cT]	[cT_m]	[cTm]	[cY]	[cY_m]	[cZG]	[cZTL]
0	0.0238	0.119	0.416	1	0.054	0.044	0.0065	0.825	0.019	0.075	0.056	0.35	0.393	0.25	0.24	0.1	0.093	0.0774	0.323
1	0.00864727	0.360803	0.591911	0.755276	0.1054	0.0343396	0.00987141	0.367978	0.0580457	0.210939	0.468188	0.989457	0.368047	0.199329	0.215083	0.137195	0.204571	0.129799	0.316775
2	0.00865672	0.352183	0.626063	0.453272	0.157743	0.0314883	0.0340704	0.13643	0.160716	0.475806	0.88109	0.772663	0.338746	0.15894	0.1897	0.173927	0.166823	0.18107	0.309455
3	0.00767808	0.316427	0.569389	0.268317	0.199138	0.0457696	0.120023	0.0502045	0.330404	0.736464	0.995829	0.447979	0.304068	0.130171	0.167347	0.181985	0.119797	0.216598	0.31175
4	0.0078416	0.332097	0.478669	0.158824	0.22558	0.096953	0.288443	0.0184694	0.531088	0.918103	0.919535	0.239101	0.268798	0.111873	0.146649	0.177196	0.111157	0.242396	0.314036
5	0.00956359	0.404638	0.386291	0.0942895	0.234767	0.195112	0.49518	0.00679454	0.723848	1.00562	0.772723	0.129925	0.236357	0.103235	0.126996	0.180074	0.152846	0.271451	0.309025
6	0.012778	0.520262	0.307501	0.0562468	0.227434	0.330625	0.686157	0.00249957	0.87856	1.00207	0.620216	0.0764601	0.208769	0.104351	0.108496	0.210112	0.256966	0.313532	0.295306
7	0.017278	0.656597	0.245469	0.0338044	0.208332	0.483838	0.834803	0.000919542	0.976874	0.925449	0.48663	0.0487425	0.187495	0.117986	0.0916352	0.285897	0.430883	0.372875	0.274962
8	0.0226835	0.789021	0.197581	0.0205667	0.183525	0.635825	0.936271	0.000338287	1.01381	0.805058	0.376931	0.0319835	0.175023	0.155481	0.0770123	0.419929	0.658247	0.448167	0.251708
9	0.0282009	0.891655	0.160292	0.012773	0.157604	0.772849	0.995087	0.000124815	0.996129	0.670115	0.289015	0.0203673	0.177465	0.241626	0.0653935	0.606917	0.877524	0.533599	0.229695
