Time	[IR]	[IRp]	[IRins]	[IRip]	[IRi]	[IRS1]	[IRS1p]	[IRS1p307]	[IRS1307]	[X]	[Xp]	[PKB]	[PKB308p]	[PKB473p]	[PKB308p473p]	[mTORC1]	[mTORC1a]	[mTORC2]	[mTORC2a]	[AS160]	[AS160p]	[GLUT4m]	[GLUT4]	[S6K]	[S6Kp]	[S6]	[S6p]
0	99.8737	0.00186253	0	0.018843	0.105584	82.9672	0.00119482	0.327454	16.7042	99.9983	0.00166634	68.1807	13.2965	16.8172	1.70566	86.5002	13.4998	99.8478	0.152185	83.8141	16.1859	26.5239	73.4761	99.2732	0.726801	92.7596	7.24036
1	11.9951	0.038832	86.9659	0.309317	0.690902	55.7851	0.00687771	11.3443	32.8636	99.9978	0.00217566	11.9228	12.5327	17.1908	58.3537	18.7647	81.2353	98.6765	1.3235	28.6298	71.3702	61.4131	38.5869	99.1793	0.820703	91.9408	8.05921
2	11.9034	0.0385964	86.4389	0.249319	1.36974	41.8099	0.0044011	7.41985	50.7658	99.9973	0.00270051	3.21927	1.91503	29.4681	65.3976	17.0651	82.9349	98.1247	1.8753	25.4175	74.5825	62.4521	37.5479	99.0284	0.971619	90.5898	9.41016
3	11.8896	0.0384532	86.1172	0.223042	1.73175	37.8469	0.00342044	5.65203	56.4977	99.9971	0.00294555	4.47282	2.04947	34.7437	58.734	18.6417	81.3583	98.1471	1.85287	26.936	73.064	61.9685	38.0315	98.8865	1.11349	89.3536	10.6464
4	11.8818	0.0383747	85.9405	0.210789	1.92852	36.7583	0.00309899	5.06287	58.1757	99.9969	0.0030922	5.60854	2.35395	36.6051	55.4324	19.536	80.464	98.2403	1.75972	27.8303	72.1697	61.6778	38.3222	98.7537	1.24628	88.227	11.773
5	11.8775	0.0383314	85.8434	0.203099	2.03764	36.6963	0.00296904	4.82126	58.4795	99.9968	0.00319793	6.33376	2.57056	37.3017	53.794	20.0117	79.9883	98.3196	1.68037	28.3137	71.6863	61.5188	38.4812	98.6284	1.37163	87.1896	12.8104
6	11.8753	0.0383079	85.7904	0.197523	2.09843	36.9977	0.00290792	4.70589	58.2935	99.9967	0.00328196	6.79748	2.72057	37.5807	52.9012	20.2803	79.7197	98.3794	1.62063	28.591	71.409	61.427	38.573	98.5095	1.49053	86.2279	13.7721
7	11.8743	0.0382952	85.762	0.193164	2.13229	37.4065	0.00287473	4.64233	57.9483	99.9966	0.00335219	7.11187	2.82835	37.7026	52.3572	20.4473	79.5527	98.4246	1.57542	28.7657	71.2343	61.369	38.631	98.3964	1.6036	85.333	14.667
8	11.8738	0.0382887	85.7473	0.189615	2.15105	37.8236	0.00285391	4.60196	57.5716	99.9966	0.00341239	7.34183	2.91017	37.7626	51.9854	20.5628	79.4372	98.4599	1.54006	28.8878	71.1122	61.3283	38.6717	98.2887	1.71126	84.4981	15.5019
9	11.8737	0.0382855	85.7401	0.186659	2.16134	38.2123	0.00283911	4.57303	57.2118	99.9965	0.00346465	7.52197	2.97555	37.7966	51.7059	20.6504	79.3496	98.4885	1.51153	28.9809	71.0191	61.2972	38.7028	98.1862	1.81383	83.7176	16.2824
10	11.8737	0.0382841	85.737	0.184162	2.1669	38.5615	0.00282762	4.55042	56.8852	99.9965	0.00351029	7.67028	3.02984	37.8188	51.4811	20.7213	79.2787	98.512	1.48795	29.0566	70.9434	61.2719	38.7281	98.0884	1.9116	82.9871	17.0129
11	11.8738	0.0382837	85.736	0.182035	2.16981	38.8702	0.00281817	4.53178	56.5952	99.9964	0.00355027	7.79626	3.07605	37.835	51.2927	20.7812	79.2188	98.5319	1.46815	29.1204	70.8796	61.2506	38.7494	97.9952	2.00481	82.3024	17.6976
12	11.874	0.0382838	85.7363	0.180212	2.17126	39.1411	0.00281016	4.51595	56.3402	99.9964	0.00358536	7.90521	3.11597	37.8477	51.1312	20.8327	79.1673	98.5487	1.45133	29.1755	70.8245	61.2321	38.7679	97.9063	2.09369	81.66	18.34
13	11.8741	0.0382841	85.737	0.178643	2.17192	39.3781	0.00280325	4.50228	56.1168	99.9964	0.00361617	8.00035	3.15073	37.8581	50.9908	20.8777	79.1223	98.5631	1.43695	29.2235	70.7765	61.216	38.784	97.8216	2.17845	81.0567	18.9433
14	11.8743	0.0382846	85.738	0.177288	2.17214	39.5853	0.00279724	4.49038	55.9215	99.9964	0.00364324	8.08384	3.18114	37.8668	50.8682	20.9172	79.0828	98.5754	1.42458	29.2657	70.7343	61.2019	38.7981	97.7407	2.25928	80.4895	19.5105
15	11.8744	0.038285	85.739	0.176115	2.17214	39.7665	0.00279199	4.47998	55.7508	99.9963	0.00366703	8.15728	3.20782	37.8742	50.7607	20.9519	79.0481	98.5861	1.41391	29.3027	70.6973	61.1894	38.8106	97.6636	2.33639	79.9559	20.0441
16	11.8746	0.0382855	85.74	0.175098	2.17203	39.9249	0.00278739	4.47087	55.6015	99.9963	0.00368794	8.22197	3.23124	37.8806	50.6662	20.9826	79.0174	98.5953	1.40468	29.3354	70.6646	61.1785	38.8215	97.5901	2.40994	79.4535	20.5465
17	11.8747	0.0382859	85.741	0.174213	2.17188	40.0634	0.00278336	4.46287	55.4709	99.9963	0.00370632	8.27896	3.25183	37.8861	50.5831	21.0095	78.9905	98.6033	1.39667	29.3641	70.6359	61.1688	38.8312	97.5199	2.4801	78.98	21.02
18	11.8748	0.0382863	85.7418	0.173443	2.17171	40.1847	0.00277982	4.45586	55.3566	99.9963	0.00372248	8.32918	3.26993	37.8908	50.5101	21.0333	78.9667	98.6103	1.38971	29.3895	70.6105	61.1603	38.8397	97.453	2.54704	78.5336	21.4664
19	11.8749	0.0382866	85.7425	0.172772	2.17155	40.2909	0.00277672	4.44969	55.2566	99.9963	0.00373668	8.37342	3.28584	37.8949	50.4459	21.0543	78.9457	98.6163	1.38365	29.4118	70.5882	61.1527	38.8473	97.3891	2.6109	78.1123	21.8877
20	11.8749	0.0382869	85.7432	0.172187	2.17139	40.384	0.00277399	4.44428	55.1689	99.9963	0.00374916	8.4124	3.29983	37.8984	50.3894	21.0728	78.9272	98.6216	1.37837	29.4315	70.5685	61.1461	38.8539	97.3282	2.67184	77.7145	22.2855
21	11.875	0.0382871	85.7438	0.171675	2.17126	40.4656	0.00277159	4.43952	55.0921	99.9962	0.00376014	8.44673	3.31214	37.9015	50.3396	21.0891	78.9109	98.6262	1.37377	29.4488	70.5512	61.1403	38.8597	97.27	2.72999	77.3387	22.6613
22	11.8751	0.0382874	85.7443	0.171228	2.17113	40.5372	0.00276949	4.43534	55.0247	99.9962	0.00376979	8.47696	3.32296	37.9042	50.2959	21.1034	78.8966	98.6303	1.36974	29.4641	70.5359	61.1351	38.8649	97.2145	2.78548	76.9835	23.0165
23	11.8751	0.0382876	85.7447	0.170837	2.17102	40.5999	0.00276764	4.43167	54.9656	99.9962	0.00377827	8.50358	3.33247	37.9065	50.2575	21.116	78.884	98.6338	1.36623	29.4776	70.5224	61.1306	38.8694	97.1616	2.83843	76.6476	23.3524
24	11.8752	0.0382877	85.7451	0.170495	2.17093	40.655	0.00276602	4.42844	54.9138	99.9962	0.00378573	8.52701	3.34084	37.9085	50.2237	21.1272	78.8728	98.6368	1.36315	29.4894	70.5106	61.1266	38.8734	97.111	2.88896	76.3297	23.6703
25	11.8752	0.0382879	85.7455	0.170195	2.17084	40.7033	0.00276459	4.42561	54.8683	99.9962	0.00379228	8.54763	3.3482	37.9103	50.1939	21.137	78.863	98.6395	1.36046	29.4998	70.5002	61.1231	38.8769	97.0628	2.93718	76.0288	23.9712
26	11.8752	0.038288	85.7458	0.169932	2.17077	40.7458	0.00276333	4.42311	54.8284	99.9962	0.00379805	8.56578	3.35467	37.9118	50.1677	21.1456	78.8544	98.6419	1.3581	29.509	70.491	61.12	38.88	97.0168	2.98321	75.7438	24.2562
27	11.8753	0.0382882	85.746	0.169702	2.1707	40.783	0.00276223	4.42092	54.7933	99.9962	0.00380312	8.58176	3.36036	37.9131	50.1447	21.1532	78.8468	98.644	1.35603	29.517	70.483	61.1173	38.8827	96.9729	3.02714	75.4738	24.5262
28	11.8753	0.0382883	85.7463	0.1695	2.17065	40.8158	0.00276126	4.419	54.7625	99.9962	0.00380757	8.59581	3.36536	37.9143	50.1245	21.1598	78.8402	98.6458	1.35422	29.5241	70.4759	61.1149	38.8851	96.9309	3.06907	75.2178	24.7822
29	11.8753	0.0382883	85.7465	0.169323	2.1706	40.8445	0.00276041	4.4173	54.7354	99.9962	0.00381149	8.60818	3.36976	37.9153	50.1067	21.1657	78.8343	98.6474	1.35263	29.5304	70.4696	61.1128	38.8872	96.8909	3.1091	74.9752	25.0248
30	11.8753	0.0382884	85.7466	0.169168	2.17055	40.8697	0.00275966	4.41582	54.7117	99.9962	0.00381494	8.61906	3.37363	37.9162	50.0911	21.1709	78.8291	98.6488	1.35124	29.5359	70.4641	61.1109	38.8891	96.8527	3.1473	74.745	25.255
31	11.8754	0.0382885	85.7468	0.169031	2.17052	40.8919	0.002759	4.41451	54.6908	99.9962	0.00381797	8.62863	3.37703	37.917	50.0773	21.1754	78.8246	98.65	1.35002	29.5407	70.4593	61.1093	38.8907	96.8162	3.18376	74.5266	25.4734
32	11.8754	0.0382886	85.7469	0.168911	2.17048	40.9114	0.00275843	4.41336	54.6725	99.9962	0.00382063	8.63705	3.38003	37.9177	50.0652	21.1794	78.8206	98.6511	1.34895	29.545	70.455	61.1079	38.8921	96.7814	3.21857	74.3193	25.6807
33	11.8754	0.0382886	85.7471	0.168806	2.17045	40.9285	0.00275792	4.41235	54.6564	99.9962	0.00382297	8.64445	3.38266	37.9183	50.0546	21.1829	78.8171	98.652	1.348	29.5487	70.4513	61.1066	38.8934	96.7482	3.2518	74.1225	25.8775
34	11.8754	0.0382887	85.7472	0.168714	2.17043	40.9436	0.00275747	4.41146	54.6422	99.9962	0.00382503	8.65096	3.38497	37.9189	50.0452	21.186	78.814	98.6528	1.34718	29.552	70.448	61.1055	38.8945	96.7165	3.28352	73.9356	26.0644
35	11.8754	0.0382887	85.7473	0.168633	2.17041	40.9568	0.00275708	4.41068	54.6298	99.9962	0.00382684	8.65669	3.387	37.9193	50.037	21.1888	78.8112	98.6536	1.34645	29.5549	70.4451	61.1045	38.8955	96.6862	3.3138	73.7581	26.2419
36	11.8754	0.0382887	85.7473	0.168562	2.17039	40.9684	0.00275673	4.40999	54.6188	99.9962	0.00382843	8.66173	3.38879	37.9197	50.0298	21.1912	78.8088	98.6542	1.34581	29.5575	70.4425	61.1037	38.8963	96.6573	3.34271	73.5894	26.4106
37	11.8754	0.0382888	85.7474	0.168499	2.17037	40.9787	0.00275643	4.40938	54.6092	99.9962	0.00382983	8.66616	3.39036	37.9201	50.0234	21.1933	78.8067	98.6547	1.34525	29.5597	70.4403	61.1029	38.8971	96.6297	3.3703	73.4291	26.5709
38	11.8754	0.0382888	85.7475	0.168444	2.17035	40.9876	0.00275616	4.40885	54.6008	99.9962	0.00383106	8.67006	3.39175	37.9204	50.0178	21.1951	78.8049	98.6552	1.34476	29.5617	70.4383	61.1022	38.8978	96.6034	3.39665	73.2767	26.7233
39	11.8755	0.0382888	85.7475	0.168396	2.17034	40.9955	0.00275593	4.40839	54.5933	99.9962	0.00383214	8.67349	3.39296	37.9207	50.0129	21.1967	78.8033	98.6557	1.34433	29.5634	70.4366	61.1017	38.8983	96.5782	3.4218	73.1318	26.8682
40	11.8755	0.0382888	85.7476	0.168353	2.17033	41.0025	0.00275572	4.40798	54.5868	99.9962	0.0038331	8.6765	3.39403	37.9209	50.0086	21.1982	78.8018	98.6561	1.34395	29.5649	70.4351	61.1012	38.8988	96.5542	3.44581	72.994	27.006
41	11.8755	0.0382889	85.7476	0.168316	2.17032	41.0086	0.00275554	4.40761	54.5811	99.9962	0.00383393	8.67915	3.39497	37.9211	50.0047	21.1994	78.8006	98.6564	1.34361	29.5663	70.4337	61.1007	38.8993	96.5313	3.46873	72.8629	27.1371
