Time	[R1]	[P1]	[P1_prime]	[R2]	[P2]	[P2_prime]	[P3_prime]
61	5.87253e-09	3.64677e-07	0.388453	3.93171	6.44944	4.46708	1.20695
62	4.64167e-09	2.93797e-07	0.290465	3.99874	6.8387	4.93151	1.25111
63	3.6688e-09	2.36659e-07	0.218181	4.05172	7.17515	5.33866	1.2816
64	2.89984e-09	1.90608e-07	0.165659	4.0936	7.4641	5.69426	1.30266
65	2.29205e-09	1.53496e-07	0.127827	4.1267	7.71088	6.00357	1.31719
66	1.81164e-09	1.23594e-07	0.100724	4.15286	7.92065	6.27147	1.32722
67	1.43193e-09	9.95048e-08	0.0813779	4.17354	8.09821	6.50253	1.33415
68	1.13181e-09	8.01004e-08	0.0676028	4.18988	8.24797	6.70099	1.33893
69	8.94585e-10	6.44722e-08	0.0578129	4.2028	8.37386	6.8708	1.34224
70	7.07085e-10	5.18871e-08	0.050865	4.21301	8.47937	7.01556	1.34452
71	5.58883e-10	4.17537e-08	0.0459399	4.22108	8.56758	7.13854	1.34609
72	4.41744e-10	3.35956e-08	0.0424518	4.22746	8.64114	7.24268	1.34718
73	3.49156e-10	2.70284e-08	0.0399835	4.23251	8.70236	7.3306	1.34793
74	2.75975e-10	2.17427e-08	0.0382381	4.23649	8.75321	7.40462	1.34845
75	2.18132e-10	1.74888e-08	0.0370047	4.23964	8.79536	7.46677	1.3488
76	1.72413e-10	1.40657e-08	0.0361336	4.24213	8.83025	7.51884	1.34905
77	1.36276e-10	1.13115e-08	0.0355187	4.2441	8.85909	7.56236	1.34922
78	1.07713e-10	9.09566e-09	0.0350848	4.24565	8.88288	7.59866	1.34934
79	8.51368e-11	7.3132e-09	0.0347789	4.24688	8.90249	7.62887	1.34942
80	6.72926e-11	5.8795e-09	0.0345632	4.24786	8.91863	7.65398	1.34948
81	5.31884e-11	4.72643e-09	0.0344113	4.24862	8.93191	7.67481	1.34951
82	4.20403e-11	3.79916e-09	0.0343043	4.24923	8.94281	7.69206	1.34954
83	3.32289e-11	3.05353e-09	0.0342289	4.24971	8.95175	7.70633	1.34956
84	2.62643e-11	2.45404e-09	0.0341759	4.25009	8.95909	7.71811	1.34957
85	2.07595e-11	1.97208e-09	0.0341386	4.25039	8.96509	7.72783	1.34958
86	1.64084e-11	1.58464e-09	0.0341124	4.25063	8.97001	7.73584	1.34959
87	1.29693e-11	1.27322e-09	0.034094	4.25081	8.97403	7.74243	1.34959
