Time	[Cytosolic Calcium]	[ER Calcium]	[Cytosolic IP3]	[Cytosolic Sodium]	[Cytosolic ATP]	[Cytosolic ADP]	Values[n]	Values[V]
62	0.0859156	22.7999	0.329993	9858.68	996.203	3003.8	0.0014484	-59.7525
63	0.0859312	22.7999	0.329993	9858.68	997.221	3002.78	0.00144835	-59.7551
64	0.0859467	22.7999	0.329993	9858.69	998.238	3001.76	0.00144826	-59.7577
65	0.0859621	22.7999	0.329993	9858.69	999.255	3000.74	0.00144813	-59.7604
66	0.0859775	22.7999	0.329993	9858.7	1000.27	2999.73	0.00144797	-59.7632
67	0.0859927	22.7999	0.329993	9858.7	1001.29	2998.71	0.00144777	-59.766
68	0.0860079	22.7999	0.329993	9858.7	1002.3	2997.7	0.00144754	-59.7688
69	0.0860231	22.7999	0.329993	9858.71	1003.32	2996.68	0.00144728	-59.7716
70	0.0860381	22.7999	0.329993	9858.71	1004.33	2995.67	0.001447	-59.7745
71	0.0860531	22.7999	0.329993	9858.71	1005.35	2994.65	0.00144668	-59.7774
72	0.086068	22.7999	0.329993	9858.71	1006.36	2993.64	0.00144635	-59.7803
73	0.0860828	22.7999	0.329993	9858.72	1007.37	2992.63	0.00144599	-59.7833
74	0.0860975	22.7999	0.329993	9858.72	1008.39	2991.61	0.00144561	-59.7862
75	0.0861122	22.7999	0.329994	9858.72	1009.4	2990.6	0.00144521	-59.7892
76	0.0861268	22.7999	0.329994	9858.72	1010.41	2989.59	0.0014448	-59.7922
77	0.0861413	22.7999	0.329994	9858.73	1011.42	2988.58	0.00144437	-59.7952
78	0.0861557	22.8	0.329994	9858.73	1012.43	2987.57	0.00144392	-59.7982
79	0.0861701	22.8	0.329994	9858.73	1013.44	2986.56	0.00144346	-59.8012
80	0.0861844	22.8	0.329994	9858.73	1014.45	2985.55	0.00144298	-59.8042
81	0.0861986	22.8	0.329994	9858.73	1015.46	2984.54	0.0014425	-59.8072
82	0.0862127	22.8	0.329994	9858.73	1016.47	2983.53	0.001442	-59.8103
83	0.0862268	22.8	0.329994	9858.73	1017.48	2982.52	0.00144149	-59.8133
84	0.0862408	22.8	0.329995	9858.74	1018.48	2981.52	0.00144097	-59.8164
85	0.0862547	22.8	0.329995	9858.74	1019.49	2980.51	0.00144045	-59.8194
86	0.0862685	22.8	0.329995	9858.74	1020.5	2979.5	0.00143991	-59.8225
87	0.0862822	22.8	0.329995	9858.74	1021.51	2978.49	0.00143937	-59.8255
88	0.0862959	22.8	0.329995	9858.74	1022.51	2977.49	0.00143882	-59.8286
89	0.0863095	22.8	0.329995	9858.74	1023.52	2976.48	0.00143827	-59.8316
90	0.086323	22.8	0.329995	9858.74	1024.52	2975.48	0.00143771	-59.8347
91	0.0863365	22.8	0.329996	9858.74	1025.53	2974.47	0.00143714	-59.8377
92	0.0863499	22.8	0.329996	9858.74	1026.53	2973.47	0.00143657	-59.8408
93	0.0863632	22.8	0.329996	9858.74	1027.53	2972.47	0.001436	-59.8438
94	0.0863764	22.8	0.329996	9858.74	1028.54	2971.46	0.00143542	-59.8469
95	0.0863896	22.8	0.329996	9858.74	1029.54	2970.46	0.00143484	-59.8499
96	0.0864027	22.8	0.329996	9858.74	1030.54	2969.46	0.00143425	-59.853
97	0.0864157	22.8	0.329997	9858.73	1031.54	2968.46	0.00143366	-59.856
98	0.0864286	22.8	0.329997	9858.73	1032.54	2967.46	0.00143307	-59.859
99	0.0864415	22.8	0.329997	9858.73	1033.54	2966.46	0.00143248	-59.8621
100	0.0864543	22.8	0.329997	9858.73	1034.54	2965.46	0.00143188	-59.8651
