Time	[Protofibril]	[Fibril]	[Lewy_body]	[Dopamine]	[OH-]	[OH_radical]	[H2O2]	[DA_quinone]	[Ubiquitin]	[E1]	[Ub-E1]	[UbcH8]	[UbcH8-Ub]	[Parkin]	[Parkin-sub]	[Parkin-synphilin-1]	[Parkin-synphilin-1-ub]	[Parkin-sub-ub4]	[Fragments]	[UCH-L1]	[L-Dopa]	[DOPAL]	[DOPAC]	[GSH]	[GSSG]	[Fe2+]	[Fe3+]	[UbcH8ub2]	[UbcH8ub3]	[UbcH8ub4]	[UbcH13/Uev1a]	[UbcH13/Uev1a-ub]	[asyn-UCH-L1]	[asyn-ub]	[Protofibril-UCH-L1]	[Protofibril-Ub]	[UCH-L1-asyn-ub4]	[Hsc70-asyn]	[Hsc70-Protofibril]	[Hsc70-fibril]	[Hsc70]	[DA-S-parkin]	[O2-]	[DA-GSH]	[Neuromelanin]	[Neuromelanin-ntox-Fe3+]	[Alpha_synuclein]	[ATP]	[Synphilin-1]	[Substrate]	[TH]	[L-Tyr]	[CO2]	[Neurotoxins]	[Bioamines]	[VMAT2]	[O2]	[MAO]	[NH3]	[ALDH]	[NAD+]	[NADH]	[Catalase]	[H2O]	[Gluta_per]	[Gluta_red]	[DDC]	[Preautophagosome_membrane]	[SOD]	[Cysteine]	[V-DA]	[V-ntox-ba]	[Vesicle]	[Autophagosome]	[Proteasome]	[Lysosome]
0	0.05	0.025	0.01	2	0.5	0.02	0.1	0.05	1	0.2	0.35	0.2	0.35	0.2	0.1	1.3	2.5	0.2	0.1	0.5	1	0.05	0.3	1.5	1.5	0.5	0.5	0.35	0.35	0.35	0.2	0.35	0.1	0.05	0.025	0.013	0.1	0.1	0.025	0.013	0.5	0.2	0.02	0.2	1	0.5	0.2	2	0.05	0.4	0.6	5	0.5	0.01	0.1	2	2	1.5	0.5	1.5	1.5	1.5	1	3	0.8	0.8	1.5	1	0.6	0.5	10	0.3	1	0.5	1.5	2.5
1	0.0517783	0.0233902	0.00992676	2.20307	0.507329	0.027329	0.160662	0.149775	1.72021	0.0773118	0.472688	0.201297	0.340567	0.354116	0.0983583	1.27798	2.52161	0.0473591	0.392811	0.57056	0.142767	0.251924	0.309509	2.24576	0.753246	0.541059	0.292412	0.348879	0.349053	0.360204	0.215392	0.334608	0.096683	0.051671	0.0246036	0.0134233	0.0331536	0.0976091	0.0243013	0.0125281	0.503562	0.200152	0.104626	0.200989	0.84602	0.681093	0.2	2	0.05	0.4	0.6	5	0.5	0.01	0.1	2	2	1.5	0.5	1.5	1.5	1.5	1	3	0.8	0.8	1.5	1	0.6	0.5	10.9397	0.300011	1	0.454646	1.5	2.5
2	0.0534051	0.0219256	0.00983402	1.75776	0.515914	0.0359142	0.144565	0.237946	1.87893	0.0436594	0.506341	0.201962	0.329983	0.392087	0.0967223	1.25718	2.54203	0.0106349	0.519766	0.596582	0.133291	0.407786	0.330381	2.55493	0.441702	0.565755	0.183584	0.347224	0.34801	0.37282	0.227226	0.322774	0.0934965	0.0532223	0.0242333	0.0138236	0.010688	0.0954237	0.0236978	0.0120636	0.506815	0.200522	0.165719	0.203364	0.774512	0.779255	0.2	2	0.05	0.4	0.6	5	0.5	0.01	0.1	2	2	1.5	0.5	1.5	1.5	1.5	1	3	0.8	0.8	1.5	1	0.6	0.5	11.7252	0.300022	1	0.414625	1.5	2.5
3	0.054894	0.0205939	0.00972455	1.48812	0.523544	0.0435445	0.122134	0.311972	1.88475	0.0380949	0.511905	0.202567	0.319611	0.400823	0.0950626	1.23739	2.56146	0.00298994	0.596957	0.606699	0.133187	0.52353	0.359644	2.69897	0.294021	0.583034	0.119885	0.345088	0.346899	0.385835	0.237038	0.312962	0.0904124	0.0546723	0.0238838	0.0142051	0.0040048	0.0934262	0.0231794	0.011608	0.509786	0.201071	0.209361	0.207004	0.741359	0.839454	0.2	2	0.05	0.4	0.6	5	0.5	0.01	0.1	2	2	1.5	0.5	1.5	1.5	1.5	1	3	0.8	0.8	1.5	1	0.6	0.5	12.3697	0.300033	1	0.37931	1.5	2.5
4	0.0562567	0.0193836	0.00960088	1.32879	0.530281	0.0502812	0.107632	0.376752	1.85229	0.0376392	0.512361	0.203222	0.309729	0.403303	0.0933753	1.21845	2.58005	0.0014839	0.658902	0.611934	0.133185	0.614018	0.395291	2.7706	0.217666	0.596166	0.0805237	0.342543	0.345717	0.398789	0.245366	0.304634	0.0874181	0.0560336	0.0235516	0.0145703	0.00209616	0.0916004	0.0227366	0.0111627	0.5125	0.201765	0.242754	0.21173	0.728851	0.879352	0.2	2	0.05	0.4	0.6	5	0.5	0.01	0.1	2	2	1.5	0.5	1.5	1.5	1.5	1	3	0.8	0.8	1.5	1	0.6	0.5	12.9303	0.300044	1	0.348146	1.5	2.5
5	0.0575036	0.0182841	0.00946534	1.23461	0.536486	0.0564856	0.0994777	0.435715	1.81099	0.0380966	0.511903	0.203932	0.300364	0.404459	0.0916625	1.20027	2.59791	0.00119902	0.714426	0.615704	0.133185	0.688244	0.436049	2.8059	0.1767	0.606674	0.0555858	0.339646	0.344454	0.411604	0.252459	0.297541	0.0845059	0.0573159	0.0232345	0.0149215	0.00155527	0.0899314	0.022361	0.0107287	0.514979	0.202586	0.269771	0.217404	0.728481	0.907421	0.2	2	0.05	0.4	0.6	5	0.5	0.01	0.1	2	2	1.5	0.5	1.5	1.5	1.5	1	3	0.8	0.8	1.5	1	0.6	0.5	13.4413	0.300055	1	0.320645	1.5	2.5
6	0.0586445	0.0172856	0.00932002	1.17874	0.542418	0.0624182	0.0951433	0.491045	1.76805	0.0387315	0.511269	0.204689	0.291497	0.405284	0.0899271	1.18275	2.61513	0.00115042	0.765938	0.619002	0.133185	0.751593	0.481085	2.82163	0.154441	0.615443	0.039624	0.336445	0.343101	0.424268	0.258489	0.291511	0.0816701	0.0585276	0.0229305	0.0152605	0.00139723	0.0884059	0.0220452	0.0103069	0.517242	0.203524	0.292556	0.22393	0.735614	0.928272	0.2	2	0.05	0.4	0.6	5	0.5	0.01	0.1	2	2	1.5	0.5	1.5	1.5	1.5	1	3	0.8	0.8	1.5	1	0.6	0.5	13.923	0.300066	1	0.296375	1.5	2.5
7	0.0596881	0.0163792	0.00916679	1.14537	0.548236	0.0682355	0.0929919	0.544082	1.72524	0.0394028	0.510597	0.205484	0.283107	0.405973	0.0881725	1.16581	2.63178	0.00114578	0.814299	0.622111	0.133185	0.807308	0.529827	2.82641	0.142349	0.623038	0.0293855	0.332981	0.341647	0.43678	0.263598	0.286402	0.0789064	0.0596754	0.0226381	0.0155887	0.00134432	0.0870115	0.0217821	0.00989812	0.519308	0.204574	0.312341	0.231242	0.74752	0.944621	0.2	2	0.05	0.4	0.6	5	0.5	0.01	0.1	2	2	1.5	0.5	1.5	1.5	1.5	1	3	0.8	0.8	1.5	1	0.6	0.5	14.3873	0.300077	1	0.274957	1.5	2.5
8	0.0606426	0.0155567	0.00900736	1.12522	0.554028	0.074028	0.0920799	0.595621	1.68299	0.0400817	0.509918	0.206308	0.275169	0.406563	0.0864017	1.14938	2.64794	0.00114806	0.859967	0.625113	0.133185	0.85737	0.581867	2.82485	0.135857	0.629832	0.0228338	0.329292	0.340088	0.449142	0.267905	0.282095	0.0762116	0.0607654	0.022356	0.0159074	0.00131919	0.0857368	0.0215656	0.00950283	0.521195	0.205732	0.32986	0.239295	0.762503	0.958153	0.2	2	0.05	0.4	0.6	5	0.5	0.01	0.1	2	2	1.5	0.5	1.5	1.5	1.5	1	3	0.8	0.8	1.5	1	0.6	0.5	14.8411	0.300088	1	0.256054	1.5	2.5
9	0.0615154	0.0148106	0.00884324	1.11283	0.559847	0.0798472	0.0918706	0.646126	1.64142	0.0407628	0.509237	0.207153	0.267661	0.407061	0.0846181	1.13341	2.66365	0.00115022	0.903271	0.628034	0.133185	0.903013	0.636892	2.81948	0.132466	0.636072	0.0186609	0.325414	0.338419	0.461353	0.271512	0.278488	0.0735828	0.0618026	0.0220829	0.0162177	0.00130054	0.0845716	0.0213901	0.00912146	0.522917	0.206995	0.345571	0.248058	0.779487	0.96994	0.2	2	0.05	0.4	0.6	5	0.5	0.01	0.1	2	2	1.5	0.5	1.5	1.5	1.5	1	3	0.8	0.8	1.5	1	0.6	0.5	15.2885	0.300099	1	0.239371	1.5	2.5
