Time	[iron_in_Plasma]	[iron_in_Bone Marrow]	[iron_in_RBC]	[iron_in_Spleen]	[iron_in_Liver]	[iron_in_Muscle]	[iron_in_Duodenum]	[iron_in_Integument]	[iron_in_Intestine]	[iron_ions_Outside]	[iron_in_Heart]	[iron_in_Lungs]	[iron_in_Kidneys]	[iron_in_Testes]	[iron_in_Stomach]	[iron_in_Fat]	[iron_in_Brain]
0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0.431069	23.9604	39.0608	0.677181	12.3988	6.97861	0.15762	5.91397	3.50127	1.76274	0.674017	1.37596	1.99521	0.269635	0.466513	0.214622	0.161524
2	0.388586	10.4662	53.2096	0.597131	11.7954	6.54222	0.117767	6.11612	2.76074	3.28504	0.676862	1.24807	1.79525	0.266819	0.363388	0.206328	0.164499
3	0.368666	6.06456	58.1759	0.573849	11.1986	6.12807	0.0905812	6.27685	2.22005	4.55642	0.675721	1.1345	1.62006	0.262734	0.289247	0.197792	0.166397
4	0.356778	4.58684	60.0996	0.568341	10.6416	5.75224	0.0721945	6.41368	1.82976	5.64691	0.672699	1.03659	1.47074	0.258222	0.236515	0.189628	0.167716
5	0.347997	4.05368	60.9631	0.567906	10.1317	5.41626	0.0597631	6.53334	1.54865	6.60821	0.668595	0.953005	1.34458	0.253585	0.199074	0.182006	0.168645
6	0.340663	3.82917	61.4137	0.568556	9.66792	5.11734	0.0513172	6.63894	1.34563	7.47741	0.663762	0.881824	1.23823	0.248946	0.172407	0.17495	0.169274
7	0.33418	3.7085	61.6688	0.569081	9.2471	4.8517	0.0455279	6.73233	1.19817	8.28085	0.658397	0.821181	1.1485	0.244362	0.153292	0.16844	0.169654
8	0.328302	3.62529	61.8064	0.569156	8.86539	4.61555	0.0415088	6.81481	1.09017	9.03708	0.652631	0.769432	1.07265	0.239865	0.139465	0.162441	0.169822
9	0.322907	3.55767	61.859	0.568731	8.51909	4.40542	0.0386715	6.88747	1.01023	9.75919	0.646563	0.725169	1.00836	0.235475	0.129345	0.156914	0.169806
