Time	[Calcium in Nucleus]	[Calcium in Cytosol]	[NFAT_nuc]	[Active Calcineurin in Nucleus]	[Phosphorylated NFAT in nucleus]	[NFAT Calcineurin complex in nucleus]	[Phosphorylated NFAT Calcineurin complex in nucleus]	[Inactive Calcineurin in nucleus]	[NFAT_Cyt]	[Active Calcineurin in cytosol]	[Phosphorylated NFAT in cytosol]	[NFAT Calcineurin complex in cytosol]	[Phosphorylated NFAT Calcineurin complex in cytosol]	[Inactive Calcineurin in cytosol]
0	1	1	0.0005219	5.05e-05	0.0002272	0.0009477	2.5e-06	0.049198	0.0001101	9.1e-06	0.0094397	6.1e-06	2.2e-06	0.0097108
1	1	1	0.000475939	0.0212486	0.000209785	0.00100588	1.71626e-05	0.0279335	0.000108162	0.00407466	0.00927113	3.25088e-05	0.000142321	0.005476
2	1	1	0.000408928	0.0240685	0.000189645	0.00115963	2.91246e-05	0.0250148	0.000105171	0.00448926	0.00900305	0.000114874	0.000298028	0.00479525
3	1	1	0.000349188	0.0244129	0.000175737	0.00141987	3.3935e-05	0.0245785	0.000102329	0.00443291	0.00873468	0.000212622	0.00039109	0.00458803
4	1	1	0.000298744	0.024427	0.000166086	0.00178079	3.56305e-05	0.0244824	9.97688e-05	0.00432132	0.00847843	0.000298	0.000437439	0.00445003
5	1	1	0.000256632	0.0243997	0.000158868	0.00222007	3.62856e-05	0.0244361	9.74636e-05	0.00420843	0.00823527	0.000361731	0.000455086	0.00432763
6	1	1	0.0002217	0.0243695	0.000153041	0.00271181	3.66747e-05	0.0243999	9.53671e-05	0.00410081	0.0080046	0.000403964	0.000456018	0.00421324
7	1	1	0.000192906	0.0243412	0.000148045	0.0032331	3.70451e-05	0.0243679	9.34365e-05	0.0039989	0.00778558	0.000428407	0.000447576	0.00410536
8	1	1	0.000169333	0.0243151	0.000143584	0.00376616	3.74574e-05	0.0243387	9.16376e-05	0.00390237	0.00757742	0.000439473	0.000434156	0.00400338
9	1	1	0.000150187	0.0242908	0.000139496	0.00429826	3.79127e-05	0.0243119	8.99444e-05	0.00381084	0.00737932	0.000441115	0.000418349	0.00390681
10	0.1	0.1	0.00013478	0.0242682	0.00013569	0.00482086	3.83967e-05	0.0242871	8.8338e-05	0.00372394	0.00719059	0.000436472	0.000401664	0.00381526
11	0.1	0.1	0.000129784	0.008937	0.00013882	0.00531698	3.31949e-05	0.0395887	8.75917e-05	0.00131104	0.00707503	0.00041818	0.000330823	0.00612345
12	0.1	0.1	0.000134027	0.00331418	0.000146485	0.00575762	2.63848e-05	0.0451996	8.76623e-05	0.000465204	0.00703211	0.000371022	0.000233593	0.00693647
13	0.1	0.1	0.000141927	0.0012523	0.000153338	0.00612157	2.1979e-05	0.0472563	8.79432e-05	0.000168371	0.00701531	0.000308359	0.000155536	0.00722516
14	0.1	0.1	0.000151476	0.000496477	0.000158359	0.00640386	1.9658e-05	0.0480099	8.82261e-05	6.40865e-05	0.00700829	0.000245495	0.000101409	0.00732977
15	0.1	0.1	0.000161841	0.000219578	0.000161744	0.0066122	1.8589e-05	0.0482859	8.845e-05	2.7385e-05	0.00700511	0.00019086	6.61596e-05	0.00736966
16	0.1	0.1	0.000172636	0.000118234	0.000163934	0.00675983	1.81634e-05	0.048387	8.86081e-05	1.44267e-05	0.00700352	0.000147238	4.39161e-05	0.00738675
17	0.1	0.1	0.000183662	8.12045e-05	0.000165324	0.00686068	1.80326e-05	0.0484241	8.87107e-05	9.82404e-06	0.00700266	0.000114273	3.01168e-05	0.00739576
18	0.1	0.1	0.000194811	6.77127e-05	0.000166203	0.00692701	1.80203e-05	0.0484379	8.87714e-05	8.17138e-06	0.00700215	9.02901e-05	2.16369e-05	0.00740188
19	0.1	0.1	0.000206016	6.28192e-05	0.000166761	0.00696866	1.80451e-05	0.0484433	8.8803e-05	7.56674e-06	0.00700183	7.3314e-05	1.64532e-05	0.00740695
20	0.1	0.1	0.000217236	6.10561e-05	0.000167122	0.00699308	1.80731e-05	0.0484456	8.88153e-05	7.3388e-06	0.00700162	6.15403e-05	1.32932e-05	0.00741162
21	0.1	0.1	0.000228443	6.04256e-05	0.000167363	0.00700569	1.80926e-05	0.0484468	8.88157e-05	7.24919e-06	0.00700147	5.35002e-05	1.13686e-05	0.00741613
22	0.1	0.1	0.000239622	6.02002e-05	0.000167531	0.00701031	1.8101e-05	0.0484476	8.88095e-05	7.21228e-06	0.00700136	4.80738e-05	1.01961e-05	0.00742057
23	0.1	0.1	0.00025076	6.01166e-05	0.000167655	0.00700959	1.80996e-05	0.0484483	8.88004e-05	7.19664e-06	0.00700129	4.44431e-05	9.48042e-06	0.00742497
24	0.1	0.1	0.00026185	6.00804e-05	0.000167751	0.00700536	1.80903e-05	0.048449	8.87907e-05	7.1903e-06	0.00700124	4.20282e-05	9.04202e-06	0.00742935
