Time	[X_gut]	[C_p]	[C_per]	[C_e]	[C_t]
0	0	0	0	0	0
1	4.18167e-05	1.35966	1.56638	1.42938	0.852976
2	2.56917e-10	1.00577	1.53475	1.13035	0.990931
3	4.18164e-05	2.23112	2.91755	2.37189	1.81006
4	2.56914e-10	1.76809	2.71775	1.94765	1.86979
5	4.18165e-05	2.89833	3.953	3.08617	2.59868
6	2.56913e-10	2.35208	3.62404	2.57268	2.5692
7	4.18165e-05	3.40947	4.74624	3.63321	3.21517
8	2.56912e-10	2.79946	4.31833	3.05149	3.11083
9	4.18165e-05	3.80104	5.35392	4.05229	3.6902
10	2.56912e-10	3.14219	4.85021	3.41829	3.52706
11	4.18165e-05	4.10102	5.81946	4.37334	4.05472
12	2.56911e-10	3.40475	5.25768	3.69929	3.84621
13	4.18165e-05	4.33083	6.1761	4.61929	4.33411
14	2.5691e-10	3.60589	5.56983	3.91456	4.09078
15	4.18165e-05	4.50688	6.44931	4.80771	4.54818
16	2.5691e-10	3.75998	5.80896	4.07948	4.27815
17	4.18165e-05	4.64175	6.65861	4.95205	4.71218
18	2.56909e-10	3.87802	5.99216	4.20581	4.42169
19	4.18165e-05	4.74507	6.81896	5.06263	4.83782
20	2.56909e-10	3.96845	6.1325	4.3026	4.53166
21	4.18165e-05	4.82422	6.94179	5.14734	4.93407
22	2.56909e-10	4.03773	6.24001	4.37674	4.61591
23	4.18165e-05	4.88486	7.03589	5.21223	5.00781
24	2.56909e-10	4.09081	6.32238	4.43354	4.68044
25	4.18165e-05	4.93131	7.10798	5.26195	5.0643
26	2.56909e-10	4.13146	6.38547	4.47706	4.72988
27	4.18165e-05	4.96689	7.16321	5.30004	5.10757
28	2.56909e-10	4.16261	6.43381	4.51039	4.76776
29	4.18165e-05	4.99416	7.20552	5.32921	5.14072
30	2.56909e-10	4.18647	6.47084	4.53593	4.79678
31	4.18165e-05	5.01504	7.23793	5.35156	5.16612
32	2.56909e-10	4.20475	6.49921	4.55549	4.819
33	4.18165e-05	5.03104	7.26276	5.36869	5.18557
34	2.56909e-10	4.21876	6.52094	4.57048	4.83603
35	4.18165e-05	5.0433	7.28178	5.38181	5.20048
36	2.56909e-10	4.22948	6.53759	4.58196	4.84908
37	4.18165e-05	5.05269	7.29635	5.39185	5.2119
38	2.56909e-10	4.2377	6.55035	4.59076	4.85907
39	4.18165e-05	5.05988	7.30752	5.39955	5.22064
40	2.56909e-10	4.244	6.56012	4.5975	4.86673
41	4.18165e-05	5.06539	7.31607	5.40545	5.22734
42	2.56909e-10	4.24882	6.5676	4.60266	4.87259
43	4.18165e-05	5.06961	7.32262	5.40997	5.23248
44	2.56909e-10	4.25252	6.57334	4.60661	4.87709
45	4.18165e-05	5.07285	7.32764	5.41343	5.23641
46	2.56909e-10	4.25535	6.57773	4.60964	4.88053
47	4.18165e-05	5.07533	7.33149	5.41608	5.23942
48	2.56909e-10	4.25752	6.58109	4.61196	4.88317
49	4.18165e-05	5.07722	7.33443	5.41811	5.24173
50	2.56909e-10	4.25918	6.58367	4.61374	4.88519
51	4.18165e-05	5.07868	7.33669	5.41967	5.2435
52	2.56909e-10	4.26045	6.58565	4.6151	4.88673
53	4.18165e-05	5.07979	7.33842	5.42086	5.24485
54	2.56909e-10	4.26143	6.58716	4.61615	4.88792
55	4.18165e-05	5.08065	7.33974	5.42178	5.24589
56	2.56909e-10	4.26217	6.58832	4.61695	4.88883
57	4.18165e-05	5.0813	7.34076	5.42247	5.24669
58	2.56909e-10	4.26274	6.58921	4.61756	4.88952
59	4.18165e-05	5.0818	7.34153	5.42301	5.2473
60	2.56909e-10	4.26318	6.58989	4.61803	4.89006
61	4.18165e-05	5.08218	7.34213	5.42342	5.24776
62	2.56909e-10	4.26352	6.59041	4.61839	4.89047
63	4.18165e-05	5.08248	7.34258	5.42374	5.24812
64	2.56909e-10	4.26378	6.59081	4.61866	4.89078
65	4.18165e-05	5.0827	7.34293	5.42398	5.24839
66	2.56909e-10	4.26397	6.59111	4.61887	4.89102
67	4.18165e-05	5.08287	7.3432	5.42416	5.2486
68	2.56909e-10	4.26412	6.59135	4.61904	4.8912
69	4.18165e-05	5.08301	7.34341	5.4243	5.24876
70	2.56909e-10	4.26424	6.59153	4.61916	4.89134
71	4.18165e-05	5.08311	7.34356	5.42441	5.24889
72	2.56909e-10	4.26433	6.59167	4.61925	4.89145
73	4.18165e-05	5.08319	7.34368	5.42449	5.24898
74	2.56909e-10	4.2644	6.59177	4.61933	4.89153
75	4.18165e-05	5.08325	7.34378	5.42456	5.24905
76	2.56909e-10	4.26445	6.59185	4.61938	4.8916
77	4.18165e-05	5.08329	7.34385	5.42461	5.24911
78	2.56909e-10	4.26449	6.59191	4.61943	4.89164
79	4.18165e-05	5.08333	7.3439	5.42464	5.24915
80	2.56909e-10	4.26452	6.59196	4.61946	4.89168
81	4.18165e-05	5.08335	7.34394	5.42467	5.24918
82	2.56909e-10	4.26454	6.592	4.61948	4.89171
83	4.18165e-05	5.08337	7.34397	5.42469	5.24921
84	2.56909e-10	4.26456	6.59202	4.6195	4.89173
85	4.18165e-05	5.08339	7.344	5.42471	5.24923
86	2.56909e-10	4.26457	6.59205	4.61952	4.89175
87	4.18165e-05	5.0834	7.34402	5.42472	5.24924
88	2.56909e-10	4.26458	6.59206	4.61953	4.89176
89	4.18165e-05	5.08341	7.34403	5.42473	5.24925
90	2.56909e-10	4.26459	6.59207	4.61954	4.89177
91	4.18165e-05	5.08342	7.34404	5.42474	5.24926
92	2.56909e-10	4.2646	6.59208	4.61954	4.89178
93	4.18165e-05	5.08342	7.34405	5.42475	5.24927
94	2.56909e-10	4.2646	6.59209	4.61955	4.89178
95	4.18165e-05	5.08343	7.34406	5.42475	5.24927
96	2.56909e-10	4.26461	6.5921	4.61955	4.89179
97	4.18165e-05	5.08343	7.34406	5.42476	5.24928
98	2.56909e-10	4.26461	6.5921	4.61956	4.89179
99	4.18165e-05	5.08343	7.34407	5.42476	5.24928
100	2.56909e-10	4.26461	6.5921	4.61956	4.89179
